year,pgisced97,plj0589,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,Pre-primary Level,Seldom,0.29654,128,24854,0.29538,0.29771
2013,Pre-primary Level,Never,0.70346,268,24854,0.70229,0.70462
2013,Primary Level,Often,0.09694,40,24854,0.09625,0.09763
2013,Primary Level,Sometimes,0.23610,75,24854,0.23511,0.23709
2013,Primary Level,Seldom,0.31906,97,24854,0.31798,0.32015
2013,Primary Level,Never,0.34790,99,24854,0.34678,0.34901
2013,Lower Secondary Level,Very often,0.02050,67,24854,0.02039,0.02061
2013,Lower Secondary Level,Often,0.06040,136,24854,0.06022,0.06059
2013,Lower Secondary Level,Sometimes,0.14382,372,24854,0.14356,0.14409
2013,Lower Secondary Level,Seldom,0.26919,694,24854,0.26885,0.26953
2013,Lower Secondary Level,Never,0.50608,1306,24854,0.50570,0.50647
2013,Upper Secondary Level,Very often,0.01120,142,24854,0.01117,0.01124
2013,Upper Secondary Level,Often,0.04056,477,24854,0.04049,0.04063
2013,Upper Secondary Level,Sometimes,0.10299,1294,24854,0.10289,0.10310
2013,Upper Secondary Level,Seldom,0.28288,3395,24854,0.28272,0.28303
2013,Upper Secondary Level,Never,0.56237,7064,24854,0.56220,0.56254
2013,Post-secondary Non-tertiary Level,Often,0.03710,63,24854,0.03691,0.03729
2013,Post-secondary Non-tertiary Level,Sometimes,0.09458,175,24854,0.09428,0.09487
2013,Post-secondary Non-tertiary Level,Seldom,0.27595,487,24854,0.27550,0.27639
2013,Post-secondary Non-tertiary Level,Never,0.59238,1027,24854,0.59189,0.59287
2013,First Stage of Tertiary Education,Often,0.03471,46,24854,0.03454,0.03489
2013,First Stage of Tertiary Education,Sometimes,0.09234,139,24854,0.09206,0.09262
2013,First Stage of Tertiary Education,Seldom,0.32601,503,24854,0.32556,0.32646
2013,First Stage of Tertiary Education,Never,0.54694,971,24854,0.54646,0.54742
2013,Second Stage of Tertiary Education,Often,0.02666,118,24854,0.02657,0.02675
2013,Second Stage of Tertiary Education,Sometimes,0.07727,411,24854,0.07712,0.07742
2013,Second Stage of Tertiary Education,Seldom,0.27416,1509,24854,0.27391,0.27440
2013,Second Stage of Tertiary Education,Never,0.62192,3751,24854,0.62165,0.62219
2019,Primary Level,Never,1.00000,52,52,1.00000,1.00000
2020,Primary Level,Sometimes,0.32337,80,601,0.31942,0.32731
2020,Primary Level,Seldom,0.23180,83,601,0.22824,0.23536
2020,Primary Level,Never,0.44484,130,601,0.44065,0.44903
2020,Lower Secondary Level,Sometimes,0.24685,51,601,0.24217,0.25153
2020,Lower Secondary Level,Seldom,0.27524,45,601,0.27040,0.28009
2020,Lower Secondary Level,Never,0.47791,67,601,0.47249,0.48332
2020,Upper Secondary Level,Sometimes,0.31048,38,601,0.30531,0.31565
2020,Upper Secondary Level,Seldom,0.21953,42,601,0.21490,0.22415
2020,Upper Secondary Level,Never,0.46999,65,601,0.46441,0.47557
2021,Pre-primary Level,Sometimes,0.16302,40,18599,0.16198,0.16406
2021,Pre-primary Level,Seldom,0.40126,61,18599,0.39988,0.40264
2021,Pre-primary Level,Never,0.43572,79,18599,0.43433,0.43712
2021,Primary Level,Very often,0.07224,81,18599,0.07177,0.07272
2021,Primary Level,Often,0.14192,116,18599,0.14128,0.14257
2021,Primary Level,Sometimes,0.24026,230,18599,0.23947,0.24105
2021,Primary Level,Seldom,0.17259,150,18599,0.17189,0.17328
2021,Primary Level,Never,0.37299,435,18599,0.37209,0.37388
2021,Lower Secondary Level,Very often,0.02508,81,18599,0.02495,0.02520
2021,Lower Secondary Level,Often,0.08985,187,18599,0.08963,0.09008
2021,Lower Secondary Level,Sometimes,0.14812,295,18599,0.14784,0.14840
2021,Lower Secondary Level,Seldom,0.31393,472,18599,0.31357,0.31430
2021,Lower Secondary Level,Never,0.42301,771,18599,0.42262,0.42340
2021,Upper Secondary Level,Very often,0.02016,157,18599,0.02011,0.02021
2021,Upper Secondary Level,Often,0.05870,466,18599,0.05861,0.05878
2021,Upper Secondary Level,Sometimes,0.11148,863,18599,0.11137,0.11159
2021,Upper Secondary Level,Seldom,0.32305,2225,18599,0.32289,0.32322
2021,Upper Secondary Level,Never,0.48662,3660,18599,0.48644,0.48679
2021,Post-secondary Non-tertiary Level,Often,0.05731,99,18599,0.05713,0.05750
2021,Post-secondary Non-tertiary Level,Sometimes,0.14458,202,18599,0.14430,0.14486
2021,Post-secondary Non-tertiary Level,Seldom,0.28978,419,18599,0.28941,0.29014
2021,Post-secondary Non-tertiary Level,Never,0.50833,847,18599,0.50792,0.50873
2021,First Stage of Tertiary Education,Sometimes,0.10591,95,18599,0.10561,0.10620
2021,First Stage of Tertiary Education,Seldom,0.35200,303,18599,0.35154,0.35246
2021,First Stage of Tertiary Education,Never,0.54209,567,18599,0.54161,0.54258
2021,Second Stage of Tertiary Education,Very often,0.00731,88,18599,0.00727,0.00735
2021,Second Stage of Tertiary Education,Often,0.04052,275,18599,0.04043,0.04061
2021,Second Stage of Tertiary Education,Sometimes,0.10926,569,18599,0.10912,0.10941
2021,Second Stage of Tertiary Education,Seldom,0.28531,1544,18599,0.28510,0.28552
2021,Second Stage of Tertiary Education,Never,0.55759,3222,18599,0.55736,0.55782
