year,pgisced97,sampreg,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No answer / don't know,West,Sometimes,0.13480,46,371,0.10001,0.16960
2013,No answer / don't know,West,Seldom,0.27869,110,371,0.23300,0.32437
2013,No answer / don't know,West,Never,0.53348,215,371,0.48265,0.58432
2013,No answer / don't know,East,Never,0.38842,36,36,0.22695,0.54989
2013,Pre-primary Level,West,Seldom,0.26798,114,347,0.22131,0.31465
2013,Pre-primary Level,West,Never,0.61512,233,347,0.56385,0.66639
2013,Pre-primary Level,East,Never,0.67629,35,35,0.51902,0.83357
2013,Primary Level,West,Often,0.09745,35,265,0.06168,0.13323
2013,Primary Level,West,Sometimes,0.21837,64,265,0.16853,0.26821
2013,Primary Level,West,Seldom,0.31195,84,265,0.25607,0.36784
2013,Primary Level,West,Never,0.33257,82,265,0.27574,0.38940
2013,Lower Secondary Level,West,Very often,0.02038,53,2240,0.01453,0.02623
2013,Lower Secondary Level,West,Often,0.05936,116,2240,0.04957,0.06915
2013,Lower Secondary Level,West,Sometimes,0.14177,316,2240,0.12732,0.15622
2013,Lower Secondary Level,West,Seldom,0.26454,598,2240,0.24627,0.28281
2013,Lower Secondary Level,West,Never,0.51395,1157,2240,0.49325,0.53466
2013,Lower Secondary Level,East,Sometimes,0.15671,56,304,0.11578,0.19765
2013,Lower Secondary Level,East,Seldom,0.30319,97,304,0.25143,0.35494
2013,Lower Secondary Level,East,Never,0.45604,151,304,0.39996,0.51212
2013,Upper Secondary Level,West,Very often,0.00990,93,9334,0.00789,0.01191
2013,Upper Secondary Level,West,Often,0.03732,321,9334,0.03347,0.04116
2013,Upper Secondary Level,West,Sometimes,0.09200,883,9334,0.08614,0.09786
2013,Upper Secondary Level,West,Seldom,0.27773,2495,9334,0.26865,0.28682
2013,Upper Secondary Level,West,Never,0.58305,5542,9334,0.57304,0.59305
2013,Upper Secondary Level,East,Very often,0.01721,50,3039,0.01258,0.02183
2013,Upper Secondary Level,East,Often,0.05229,156,3039,0.04438,0.06021
2013,Upper Secondary Level,East,Sometimes,0.14325,411,3039,0.13079,0.15571
2013,Upper Secondary Level,East,Seldom,0.30272,901,3039,0.28638,0.31905
2013,Upper Secondary Level,East,Never,0.48454,1521,3039,0.46676,0.50231
2013,Post-secondary Non-tertiary Level,West,Often,0.03983,58,1483,0.02987,0.04979
2013,Post-secondary Non-tertiary Level,West,Sometimes,0.08313,140,1483,0.06908,0.09719
2013,Post-secondary Non-tertiary Level,West,Seldom,0.27619,406,1483,0.25343,0.29896
2013,Post-secondary Non-tertiary Level,West,Never,0.59314,879,1483,0.56813,0.61815
2013,Post-secondary Non-tertiary Level,East,Sometimes,0.16749,36,265,0.12244,0.21253
2013,Post-secondary Non-tertiary Level,East,Seldom,0.25834,81,265,0.20553,0.31114
2013,Post-secondary Non-tertiary Level,East,Never,0.54372,148,265,0.48363,0.60380
2013,First Stage of Tertiary Education,West,Sometimes,0.08606,90,1207,0.07023,0.10189
2013,First Stage of Tertiary Education,West,Seldom,0.31946,373,1207,0.29314,0.34577
2013,First Stage of Tertiary Education,West,Never,0.56200,744,1207,0.53400,0.59000
2013,First Stage of Tertiary Education,East,Sometimes,0.11075,48,402,0.08003,0.14146
2013,First Stage of Tertiary Education,East,Seldom,0.33227,128,402,0.28617,0.37837
2013,First Stage of Tertiary Education,East,Never,0.48921,226,402,0.44029,0.53814
2013,Second Stage of Tertiary Education,West,Often,0.02380,82,4347,0.01927,0.02834
2013,Second Stage of Tertiary Education,West,Sometimes,0.07396,288,4347,0.06618,0.08174
2013,Second Stage of Tertiary Education,West,Seldom,0.25935,1064,4347,0.24632,0.27238
2013,Second Stage of Tertiary Education,West,Never,0.63625,2913,4347,0.62195,0.65056
2013,Second Stage of Tertiary Education,East,Often,0.03647,36,1442,0.02679,0.04615
2013,Second Stage of Tertiary Education,East,Sometimes,0.08842,123,1442,0.07376,0.10307
2013,Second Stage of Tertiary Education,East,Seldom,0.32085,445,1442,0.29674,0.34495
2013,Second Stage of Tertiary Education,East,Never,0.54794,838,1442,0.52224,0.57363
2017,No answer / don't know,West,Often,0.07972,41,560,0.05727,0.10218
2017,No answer / don't know,West,Sometimes,0.10944,78,560,0.08356,0.13532
2017,No answer / don't know,West,Seldom,0.32729,160,560,0.28839,0.36619
2017,No answer / don't know,West,Never,0.46265,281,560,0.42131,0.50398
2017,No answer / don't know,East,Never,0.42906,48,48,0.28756,0.57056
2017,Pre-primary Level,West,Sometimes,0.10623,39,343,0.07357,0.13889
2017,Pre-primary Level,West,Seldom,0.20969,85,343,0.16655,0.25284
2017,Pre-primary Level,West,Never,0.65538,219,343,0.60501,0.70575
2017,Pre-primary Level,East,Never,0.41355,41,41,0.26093,0.56616
2017,Primary Level,West,Very often,0.04424,55,1014,0.03158,0.05690
2017,Primary Level,West,Often,0.13780,123,1014,0.11657,0.15902
2017,Primary Level,West,Sometimes,0.21670,205,1014,0.19133,0.24207
2017,Primary Level,West,Seldom,0.22818,203,1014,0.20233,0.25402
2017,Primary Level,West,Never,0.37308,428,1014,0.34330,0.40287
2017,Primary Level,East,Sometimes,0.24040,33,78,0.14495,0.33585
2017,Primary Level,East,Never,0.41264,45,78,0.30267,0.52260
2017,Lower Secondary Level,West,Very often,0.01679,56,2688,0.01194,0.02165
2017,Lower Secondary Level,West,Often,0.06739,189,2688,0.05791,0.07687
2017,Lower Secondary Level,West,Sometimes,0.14720,443,2688,0.13380,0.16060
2017,Lower Secondary Level,West,Seldom,0.27404,716,2688,0.25718,0.29091
2017,Lower Secondary Level,West,Never,0.49457,1284,2688,0.47567,0.51348
2017,Lower Secondary Level,East,Often,0.08806,38,403,0.06036,0.11576
2017,Lower Secondary Level,East,Sometimes,0.16909,65,403,0.13245,0.20573
2017,Lower Secondary Level,East,Seldom,0.28026,111,403,0.23636,0.32417
2017,Lower Secondary Level,East,Never,0.42006,189,403,0.37181,0.46831
2017,Upper Secondary Level,West,Very often,0.01048,109,9453,0.00843,0.01253
2017,Upper Secondary Level,West,Often,0.03227,342,9453,0.02871,0.03583
2017,Upper Secondary Level,West,Sometimes,0.09993,974,9453,0.09389,0.10598
2017,Upper Secondary Level,West,Seldom,0.27058,2519,9453,0.26162,0.27954
2017,Upper Secondary Level,West,Never,0.58674,5509,9453,0.57681,0.59667
2017,Upper Secondary Level,East,Very often,0.01532,41,2877,0.01083,0.01981
2017,Upper Secondary Level,East,Often,0.04934,139,2877,0.04142,0.05725
2017,Upper Secondary Level,East,Sometimes,0.12195,345,2877,0.10999,0.13391
2017,Upper Secondary Level,East,Seldom,0.29569,824,2877,0.27901,0.31237
2017,Upper Secondary Level,East,Never,0.51771,1528,2877,0.49944,0.53597
2017,Post-secondary Non-tertiary Level,West,Often,0.04361,71,1894,0.03441,0.05281
2017,Post-secondary Non-tertiary Level,West,Sometimes,0.09867,181,1894,0.08524,0.11211
2017,Post-secondary Non-tertiary Level,West,Seldom,0.26452,504,1894,0.24465,0.28439
2017,Post-secondary Non-tertiary Level,West,Never,0.58175,1138,1894,0.55952,0.60397
2017,Post-secondary Non-tertiary Level,East,Sometimes,0.13290,43,320,0.09564,0.17015
2017,Post-secondary Non-tertiary Level,East,Seldom,0.24043,86,320,0.19353,0.28733
