year,plj0589,age_gr,sex,proportion,n,lower_confidence,upper_confidence
2013,Very often,46-65 y.,female,0.2762237762237762,44486,0.2720687183441954,0.280378834103357
2013,Very often,30-45 y.,female,0.2202797202797203,44486,0.21642847600481113,0.22413096455462944
2013,Very often,46-65 y.,male,0.15384615384615385,44486,0.15049331730762108,0.15719899038468663
2013,Very often,66 and older,female,0.09090909090909091,44486,0.08823761226083392,0.0935805695573479
2013,Very often,30-45 y.,male,0.08741258741258741,44486,0.08478795421627061,0.0900372206089042
2013,Very often,18-29 y.,female,0.08041958041958042,44486,0.07789249366341346,0.08294666717574738
2013,Very often,66 and older,male,0.05244755244755245,44486,0.050375939415342616,0.05451916547976228
2013,Very often,18-29 y.,male,0.038461538461538464,44486,0.03667447058194233,0.0402486063411346
2013,Often,46-65 y.,female,0.21919302071973829,44486,0.21534861161790242,0.22303742982157415
2013,Often,30-45 y.,female,0.20828789531079608,44486,0.20451425892383715,0.21206153169775502
2013,Often,46-65 y.,male,0.16575790621592149,44486,0.1623022735677938,0.16921353886404916
2013,Often,66 and older,female,0.10687022900763359,44486,0.10399924981043907,0.1097412082048281
2013,Often,30-45 y.,male,0.1025081788440567,44486,0.0996895434486744,0.10532681423943901
2013,Often,18-29 y.,female,0.0916030534351145,44486,0.08892242141661968,0.09428368545360932
2013,Often,66 and older,male,0.06652126499454744,44486,0.06420559399497226,0.06883693599412262
2013,Often,18-29 y.,male,0.03925845147219193,44486,0.03745371306195192,0.04106318988243194
2013,Sometimes,30-45 y.,female,0.21613155833985903,44486,0.21230661439301457,0.2199565022867035
2013,Sometimes,46-65 y.,female,0.19694596711041504,44486,0.19325032146597398,0.2006416127548561
2013,Sometimes,46-65 y.,male,0.15035238841033674,44486,0.14703100525495402,0.15367377156571946
2013,Sometimes,30-45 y.,male,0.11863743148003132,44486,0.11563251392138758,0.12164234903867506
2013,Sometimes,66 and older,female,0.0927956147220047,44486,0.09009936142249973,0.09549186802150968
2013,Sometimes,18-29 y.,female,0.08809710258418167,44486,0.08546320124565612,0.09073100392270722
2013,Sometimes,66 and older,male,0.0740015661707126,44486,0.07156897024904608,0.07643416209237912
2013,Sometimes,18-29 y.,male,0.06303837118245889,44486,0.0607799351874213,0.06529680717749647
2013,Seldom,46-65 y.,male,0.18137254901960784,44486,0.17779180460816535,0.18495329343105033
2013,Seldom,30-45 y.,female,0.17964244521337946,44486,0.17607505626552725,0.18320983416123168
