,Unnamed: 0,year,pgisced97,sex,plj0589,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2013,Pre-primary Level,male,Seldom,0.31704,64,24730,0.23589,0.42346
1,1,2013,Pre-primary Level,male,Never,0.68296,123,24730,0.52699,0.87213
2,2,2013,Pre-primary Level,female,Seldom,0.27784,64,24730,0.2193,0.34532
3,3,2013,Pre-primary Level,female,Never,0.72216,145,24730,0.56905,0.88132
4,4,2013,Primary Level,male,Sometimes,0.21874,32,24730,0.15139,0.29947
5,5,2013,Primary Level,male,Seldom,0.41108,42,24730,0.26766,0.56575
6,6,2013,Primary Level,male,Never,0.37018,42,24730,0.27714,0.49451
7,7,2013,Primary Level,female,Sometimes,0.29592,43,24730,0.19392,0.38937
8,8,2013,Primary Level,female,Seldom,0.30669,55,24730,0.2091,0.42257
9,9,2013,Primary Level,female,Never,0.39739,57,24730,0.29892,0.52117
10,10,2013,Lower Secondary Level,male,Often,0.06164,38,24730,0.04163,0.08335
11,11,2013,Lower Secondary Level,male,Sometimes,0.13519,108,24730,0.10968,0.15743
12,12,2013,Lower Secondary Level,male,Seldom,0.29974,254,24730,0.25674,0.35248
13,13,2013,Lower Secondary Level,male,Never,0.50344,442,24730,0.45524,0.55954
14,14,2013,Lower Secondary Level,female,Very often,0.01932,46,24730,0.01405,0.0259
15,15,2013,Lower Secondary Level,female,Often,0.06049,98,24730,0.04928,0.07214
16,16,2013,Lower Secondary Level,female,Sometimes,0.14976,264,24730,0.13277,0.16948
17,17,2013,Lower Secondary Level,female,Seldom,0.25719,440,24730,0.23366,0.27865
18,18,2013,Lower Secondary Level,female,Never,0.51324,864,24730,0.4791,0.54329
19,19,2013,Upper Secondary Level,male,Very often,0.01059,45,24730,0.00746,0.01327
20,20,2013,Upper Secondary Level,male,Often,0.03483,182,24730,0.02984,0.04008
21,21,2013,Upper Secondary Level,male,Sometimes,0.10149,544,24730,0.09361,0.11068
22,22,2013,Upper Secondary Level,male,Seldom,0.2979,1575,24730,0.28213,0.31244
23,23,2013,Upper Secondary Level,male,Never,0.55518,3101,24730,0.5344,0.57773
24,24,2013,Upper Secondary Level,female,Very often,0.01175,97,24730,0.00925,0.01492
25,25,2013,Upper Secondary Level,female,Often,0.04573,295,24730,0.03926,0.05091
26,26,2013,Upper Secondary Level,female,Sometimes,0.10434,750,24730,0.09477,0.11293
27,27,2013,Upper Secondary Level,female,Seldom,0.26933,1820,24730,0.25709,0.28321
28,28,2013,Upper Secondary Level,female,Never,0.56885,3963,24730,0.55271,0.58716
29,29,2013,Post-secondary Non-tertiary Level,male,Sometimes,0.09525,51,24730,0.07008,0.12641
30,30,2013,Post-secondary Non-tertiary Level,male,Seldom,0.30352,178,24730,0.2557,0.37318
31,31,2013,Post-secondary Non-tertiary Level,male,Never,0.60122,356,24730,0.52901,0.69166
32,32,2013,Post-secondary Non-tertiary Level,female,Often,0.04519,46,24730,0.03231,0.05951
33,33,2013,Post-secondary Non-tertiary Level,female,Sometimes,0.09599,124,24730,0.07786,0.11728
34,34,2013,Post-secondary Non-tertiary Level,female,Seldom,0.26105,309,24730,0.22441,0.30024
35,35,2013,Post-secondary Non-tertiary Level,female,Never,0.59778,671,24730,0.54849,0.6591
36,36,2013,First Stage of Tertiary Education,male,Sometimes,0.08574,74,24730,0.06349,0.10459
37,37,2013,First Stage of Tertiary Education,male,Seldom,0.36554,344,24730,0.32253,0.40532
38,38,2013,First Stage of Tertiary Education,male,Never,0.54871,584,24730,0.50173,0.59988
39,39,2013,First Stage of Tertiary Education,female,Sometimes,0.11412,65,24730,0.08039,0.15222
40,40,2013,First Stage of Tertiary Education,female,Seldom,0.28596,159,24730,0.24072,0.34502
41,41,2013,First Stage of Tertiary Education,female,Never,0.59992,387,24730,0.54014,0.66965
42,42,2013,Second Stage of Tertiary Education,male,Often,0.02523,54,24730,0.01793,0.03174
43,43,2013,Second Stage of Tertiary Education,male,Sometimes,0.07131,182,24730,0.05818,0.08423
44,44,2013,Second Stage of Tertiary Education,male,Seldom,0.27493,807,24730,0.25168,0.29503
45,45,2013,Second Stage of Tertiary Education,male,Never,0.62853,1913,24730,0.59706,0.66017
46,46,2013,Second Stage of Tertiary Education,female,Often,0.02838,64,24730,0.02196,0.0348
47,47,2013,Second Stage of Tertiary Education,female,Sometimes,0.08446,229,24730,0.07235,0.09928
48,48,2013,Second Stage of Tertiary Education,female,Seldom,0.27323,702,24730,0.25239,0.29965
49,49,2013,Second Stage of Tertiary Education,female,Never,0.61393,1838,24730,0.5821,0.65188
