"plj0589","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2013","(noch) kein Abschluss","Westdeutschland","14","","",""
"Sehr oft","2013","(noch) kein Abschluss","Ostdeutschland","2","","",""
"Sehr oft","2013","Hauptschule","Westdeutschland","104","","",""
"Sehr oft","2013","Hauptschule","Ostdeutschland","30","0.0197939858699003","0.0120814381370622","0.0275065336027383"
"Sehr oft","2013","Realschule","Westdeutschland","41","0.00630193253316764","0.00408734585813198","0.0085165192082033"
"Sehr oft","2013","Realschule","Ostdeutschland","39","0.0182097985741422","0.0127274466997215","0.023692150448563"
"Sehr oft","2013","(Fach-)Abitur","Westdeutschland","19","","",""
"Sehr oft","2013","(Fach-)Abitur","Ostdeutschland","2","","",""
"Sehr oft","2013","AkademikerIn","Westdeutschland","22","","",""
"Sehr oft","2013","AkademikerIn","Ostdeutschland","8","0.00633386666367618","0.00225049611282517","0.0104172372145272"
"Oft","2013","(noch) kein Abschluss","Westdeutschland","52","0.0681089496621743","0.0493788386846271","0.0868390606397216"
"Oft","2013","(noch) kein Abschluss","Ostdeutschland","8","0.0911159821275071","0.0363328735290015","0.145899090726013"
"Oft","2013","Hauptschule","Westdeutschland","258","","",""
"Oft","2013","Hauptschule","Ostdeutschland","78","0.063298156017558","0.0498157074463721","0.076780604588744"
"Oft","2013","Realschule","Westdeutschland","162","","",""
"Oft","2013","Realschule","Ostdeutschland","110","","",""
"Oft","2013","(Fach-)Abitur","Westdeutschland","90","0.0368538407928252","0.0298326709404851","0.0438750106451653"
"Oft","2013","(Fach-)Abitur","Ostdeutschland","12","","",""
"Oft","2013","AkademikerIn","Westdeutschland","82","0.0241448933638672","0.0195933112297077","0.0286964754980266"
"Oft","2013","AkademikerIn","Ostdeutschland","36","0.0365331907022066","0.0268765455942982","0.0461898358101151"
"Manchmal","2013","(noch) kein Abschluss","Westdeutschland","88","0.12950952367529","0.104546996320847","0.154472051029732"
