"plj0589","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Sehr oft","2013","kein Migrationshintergrund","Westdeutschland","155","0.00956503799485","0.00806251231530745","0.0110675636743925"
"Sehr oft","2013","kein Migrationshintergrund","Ostdeutschland","80","0.014937252829441","0.0117270898004583","0.0181474158584238"
"Sehr oft","2013","direkter Migrationshintergrund","Westdeutschland","37","0.0167223558585564","0.01170488829588","0.0217398234212328"
"Sehr oft","2013","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Sehr oft","2013","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Sehr oft","2013","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Oft","2013","kein Migrationshintergrund","Westdeutschland","496","0.0365784950434497","0.0336805732763525","0.039476416810547"
"Oft","2013","kein Migrationshintergrund","Ostdeutschland","240","0.047279059006572","0.0416624131322326","0.0528957048809115"
"Oft","2013","direkter Migrationshintergrund","Westdeutschland","128","0.0488337037247665","0.0404006315186015","0.0572667759309316"
"Oft","2013","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Oft","2013","indirekter Migrationshintergrund","Westdeutschland","44","0.0394026185485537","0.0279368342069774","0.0508684028901301"
"Oft","2013","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Manchmal","2013","kein Migrationshintergrund","Westdeutschland","1359","0.0886870560764472","0.0842984210881786","0.0930756910647157"
"Manchmal","2013","kein Migrationshintergrund","Ostdeutschland","651","0.12688487269675","0.118076403183088","0.135693342210413"
"Manchmal","2013","direkter Migrationshintergrund","Westdeutschland","369","0.143868703766106","0.130136156190306","0.157601251341906"
"Manchmal","2013","direkter Migrationshintergrund","Ostdeutschland","35","0.280347364938574","0.205133569151906","0.355561160725243"
"Manchmal","2013","indirekter Migrationshintergrund","Westdeutschland","126","0.108642940508201","0.0903030331498833","0.126982847866518"
"Manchmal","2013","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Selten","2013","kein Migrationshintergrund","Westdeutschland","4249","0.274193726629468","0.26730712932581","0.281080323933127"
"Selten","2013","kein Migrationshintergrund","Ostdeutschland","1619","0.307680942128425","0.295466793037996","0.319895091218854"
"Selten","2013","direkter Migrationshintergrund","Westdeutschland","717","0.287831076479953","0.270115384907066","0.305546768052839"
"Selten","2013","direkter Migrationshintergrund","Ostdeutschland","48","0.246128302666485","0.173998074620496","0.318258530712474"
"Selten","2013","indirekter Migrationshintergrund","Westdeutschland","278","0.267951188788827","0.241849512968909","0.294052864608744"
"Selten","2013","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nie","2013","kein Migrationshintergrund","Westdeutschland","9861","0.590975684255785","0.583385978453877","0.598565390057693"
"Nie","2013","kein Migrationshintergrund","Ostdeutschland","2895","0.503217873338811","0.48998601674938","0.516449729928243"
"Nie","2013","direkter Migrationshintergrund","Westdeutschland","1258","0.502744160170619","0.483179999366714","0.522308320974523"
