"plj0589","year","migback","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2013","kein Migrationshintergrund","männlich","80","0.0100824658573533","0.00810682086760874","0.0120581108470978"
"Sehr oft","2013","kein Migrationshintergrund","weiblich","155","0.0112927614910815","0.0093847872087347","0.0132007357734283"
"Sehr oft","2013","direkter Migrationshintergrund","männlich","10","","",""
"Sehr oft","2013","direkter Migrationshintergrund","weiblich","27","","",""
"Sehr oft","2013","indirekter Migrationshintergrund","männlich","5","","",""
"Sehr oft","2013","indirekter Migrationshintergrund","weiblich","9","","",""
"Sehr oft","2013","Migrationshintergrund - n. w. differenzierbar","männlich","","","",""
"Sehr oft","2013","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Oft","2013","kein Migrationshintergrund","männlich","272","0.0316378458121194","0.0281764730207224","0.0350992186035164"
"Oft","2013","kein Migrationshintergrund","weiblich","464","0.0456247193750363","0.0418568288500841","0.0493926098999885"
"Oft","2013","direkter Migrationshintergrund","männlich","60","0.0525315966840963","0.0396654124037891","0.0653977809644034"
"Oft","2013","direkter Migrationshintergrund","weiblich","75","0.0511270175818528","0.039947101605981","0.0623069335577246"
"Oft","2013","indirekter Migrationshintergrund","männlich","11","","",""
"Oft","2013","indirekter Migrationshintergrund","weiblich","35","0.0540379761914696","0.0366702091399993","0.0714057432429398"
"Oft","2013","Migrationshintergrund - n. w. differenzierbar","männlich","","","",""
"Oft","2013","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Manchmal","2013","kein Migrationshintergrund","männlich","816","0.0908825134391641","0.0851982239264252","0.0965668029519031"
"Manchmal","2013","kein Migrationshintergrund","weiblich","1194","0.102364164799083","0.096890696003367","0.107837633594799"
"Manchmal","2013","direkter Migrationshintergrund","männlich","161","0.13869891850872","0.118765988925569","0.158631848091872"
"Manchmal","2013","direkter Migrationshintergrund","weiblich","243","0.157796574190049","0.139292534287796","0.176300614092302"
"Manchmal","2013","indirekter Migrationshintergrund","männlich","60","0.127762080159305","0.0993149327152871","0.156209227603322"
"Manchmal","2013","indirekter Migrationshintergrund","weiblich","80","0.113404692955324","0.0890470183546596","0.137762367555989"
"Manchmal","2013","Migrationshintergrund - n. w. differenzierbar","männlich","","","",""
"Manchmal","2013","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Selten","2013","kein Migrationshintergrund","männlich","2847","0.297429489384561","0.288389602624447","0.306469376144675"
"Selten","2013","kein Migrationshintergrund","weiblich","3021","0.266180743266933","0.258200402239402","0.274161084294464"
"Selten","2013","direkter Migrationshintergrund","männlich","355","0.312405032149709","0.285676047959342","0.339134016340076"
"Selten","2013","direkter Migrationshintergrund","weiblich","410","0.263069208921832","0.240720232867468","0.285418184976196"
"Selten","2013","indirekter Migrationshintergrund","männlich","128","0.252591716698193","0.215565549271639","0.289617884124746"
"Selten","2013","indirekter Migrationshintergrund","weiblich","176","0.288402416971166","0.253602814991094","0.323202018951239"
"Selten","2013","Migrationshintergrund - n. w. differenzierbar","männlich","","","",""
"Selten","2013","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","2013","kein Migrationshintergrund","männlich","5808","0.569967685506802","0.560177257420419","0.579758113593185"
"Nie","2013","kein Migrationshintergrund","weiblich","6948","0.574537611067866","0.565610141034228","0.583465081101503"
"Nie","2013","direkter Migrationshintergrund","männlich","569","0.486344501431824","0.457519782929969","0.515169219933678"
"Nie","2013","direkter Migrationshintergrund","weiblich","736","0.506449361737314","0.481072194465941","0.531826529008687"
"Nie","2013","indirekter Migrationshintergrund","männlich","325","0.588390207990091","0.546453356444178","0.630327059536005"
"Nie","2013","indirekter Migrationshintergrund","weiblich","351","0.534626821326078","0.496310514447865","0.572943128204291"
"Nie","2013","Migrationshintergrund - n. w. differenzierbar","männlich","","","",""
"Nie","2013","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
