,Unnamed: 0,year,age_gr,plj0589,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2013,17-29 y.,Very often,0.00649,34,25431,0.00445,0.00919
1,1,2013,17-29 y.,Often,0.03312,120,25431,0.0275,0.03947
2,2,2013,17-29 y.,Sometimes,0.10502,386,25431,0.09253,0.11781
3,3,2013,17-29 y.,Seldom,0.29264,1020,25431,0.27275,0.31575
4,4,2013,17-29 y.,Never,0.56274,2001,25431,0.53658,0.59687
5,5,2013,30-45 y.,Very often,0.00852,88,25431,0.00668,0.01054
6,6,2013,30-45 y.,Often,0.03931,285,25431,0.03413,0.04579
7,7,2013,30-45 y.,Sometimes,0.10171,855,25431,0.0919,0.11168
8,8,2013,30-45 y.,Seldom,0.28219,2176,25431,0.2658,0.29772
9,9,2013,30-45 y.,Never,0.56828,4585,25431,0.54381,0.59126
10,10,2013,46-65 y.,Very often,0.01571,123,25431,0.0128,0.01878
11,11,2013,46-65 y.,Often,0.04366,353,25431,0.03927,0.04876
12,12,2013,46-65 y.,Sometimes,0.10643,887,25431,0.09876,0.11354
13,13,2013,46-65 y.,Seldom,0.288,2492,25431,0.27669,0.29945
14,14,2013,46-65 y.,Never,0.5462,5106,25431,0.53069,0.56383
15,15,2013,66 and older,Very often,0.00892,41,25431,0.0074,0.01064
16,16,2013,66 and older,Often,0.03948,159,25431,0.03522,0.04445
17,17,2013,66 and older,Sometimes,0.09584,426,25431,0.08975,0.10138
18,18,2013,66 and older,Seldom,0.26582,1249,25431,0.2519,0.27645
19,19,2013,66 and older,Never,0.58995,3045,25431,0.57447,0.6058
20,20,2019,17-29 y.,Never,1.0,57,99,0.70969,1.39377
21,21,2019,30-45 y.,Never,1.0,42,99,0.63742,1.36945
22,22,2020,17-29 y.,Often,0.10019,35,910,0.07201,0.13383
23,23,2020,17-29 y.,Sometimes,0.26955,90,910,0.19023,0.34914
24,24,2020,17-29 y.,Seldom,0.23724,97,910,0.18227,0.29896
25,25,2020,17-29 y.,Never,0.39302,150,910,0.30958,0.47347
26,26,2020,30-45 y.,Often,0.09596,38,910,0.07031,0.13007
27,27,2020,30-45 y.,Sometimes,0.25263,113,910,0.19682,0.30232
28,28,2020,30-45 y.,Seldom,0.22329,122,910,0.18106,0.26417
29,29,2020,30-45 y.,Never,0.42812,157,910,0.34451,0.51575
30,30,2020,46-65 y.,Sometimes,0.3019,35,910,0.20963,0.44844
31,31,2020,46-65 y.,Seldom,0.26148,33,910,0.16043,0.38704
32,32,2020,46-65 y.,Never,0.43662,40,910,0.3227,0.59046
33,33,2021,17-29 y.,Very often,0.02457,106,19499,0.01709,0.03373
34,34,2021,17-29 y.,Often,0.07416,277,19499,0.06093,0.0873
35,35,2021,17-29 y.,Sometimes,0.1748,624,19499,0.15222,0.2056
36,36,2021,17-29 y.,Seldom,0.32145,964,19499,0.29198,0.35657
37,37,2021,17-29 y.,Never,0.40502,1306,19499,0.36786,0.44724
38,38,2021,30-45 y.,Very often,0.0219,183,19499,0.01427,0.02839
39,39,2021,30-45 y.,Often,0.06485,433,19499,0.05517,0.07446
40,40,2021,30-45 y.,Sometimes,0.13378,810,19499,0.11662,0.15031
41,41,2021,30-45 y.,Seldom,0.31242,1399,19499,0.28791,0.3404
42,42,2021,30-45 y.,Never,0.46705,2504,19499,0.43664,0.49855
43,43,2021,46-65 y.,Very often,0.01636,157,19499,0.01206,0.02088
44,44,2021,46-65 y.,Often,0.0548,410,19499,0.04746,0.06304
45,45,2021,46-65 y.,Sometimes,0.10273,718,19499,0.09298,0.1133
46,46,2021,46-65 y.,Seldom,0.29992,1947,19499,0.2839,0.32181
47,47,2021,46-65 y.,Never,0.52619,4078,19499,0.50308,0.54956
48,48,2021,66 and older,Very often,0.01045,40,19499,0.00706,0.01492
49,49,2021,66 and older,Often,0.04012,133,19499,0.03403,0.04579
50,50,2021,66 and older,Sometimes,0.10005,307,19499,0.08821,0.11164
51,51,2021,66 and older,Seldom,0.30497,1056,19499,0.28687,0.32282
52,52,2021,66 and older,Never,0.54441,2047,19499,0.51814,0.56962
