year,quintil_oecd,regtyp,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,1st Quintile,Urban regions,Very often,0.03103,92,3054,0.02488,0.03718
2013,1st Quintile,Urban regions,Often,0.08613,244,3054,0.07618,0.09608
2013,1st Quintile,Urban regions,Sometimes,0.17760,514,3054,0.16404,0.19116
2013,1st Quintile,Urban regions,Seldom,0.23964,820,3054,0.22450,0.25478
2013,1st Quintile,Urban regions,Never,0.46560,1384,3054,0.44791,0.48330
2013,1st Quintile,Rural regions,Very often,0.02665,54,2038,0.01965,0.03364
2013,1st Quintile,Rural regions,Often,0.09456,163,2038,0.08185,0.10726
2013,1st Quintile,Rural regions,Sometimes,0.16312,348,2038,0.14708,0.17917
2013,1st Quintile,Rural regions,Seldom,0.30561,610,2038,0.28560,0.32561
2013,1st Quintile,Rural regions,Never,0.41006,863,2038,0.38870,0.43142
2013,2nd Quintile,Urban regions,Very often,0.01095,36,3026,0.00724,0.01466
2013,2nd Quintile,Urban regions,Often,0.03949,107,3026,0.03255,0.04643
2013,2nd Quintile,Urban regions,Sometimes,0.11111,334,3026,0.09991,0.12231
2013,2nd Quintile,Urban regions,Seldom,0.29694,853,3026,0.28065,0.31322
2013,2nd Quintile,Urban regions,Never,0.54152,1696,3026,0.52376,0.55928
2013,2nd Quintile,Rural regions,Often,0.04650,81,2131,0.03755,0.05544
2013,2nd Quintile,Rural regions,Sometimes,0.11885,236,2131,0.10511,0.13260
2013,2nd Quintile,Rural regions,Seldom,0.26806,607,2131,0.24925,0.28687
2013,2nd Quintile,Rural regions,Never,0.55462,1207,2131,0.53351,0.57573
2013,3rd Quintile,Urban regions,Often,0.03914,91,2909,0.03210,0.04619
2013,3rd Quintile,Urban regions,Sometimes,0.10681,277,2909,0.09558,0.11803
2013,3rd Quintile,Urban regions,Seldom,0.27707,771,2909,0.26080,0.29333
2013,3rd Quintile,Urban regions,Never,0.56788,1770,2909,0.54987,0.58588
