year,bula_h,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,North Rhine-Westphalia,Further vocational education,0.47887,32,32,0.30302,0.65473
1992,Saxony,Vocational Retraining,0.47292,38,78,0.36140,0.58443
1992,Saxony,Further vocational education,0.46124,40,78,0.34989,0.57258
1993,Saxony,Vocational Retraining,0.49540,39,72,0.37910,0.61170
1993,Saxony,Further vocational education,0.44772,33,72,0.33205,0.56339
2000,Saxony,Further vocational education,0.50477,35,35,0.33671,0.67283
2001,North Rhine-Westphalia,Further vocational education,0.48848,35,35,0.32045,0.65650
2002,North Rhine-Westphalia,Further vocational education,0.52744,36,36,0.36204,0.69284
2003,North Rhine-Westphalia,Further vocational education,0.60994,41,41,0.45879,0.76110
2004,North Rhine-Westphalia,Further vocational education,0.57951,34,34,0.41108,0.74793
2011,North Rhine-Westphalia,Further vocational education,0.67958,39,39,0.53122,0.82795
2013,Bavaria,Further vocational education,0.67252,33,33,0.50992,0.83513
2014,North Rhine-Westphalia,Further vocational education,0.41780,31,31,0.24131,0.59429
2014,Bavaria,Further vocational education,0.58105,34,34,0.41271,0.74939
2015,North Rhine-Westphalia,Further vocational education,0.41365,32,32,0.24028,0.58702
2017,North Rhine-Westphalia,Further vocational education,0.53797,37,37,0.37511,0.70083
2017,Bavaria,Further vocational education,0.56598,37,37,0.40407,0.72788
2018,North Rhine-Westphalia,Further vocational education,0.40942,31,31,0.23345,0.58538
2020,North Rhine-Westphalia,Further vocational education,0.44829,31,31,0.27033,0.62626
