year,age_gr,regtyp,plg0292_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Further vocational education,1.00000,34,34,1.00000,1.00000
1986,17-29 y.,Urban regions,Further vocational education,1.00000,35,69,1.00000,1.00000
1986,30-45 y.,Urban regions,Further vocational education,1.00000,34,69,1.00000,1.00000
1987,17-29 y.,Urban regions,Further vocational education,1.00000,38,77,1.00000,1.00000
1987,30-45 y.,Urban regions,Further vocational education,1.00000,39,77,1.00000,1.00000
1988,17-29 y.,Urban regions,Further vocational education,1.00000,37,37,1.00000,1.00000
1990,17-29 y.,Urban regions,Further vocational education,1.00000,32,82,1.00000,1.00000
1990,30-45 y.,Urban regions,Further vocational education,1.00000,50,82,1.00000,1.00000
1991,30-45 y.,Urban regions,Further vocational education,1.00000,35,35,1.00000,1.00000
1992,17-29 y.,Urban regions,Further vocational education,1.00000,38,210,1.00000,1.00000
1992,17-29 y.,Rural regions,Vocational Retraining,1.00000,31,210,1.00000,1.00000
1992,30-45 y.,Urban regions,Further vocational education,1.00000,51,210,1.00000,1.00000
1992,30-45 y.,Rural regions,Vocational Retraining,0.40231,35,210,0.40045,0.40417
1992,30-45 y.,Rural regions,Further vocational education,0.59769,55,210,0.59583,0.59955
1993,17-29 y.,Urban regions,Further vocational education,1.00000,43,195,1.00000,1.00000
1993,17-29 y.,Rural regions,Vocational Retraining,1.00000,35,195,1.00000,1.00000
1993,30-45 y.,Urban regions,Further vocational education,1.00000,66,195,1.00000,1.00000
1993,30-45 y.,Rural regions,Further vocational education,1.00000,51,195,1.00000,1.00000
1994,17-29 y.,Urban regions,Further vocational education,1.00000,31,125,1.00000,1.00000
1994,30-45 y.,Urban regions,Further vocational education,1.00000,53,125,1.00000,1.00000
1994,30-45 y.,Rural regions,Further vocational education,1.00000,41,125,1.00000,1.00000
1995,17-29 y.,Urban regions,Further vocational education,1.00000,44,133,1.00000,1.00000
1995,30-45 y.,Urban regions,Further vocational education,1.00000,53,133,1.00000,1.00000
1995,30-45 y.,Rural regions,Further vocational education,1.00000,36,133,1.00000,1.00000
1996,30-45 y.,Urban regions,Further vocational education,1.00000,47,47,1.00000,1.00000
1997,30-45 y.,Urban regions,Further vocational education,1.00000,54,95,1.00000,1.00000
