year,age_gr,pgisced97,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Upper Secondary Level,Further vocational education,0.61519,35,35,0.45164,0.77873
1986,17-29 y.,Upper Secondary Level,Further vocational education,0.64632,33,33,0.48066,0.81198
1988,17-29 y.,Upper Secondary Level,Further vocational education,0.59624,35,35,0.43132,0.76117
1990,17-29 y.,Upper Secondary Level,Further vocational education,0.54800,34,34,0.37820,0.71781
1990,30-45 y.,Upper Secondary Level,Further vocational education,0.56331,33,33,0.39146,0.73516
1990,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.56651,31,31,0.38918,0.74385
1992,17-29 y.,Upper Secondary Level,Vocational Retraining,0.30321,35,76,0.19918,0.40723
1992,17-29 y.,Upper Secondary Level,Further vocational education,0.44868,41,76,0.33612,0.56124
1992,30-45 y.,Upper Secondary Level,Vocational Retraining,0.32671,37,78,0.22195,0.43147
1992,30-45 y.,Upper Secondary Level,Further vocational education,0.46096,41,78,0.34962,0.57230
1992,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.60143,50,50,0.46434,0.73852
1993,17-29 y.,Upper Secondary Level,Vocational Retraining,0.38887,40,89,0.28702,0.49073
1993,17-29 y.,Upper Secondary Level,Further vocational education,0.45300,49,89,0.34899,0.55701
1993,30-45 y.,Upper Secondary Level,Further vocational education,0.62979,52,52,0.49727,0.76231
1993,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.76865,47,47,0.64678,0.89051
1994,17-29 y.,Upper Secondary Level,Further vocational education,0.54163,31,31,0.36333,0.71993
1994,30-45 y.,Upper Secondary Level,Further vocational education,0.43721,36,36,0.27287,0.60155
1994,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.66523,40,40,0.51712,0.81334
1995,17-29 y.,Upper Secondary Level,Further vocational education,0.60077,37,37,0.44078,0.76075
1995,30-45 y.,Upper Secondary Level,Further vocational education,0.45762,36,36,0.29256,0.62267
1995,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.61675,38,38,0.46010,0.77341
1996,30-45 y.,Upper Secondary Level,Further vocational education,0.48026,42,42,0.32733,0.63319
1997,30-45 y.,Upper Secondary Level,Further vocational education,0.54041,44,44,0.39145,0.68937
1997,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.68341,34,34,0.52471,0.84212
1999,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.79245,39,39,0.66350,0.92139
2000,17-29 y.,Upper Secondary Level,Further vocational education,0.52101,31,31,0.34225,0.69978
2000,30-45 y.,Upper Secondary Level,Further vocational education,0.42616,50,50,0.28770,0.56463
2000,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.49041,35,35,0.32237,0.65845
2001,30-45 y.,Upper Secondary Level,Further vocational education,0.44429,45,45,0.29747,0.59111
2001,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.55015,34,34,0.38041,0.71988
2002,30-45 y.,Upper Secondary Level,Further vocational education,0.53467,45,45,0.38728,0.68205
2002,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.57245,32,32,0.39829,0.74660
2003,30-45 y.,Upper Secondary Level,Vocational Retraining,0.35465,32,68,0.24010,0.46921
2003,30-45 y.,Upper Secondary Level,Further vocational education,0.42643,36,68,0.30801,0.54485
2003,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.55643,35,35,0.38944,0.72343
2004,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.53616,32,32,0.36061,0.71172
2010,30-45 y.,Upper Secondary Level,Further vocational education,0.50384,31,31,0.32492,0.68275
2011,30-45 y.,Upper Secondary Level,Vocational Retraining,0.26669,37,82,0.17038,0.36300
2011,30-45 y.,Upper Secondary Level,Further vocational education,0.54732,45,82,0.43892,0.65572
2011,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.75763,31,31,0.60429,0.91097
2012,30-45 y.,Upper Secondary Level,Vocational Retraining,0.34600,32,32,0.17854,0.51345
2013,30-45 y.,Upper Secondary Level,Vocational Retraining,0.28316,35,77,0.18187,0.38445
2013,30-45 y.,Upper Secondary Level,Further vocational education,0.46756,42,77,0.35538,0.57974
2013,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.69183,35,35,0.53662,0.84703
2014,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.72391,34,34,0.57138,0.87644
2016,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.47923,33,33,0.30614,0.65232
2017,30-45 y.,Second Stage of Tertiary Education,Further vocational education,0.68909,37,37,0.53789,0.84029
