year,pgisced97,regtyp,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Upper Secondary Level,No answer / don't know,Further vocational education,0.59766,63,63,0.47560,0.71973
1985,Upper Secondary Level,Urban regions,Further vocational education,0.66928,45,45,0.53026,0.80830
1986,Upper Secondary Level,Urban regions,Further vocational education,0.65545,49,49,0.52101,0.78989
1987,Upper Secondary Level,Urban regions,Further vocational education,0.40296,34,34,0.23561,0.57031
1988,Upper Secondary Level,Urban regions,Further vocational education,0.51682,45,45,0.36916,0.66448
1989,Upper Secondary Level,Urban regions,Further vocational education,0.61444,34,34,0.44837,0.78051
1990,Upper Secondary Level,Urban regions,Further vocational education,0.49991,52,52,0.36269,0.63714
1991,Upper Secondary Level,Urban regions,Further vocational education,0.56209,36,36,0.39772,0.72646
1992,Upper Secondary Level,Urban regions,Further vocational education,0.44392,49,49,0.30336,0.58447
1992,Upper Secondary Level,Rural regions,Vocational Retraining,0.42802,52,102,0.33153,0.52452
1992,Upper Secondary Level,Rural regions,Further vocational education,0.47220,50,102,0.37484,0.56956
1992,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.58743,40,40,0.43292,0.74194
1992,Second Stage of Tertiary Education,Rural regions,Further vocational education,0.59850,37,37,0.43837,0.75863
1993,Upper Secondary Level,Urban regions,Further vocational education,0.54838,57,57,0.41804,0.67873
1993,Upper Secondary Level,Rural regions,Vocational Retraining,0.44377,55,109,0.35006,0.53747
1993,Upper Secondary Level,Rural regions,Further vocational education,0.48166,54,109,0.38742,0.57589
1993,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.73261,37,37,0.58802,0.87719
1994,Upper Secondary Level,Urban regions,Further vocational education,0.53209,43,43,0.38118,0.68299
1994,Upper Secondary Level,Rural regions,Vocational Retraining,0.36476,34,69,0.25035,0.47917
1994,Upper Secondary Level,Rural regions,Further vocational education,0.46861,35,69,0.35000,0.58721
1994,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.70332,32,32,0.54252,0.86413
1995,Upper Secondary Level,Urban regions,Further vocational education,0.51939,46,46,0.37341,0.66537
1995,Upper Secondary Level,Rural regions,Further vocational education,0.47177,36,36,0.30638,0.63716
1995,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.64744,35,35,0.48684,0.80803
1996,Upper Secondary Level,Urban regions,Further vocational education,0.53247,49,49,0.39132,0.67362
1996,Upper Secondary Level,Rural regions,Further vocational education,0.52122,37,37,0.35803,0.68440
1997,Upper Secondary Level,Urban regions,Further vocational education,0.47073,38,38,0.30990,0.63157
1997,Upper Secondary Level,Rural regions,Further vocational education,0.54461,35,35,0.37722,0.71201
1998,Upper Secondary Level,Urban regions,Further vocational education,0.63002,36,36,0.47007,0.78998
