year,age_gr,migback,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Further vocational education,0.01734,41,41,-0.02311,0.05778
1984,30-45 y.,No migration background,Further vocational education,0.01706,43,43,-0.02210,0.05623
1985,17-29 y.,No migration background,Further vocational education,0.02024,40,40,-0.02396,0.06443
1985,30-45 y.,No migration background,Further vocational education,0.01367,31,31,-0.02788,0.05523
1986,17-29 y.,No migration background,Further vocational education,0.01835,39,39,-0.02432,0.06102
1986,30-45 y.,No migration background,Further vocational education,0.01834,41,41,-0.02324,0.05993
1987,17-29 y.,No migration background,Further vocational education,0.01407,37,37,-0.02441,0.05255
1987,30-45 y.,No migration background,Further vocational education,0.02146,44,44,-0.02185,0.06477
1988,17-29 y.,No migration background,Further vocational education,0.01944,42,42,-0.02282,0.06170
1988,30-45 y.,No migration background,Further vocational education,0.01578,31,31,-0.02882,0.06038
1990,17-29 y.,No migration background,Further vocational education,0.01802,48,48,-0.02001,0.05605
1990,30-45 y.,No migration background,Further vocational education,0.02017,73,73,-0.01230,0.05264
1991,17-29 y.,No migration background,Further vocational education,0.01210,31,31,-0.02703,0.05124
1991,30-45 y.,No migration background,Further vocational education,0.01753,39,39,-0.02420,0.05926
1992,17-29 y.,No migration background,Vocational Retraining,0.01513,46,110,-0.00779,0.03805
1992,17-29 y.,No migration background,Further vocational education,0.02590,64,110,-0.00392,0.05571
1992,30-45 y.,No migration background,Vocational Retraining,0.01138,58,162,-0.00500,0.02776
1992,30-45 y.,No migration background,Further vocational education,0.02207,104,162,-0.00063,0.04476
1992,46-65 y.,No migration background,Further vocational education,0.00708,35,35,-0.02110,0.03526
1993,17-29 y.,No migration background,Vocational Retraining,0.01886,48,108,-0.00691,0.04464
1993,17-29 y.,No migration background,Further vocational education,0.02559,60,108,-0.00433,0.05552
1993,30-45 y.,No migration background,Vocational Retraining,0.00827,47,160,-0.00581,0.02234
1993,30-45 y.,No migration background,Further vocational education,0.02592,113,160,0.00122,0.05062
1994,17-29 y.,No migration background,Further vocational education,0.02097,48,48,-0.01999,0.06193
1994,30-45 y.,No migration background,Vocational Retraining,0.01058,42,130,-0.00708,0.02824
1994,30-45 y.,No migration background,Further vocational education,0.02395,88,130,-0.00244,0.05033
1995,17-29 y.,No migration background,Further vocational education,0.02595,54,54,-0.01685,0.06875
1995,30-45 y.,No migration background,Further vocational education,0.01899,82,82,-0.01073,0.04872
1996,17-29 y.,No migration background,Further vocational education,0.02213,46,46,-0.02085,0.06511
1996,30-45 y.,No migration background,Vocational Retraining,0.00976,39,106,-0.00904,0.02857
1996,30-45 y.,No migration background,Further vocational education,0.01625,67,106,-0.00793,0.04044
1997,17-29 y.,No migration background,Further vocational education,0.01866,35,35,-0.02683,0.06414
1997,30-45 y.,No migration background,Further vocational education,0.02135,80,80,-0.01052,0.05323
1998,30-45 y.,No migration background,Vocational Retraining,0.00739,33,92,-0.01021,0.02498
1998,30-45 y.,No migration background,Further vocational education,0.01659,59,92,-0.00965,0.04284
