year,plg0292_h,age_gr,quintil_oecd,proportion,n,lower_confidence,upper_confidence
1984,Vocational Retraining,18-29 y.,1st Quintile,0.45,16099,0.44231499378954797,0.45768500621045205
1984,Vocational Retraining,30-45 y.,1st Quintile,0.15,16099,0.1444841593191925,0.15551584068080748
1984,Vocational Retraining,18-29 y.,2nd Quintile,0.15,16099,0.1444841593191925,0.15551584068080748
1984,Vocational Retraining,46-65 y.,1st Quintile,0.05,16099,0.04663330769790881,0.05336669230209119
1984,Vocational Retraining,46-65 y.,3rd Quintile,0.05,16099,0.04663330769790881,0.05336669230209119
1984,Vocational Retraining,30-45 y.,5th Quintile,0.05,16099,0.04663330769790881,0.05336669230209119
1984,Vocational Retraining,30-45 y.,2nd Quintile,0.05,16099,0.04663330769790881,0.05336669230209119
1984,Vocational Retraining,18-29 y.,3rd Quintile,0.05,16099,0.04663330769790881,0.05336669230209119
1984,Further vocational education,18-29 y.,1st Quintile,0.2018348623853211,16099,0.1956347281828247,0.20803499658781752
1984,Further vocational education,30-45 y.,1st Quintile,0.1743119266055046,16099,0.16845151420794655,0.18017233900306265
1984,Further vocational education,30-45 y.,2nd Quintile,0.1743119266055046,16099,0.16845151420794655,0.18017233900306265
1984,Further vocational education,18-29 y.,2nd Quintile,0.1651376146788991,16099,0.15940190617338626,0.17087332318441192
1984,Further vocational education,18-29 y.,3rd Quintile,0.08256880733944955,16099,0.0783172173291709,0.0868203973497282
1984,Further vocational education,30-45 y.,3rd Quintile,0.07339449541284404,16099,0.06936606557903575,0.07742292524665233
1984,Further vocational education,46-65 y.,2nd Quintile,0.03669724770642202,16099,0.03379285880559729,0.03960163660724675
1984,Further vocational education,46-65 y.,3rd Quintile,0.01834862385321101,16099,0.016275443856277355,0.020421803850144665
1984,Further vocational education,46-65 y.,1st Quintile,0.01834862385321101,16099,0.016275443856277355,0.020421803850144665
1984,Further vocational education,30-45 y.,4th Quintile,0.01834862385321101,16099,0.016275443856277355,0.020421803850144665
1984,Further vocational education,30-45 y.,5th Quintile,0.009174311926605505,16099,0.007701517944454525,0.010647105908756485
1984,Further vocational education,46-65 y.,4th Quintile,0.009174311926605505,16099,0.007701517944454525,0.010647105908756485
1984,Further vocational education,46-65 y.,5th Quintile,0.009174311926605505,16099,0.007701517944454525,0.010647105908756485
1984,Further vocational education,18-29 y.,4th Quintile,0.009174311926605505,16099,0.007701517944454525,0.010647105908756485
