year,regtyp,sex,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,male,Further vocational education,0.00982,46,46,-0.01899,0.03864
1986,Urban regions,male,Further vocational education,0.01205,51,51,-0.01819,0.04229
1987,Urban regions,male,Further vocational education,0.01176,57,57,-0.01648,0.03999
1988,Urban regions,male,Further vocational education,0.00822,44,44,-0.01877,0.03521
1989,Urban regions,male,Further vocational education,0.00980,35,35,-0.02331,0.04292
1990,Urban regions,male,Further vocational education,0.01127,56,56,-0.01663,0.03916
1990,Urban regions,female,Further vocational education,0.00683,44,44,-0.01779,0.03145
1990,Rural regions,male,Further vocational education,0.01049,33,33,-0.02481,0.04578
1991,Urban regions,male,Further vocational education,0.01048,53,53,-0.01720,0.03815
1992,Urban regions,male,Further vocational education,0.00969,51,51,-0.01746,0.03684
1992,Urban regions,female,Vocational Retraining,0.00420,31,90,-0.00923,0.01763
1992,Urban regions,female,Further vocational education,0.00780,59,90,-0.01048,0.02608
1992,Rural regions,male,Further vocational education,0.01589,46,46,-0.02065,0.05242
1992,Rural regions,female,Vocational Retraining,0.01309,43,98,-0.00953,0.03572
1992,Rural regions,female,Further vocational education,0.01390,55,98,-0.00940,0.03719
1993,Urban regions,male,Further vocational education,0.01173,61,61,-0.01551,0.03898
1993,Urban regions,female,Further vocational education,0.00790,59,59,-0.01488,0.03068
1993,Rural regions,male,Further vocational education,0.01492,49,49,-0.01938,0.04921
1993,Rural regions,female,Vocational Retraining,0.01254,44,86,-0.01112,0.03619
1993,Rural regions,female,Further vocational education,0.01081,42,86,-0.01117,0.03279
1994,Urban regions,male,Further vocational education,0.01292,58,58,-0.01640,0.04223
1994,Urban regions,female,Further vocational education,0.00799,47,47,-0.01774,0.03371
1994,Rural regions,male,Further vocational education,0.01458,40,40,-0.02304,0.05219
1994,Rural regions,female,Further vocational education,0.00962,33,33,-0.02420,0.04343
1995,Urban regions,male,Further vocational education,0.01072,53,53,-0.01727,0.03871
