year,age_gr,sex,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,male,Further vocational education,0.02555,36,36,-0.02673,0.07783
1984,30-45 y.,male,Further vocational education,0.02317,35,35,-0.02740,0.07373
1987,17-29 y.,male,Further vocational education,0.01940,32,32,-0.02915,0.06796
1987,30-45 y.,male,Further vocational education,0.02811,36,36,-0.02665,0.08287
1988,17-29 y.,male,Further vocational education,0.01746,32,32,-0.02865,0.06356
1990,17-29 y.,male,Further vocational education,0.01819,33,33,-0.02811,0.06450
1990,30-45 y.,male,Further vocational education,0.02241,43,43,-0.02235,0.06717
1990,30-45 y.,female,Further vocational education,0.01482,35,35,-0.02580,0.05544
1991,17-29 y.,male,Further vocational education,0.01827,31,31,-0.02965,0.06619
1992,17-29 y.,male,Further vocational education,0.03057,38,38,-0.02490,0.08604
1992,17-29 y.,female,Vocational Retraining,0.01970,31,31,-0.03003,0.06944
1992,30-45 y.,male,Further vocational education,0.01806,46,46,-0.02085,0.05697
1992,30-45 y.,female,Vocational Retraining,0.01251,38,101,-0.00927,0.03430
1992,30-45 y.,female,Further vocational education,0.02351,63,101,-0.00619,0.05320
1993,17-29 y.,male,Further vocational education,0.03173,46,46,-0.01948,0.08293
1993,17-29 y.,female,Vocational Retraining,0.02080,31,31,-0.03027,0.07188
1993,30-45 y.,male,Further vocational education,0.02395,54,54,-0.01721,0.06511
1993,30-45 y.,female,Vocational Retraining,0.01024,33,96,-0.01000,0.03048
1993,30-45 y.,female,Further vocational education,0.02395,63,96,-0.00680,0.05469
1994,30-45 y.,male,Further vocational education,0.02479,51,51,-0.01831,0.06788
1994,30-45 y.,female,Further vocational education,0.02036,43,43,-0.02235,0.06307
1995,17-29 y.,male,Further vocational education,0.02190,32,32,-0.02962,0.07342
1995,17-29 y.,female,Further vocational education,0.02170,31,31,-0.03044,0.07384
1995,30-45 y.,male,Further vocational education,0.01681,35,35,-0.02640,0.06001
1995,30-45 y.,female,Further vocational education,0.01822,54,54,-0.01779,0.05422
1996,30-45 y.,male,Further vocational education,0.01606,39,39,-0.02391,0.05602
1996,30-45 y.,female,Vocational Retraining,0.01331,35,71,-0.01354,0.04016
1996,30-45 y.,female,Further vocational education,0.01478,36,71,-0.01349,0.04305
1997,30-45 y.,male,Further vocational education,0.02030,44,44,-0.02185,0.06246
1997,30-45 y.,female,Further vocational education,0.02402,51,51,-0.01842,0.06645
1998,30-45 y.,female,Further vocational education,0.01905,40,40,-0.02385,0.06196
1999,30-45 y.,female,Further vocational education,0.01858,47,47,-0.02044,0.05761
2000,17-29 y.,male,Further vocational education,0.01462,31,31,-0.02833,0.05758
2000,17-29 y.,female,Further vocational education,0.01206,33,33,-0.02576,0.04987
2000,30-45 y.,male,Further vocational education,0.00820,35,35,-0.02211,0.03850
2000,30-45 y.,female,Further vocational education,0.01698,78,78,-0.01188,0.04583
2001,17-29 y.,female,Further vocational education,0.01747,37,37,-0.02533,0.06028
2001,30-45 y.,male,Further vocational education,0.01335,41,41,-0.02222,0.04891
2001,30-45 y.,female,Further vocational education,0.01659,64,64,-0.01495,0.04814
2002,30-45 y.,male,Further vocational education,0.01615,45,45,-0.02110,0.05340
2002,30-45 y.,female,Further vocational education,0.01351,55,55,-0.01728,0.04429
2003,30-45 y.,male,Further vocational education,0.01290,39,39,-0.02298,0.04879
2003,30-45 y.,female,Further vocational education,0.01421,54,54,-0.01765,0.04607
2004,17-29 y.,female,Further vocational education,0.01305,33,33,-0.02627,0.05237
2004,30-45 y.,male,Further vocational education,0.01564,43,43,-0.02189,0.05317
2004,30-45 y.,female,Further vocational education,0.01021,36,36,-0.02310,0.04352
2010,30-45 y.,male,Further vocational education,0.01113,34,34,-0.02467,0.04693
2010,30-45 y.,female,Further vocational education,0.00753,45,45,-0.01802,0.03309
2011,30-45 y.,male,Further vocational education,0.01697,44,44,-0.02164,0.05558
2011,30-45 y.,female,Vocational Retraining,0.00394,36,96,-0.00866,0.01653
2011,30-45 y.,female,Further vocational education,0.01150,60,96,-0.00994,0.03295
2012,30-45 y.,female,Vocational Retraining,0.00395,34,85,-0.00946,0.01735
2012,30-45 y.,female,Further vocational education,0.01229,51,85,-0.01127,0.03585
2013,30-45 y.,male,Further vocational education,0.01391,39,39,-0.02333,0.05115
2013,30-45 y.,female,Vocational Retraining,0.00399,34,130,-0.00689,0.01487
2013,30-45 y.,female,Further vocational education,0.01262,64,130,-0.00664,0.03188
2013,30-45 y.,female,Others,0.00484,32,130,-0.00714,0.01682
2013,46-65 y.,female,Further vocational education,0.00488,36,36,-0.01820,0.02795
2014,30-45 y.,female,Vocational Retraining,0.00564,31,81,-0.01077,0.02206
2014,30-45 y.,female,Further vocational education,0.01199,50,81,-0.01186,0.03585
2014,46-65 y.,female,Further vocational education,0.00572,39,39,-0.01826,0.02970
2015,30-45 y.,female,Further vocational education,0.01091,47,47,-0.01911,0.04094
2016,30-45 y.,female,Further vocational education,0.01468,52,52,-0.01833,0.04768
2017,30-45 y.,male,Further vocational education,0.01119,35,35,-0.02417,0.04656
2017,30-45 y.,female,Further vocational education,0.01267,45,45,-0.02038,0.04573
2017,46-65 y.,female,Further vocational education,0.00547,36,36,-0.01897,0.02991
2018,30-45 y.,female,Further vocational education,0.01292,41,41,-0.02208,0.04792
