year,quintil_oecd,regtyp,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,4th Quintile,No answer / don't know,Further vocational education,0.69531,33,33,0.53583,0.85478
1984,5th Quintile,No answer / don't know,Further vocational education,0.62445,39,39,0.47048,0.77842
1987,4th Quintile,Urban regions,Further vocational education,0.64233,31,31,0.47082,0.81385
1987,5th Quintile,Urban regions,Further vocational education,0.60392,32,32,0.43175,0.77609
1993,1st Quintile,Rural regions,Vocational Retraining,0.57046,32,32,0.39621,0.74472
1993,5th Quintile,Urban regions,Further vocational education,0.74111,31,31,0.58436,0.89785
1994,4th Quintile,Urban regions,Further vocational education,0.78688,31,31,0.64034,0.93343
1994,5th Quintile,Urban regions,Further vocational education,0.78218,35,35,0.64344,0.92093
1995,5th Quintile,Urban regions,Further vocational education,0.72880,39,39,0.58744,0.87015
2001,4th Quintile,Urban regions,Further vocational education,0.69041,39,39,0.54341,0.83741
2001,5th Quintile,Urban regions,Further vocational education,0.66096,42,42,0.51606,0.80587
2002,4th Quintile,Urban regions,Further vocational education,0.53789,32,32,0.36238,0.71340
2002,5th Quintile,Urban regions,Further vocational education,0.67682,33,33,0.51477,0.83887
2004,5th Quintile,Urban regions,Further vocational education,0.50383,31,31,0.32491,0.68275
