year,regtyp,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Further vocational education,0.00791,72,72,-0.01270,0.02851
1986,Urban regions,Further vocational education,0.00820,77,77,-0.01208,0.02848
1987,Urban regions,Further vocational education,0.00803,83,83,-0.01129,0.02735
1988,Urban regions,Further vocational education,0.00592,65,96,-0.00951,0.02136
1988,Urban regions,Others,0.00374,31,96,-0.00853,0.01601
1988,Rural regions,Further vocational education,0.01198,33,33,-0.02571,0.04967
1989,Urban regions,Further vocational education,0.00690,55,55,-0.01518,0.02897
1990,Urban regions,Vocational Retraining,0.00264,32,132,-0.00615,0.01143
1990,Urban regions,Further vocational education,0.00897,100,132,-0.00718,0.02511
1990,Rural regions,Further vocational education,0.00940,61,61,-0.01502,0.03383
1991,Urban regions,Further vocational education,0.00736,71,71,-0.01266,0.02739
1992,Urban regions,Vocational Retraining,0.00338,54,202,-0.00464,0.01140
1992,Urban regions,Further vocational education,0.00871,110,202,-0.00413,0.02156
1992,Urban regions,Others,0.00342,38,202,-0.00465,0.01149
1992,Rural regions,Vocational Retraining,0.01044,73,174,-0.00471,0.02558
1992,Rural regions,Further vocational education,0.01487,101,174,-0.00317,0.03291
1993,Urban regions,Vocational Retraining,0.00301,43,163,-0.00543,0.01144
1993,Urban regions,Further vocational education,0.00977,120,163,-0.00538,0.02492
1993,Rural regions,Vocational Retraining,0.00996,70,161,-0.00543,0.02534
1993,Rural regions,Further vocational education,0.01279,91,161,-0.00462,0.03020
1994,Urban regions,Vocational Retraining,0.00317,37,142,-0.00611,0.01244
1994,Urban regions,Further vocational education,0.01039,105,142,-0.00635,0.02713
1994,Rural regions,Vocational Retraining,0.00704,44,117,-0.00818,0.02225
1994,Rural regions,Further vocational education,0.01203,73,117,-0.00781,0.03187
1995,Urban regions,Vocational Retraining,0.00380,43,153,-0.00598,0.01358
1995,Urban regions,Further vocational education,0.00932,110,153,-0.00596,0.02460
1995,Rural regions,Vocational Retraining,0.00543,37,105,-0.00869,0.01956
1995,Rural regions,Further vocational education,0.01022,68,105,-0.00911,0.02954
