year,bula_h,regtyp,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,North Rhine-Westphalia,Urban regions,Further vocational education,0.47344,31,31,0.29477,0.65211
2001,North Rhine-Westphalia,Urban regions,Further vocational education,0.49239,34,34,0.32181,0.66296
2002,North Rhine-Westphalia,Urban regions,Further vocational education,0.56080,36,36,0.39638,0.72522
2003,North Rhine-Westphalia,Urban regions,Further vocational education,0.60994,41,41,0.45879,0.76110
2004,North Rhine-Westphalia,Urban regions,Further vocational education,0.55534,33,33,0.38316,0.72752
2011,North Rhine-Westphalia,Urban regions,Further vocational education,0.69791,39,39,0.55191,0.84390
2014,North Rhine-Westphalia,Urban regions,Further vocational education,0.41780,31,31,0.24131,0.59429
2015,North Rhine-Westphalia,Urban regions,Further vocational education,0.44296,32,32,0.26810,0.61782
2017,North Rhine-Westphalia,Urban regions,Further vocational education,0.53797,37,37,0.37511,0.70083
2018,North Rhine-Westphalia,Urban regions,Further vocational education,0.40942,31,31,0.23345,0.58538
2020,North Rhine-Westphalia,Urban regions,Further vocational education,0.44829,31,31,0.27033,0.62626
