,Unnamed: 0,year,quintil_oecd,plg0292_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,4th Quintile,Further vocational education,1.0,35,73,0.87637,1.11076
1,1,1984,5th Quintile,Further vocational education,1.0,38,73,0.90294,1.06747
2,2,1985,5th Quintile,Further vocational education,1.0,37,37,0.90374,1.11127
3,3,1986,4th Quintile,Further vocational education,1.0,35,67,0.8937,1.10673
4,4,1986,5th Quintile,Further vocational education,1.0,32,67,0.85451,1.11958
5,5,1987,4th Quintile,Further vocational education,1.0,37,74,0.8345,1.16526
6,6,1987,5th Quintile,Further vocational education,1.0,37,74,0.85669,1.12009
7,7,1991,5th Quintile,Further vocational education,1.0,31,31,0.82358,1.21798
8,8,1992,1st Quintile,Vocational Retraining,0.53935,46,305,0.46928,0.62572
9,9,1992,1st Quintile,Further vocational education,0.46065,33,305,0.35615,0.56072
10,10,1992,2nd Quintile,Vocational Retraining,0.45526,42,305,0.36761,0.58849
11,11,1992,2nd Quintile,Further vocational education,0.54474,53,305,0.46946,0.63254
12,12,1992,3rd Quintile,Further vocational education,1.0,53,305,0.84741,1.16859
13,13,1992,4th Quintile,Further vocational education,1.0,45,305,0.81867,1.22501
14,14,1992,5th Quintile,Further vocational education,1.0,33,305,0.8235,1.19751
15,15,1993,1st Quintile,Vocational Retraining,1.0,46,228,0.81668,1.25654
16,16,1993,2nd Quintile,Further vocational education,1.0,53,228,0.84425,1.14829
17,17,1993,3rd Quintile,Further vocational education,1.0,49,228,0.82847,1.17904
18,18,1993,4th Quintile,Further vocational education,1.0,43,228,0.82745,1.18177
19,19,1993,5th Quintile,Further vocational education,1.0,37,228,0.82462,1.22465
20,20,1994,3rd Quintile,Further vocational education,1.0,36,130,0.77843,1.23772
21,21,1994,4th Quintile,Further vocational education,1.0,47,130,0.78178,1.20524
22,22,1994,5th Quintile,Further vocational education,1.0,47,130,0.80254,1.24028
23,23,1995,3rd Quintile,Further vocational education,1.0,34,125,0.78668,1.25265
24,24,1995,4th Quintile,Further vocational education,1.0,42,125,0.86516,1.15418
25,25,1995,5th Quintile,Further vocational education,1.0,49,125,0.79033,1.22649
26,26,1996,2nd Quintile,Further vocational education,1.0,37,79,0.77982,1.30449
27,27,1996,4th Quintile,Further vocational education,1.0,42,79,0.78482,1.26473
28,28,1997,2nd Quintile,Further vocational education,1.0,35,139,0.77486,1.31472
29,29,1997,3rd Quintile,Further vocational education,1.0,31,139,0.69972,1.38044
30,30,1997,4th Quintile,Further vocational education,1.0,34,139,0.75388,1.29546
31,31,1997,5th Quintile,Further vocational education,1.0,39,139,0.68179,1.3747
32,32,1998,4th Quintile,Further vocational education,1.0,34,65,0.72315,1.29077
33,33,1998,5th Quintile,Further vocational education,1.0,31,65,0.73104,1.33683
34,34,1999,3rd Quintile,Further vocational education,1.0,32,108,0.7684,1.36806
35,35,1999,4th Quintile,Further vocational education,1.0,45,108,0.7602,1.29723
36,36,1999,5th Quintile,Further vocational education,1.0,31,108,0.73481,1.35037
37,37,2000,4th Quintile,Further vocational education,1.0,41,73,0.77124,1.28598
38,38,2000,5th Quintile,Further vocational education,1.0,32,73,0.73002,1.30824
39,39,2001,2nd Quintile,Further vocational education,1.0,31,181,0.82266,1.17954
40,40,2001,3rd Quintile,Further vocational education,1.0,36,181,0.74551,1.28089
41,41,2001,4th Quintile,Further vocational education,1.0,59,181,0.83004,1.17838
42,42,2001,5th Quintile,Further vocational education,1.0,55,181,0.79019,1.22767
43,43,2002,1st Quintile,Vocational Retraining,1.0,31,161,0.76982,1.24578
44,44,2002,4th Quintile,Further vocational education,1.0,39,161,0.81863,1.19889
45,45,2002,5th Quintile,Further vocational education,0.61509,50,161,0.47176,0.7599
46,46,2002,5th Quintile,Others,0.38491,41,161,0.2836,0.49066
47,47,2003,3rd Quintile,Further vocational education,1.0,32,123,0.78148,1.28994
48,48,2003,4th Quintile,Further vocational education,1.0,41,123,0.71912,1.30705
49,49,2003,5th Quintile,Further vocational education,1.0,50,123,0.78036,1.26507
50,50,2004,4th Quintile,Further vocational education,1.0,42,93,0.73473,1.24223
51,51,2004,5th Quintile,Further vocational education,1.0,51,93,0.74638,1.30696
52,52,2005,5th Quintile,Further vocational education,1.0,38,38,0.6274,1.38607
53,53,2007,5th Quintile,Further vocational education,1.0,31,31,0.59267,1.45859
54,54,2010,5th Quintile,Further vocational education,1.0,31,31,0.63797,1.46384
55,55,2011,1st Quintile,Vocational Retraining,1.0,34,102,0.53827,1.53907
56,56,2011,4th Quintile,Further vocational education,1.0,37,102,0.63186,1.49087
57,57,2011,5th Quintile,Further vocational education,1.0,31,102,0.59116,1.43245
58,58,2012,3rd Quintile,Further vocational education,1.0,38,79,0.58801,1.52222
59,59,2012,5th Quintile,Further vocational education,1.0,41,79,0.68671,1.3471
60,60,2013,1st Quintile,Others,1.0,32,184,0.54256,1.42256
61,61,2013,2nd Quintile,Further vocational education,1.0,32,184,0.69549,1.27536
62,62,2013,3rd Quintile,Further vocational education,1.0,36,184,0.60409,1.53207
63,63,2013,4th Quintile,Further vocational education,1.0,45,184,0.64292,1.38801
64,64,2013,5th Quintile,Further vocational education,1.0,39,184,0.69561,1.35448
65,65,2014,1st Quintile,Vocational Retraining,1.0,35,155,0.56902,1.53501
66,66,2014,2nd Quintile,Further vocational education,1.0,43,155,0.65289,1.52493
67,67,2014,4th Quintile,Further vocational education,1.0,34,155,0.57081,1.39243
68,68,2014,5th Quintile,Further vocational education,1.0,43,155,0.70646,1.38068
69,69,2015,4th Quintile,Further vocational education,1.0,31,31,0.64393,1.5872
70,70,2016,1st Quintile,Vocational Retraining,0.48778,37,133,0.3363,0.67435
71,71,2016,1st Quintile,Others,0.51222,31,133,0.30787,0.7913
72,72,2016,4th Quintile,Further vocational education,1.0,31,133,0.58035,1.6165
73,73,2016,5th Quintile,Further vocational education,1.0,34,133,0.58525,1.4821
74,74,2017,1st Quintile,Vocational Retraining,1.0,38,79,0.75451,1.24097
75,75,2017,5th Quintile,Further vocational education,1.0,41,79,0.69519,1.35333
76,76,2019,1st Quintile,Vocational Retraining,1.0,33,67,0.56738,1.54654
77,77,2019,4th Quintile,Further vocational education,1.0,34,67,0.54638,1.62356
78,78,2021,5th Quintile,Further vocational education,1.0,32,32,0.52415,1.61256
