,Unnamed: 0,year,age_gr,sampreg,plg0292_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,17-29 y.,West,Further vocational education,1.0,50,99,0.87999,1.10473
1,1,1984,30-45 y.,West,Further vocational education,1.0,49,99,0.91112,1.08379
2,2,1985,17-29 y.,West,Further vocational education,1.0,47,86,0.88886,1.13384
3,3,1985,30-45 y.,West,Further vocational education,1.0,39,86,0.90657,1.11034
4,4,1986,17-29 y.,West,Further vocational education,1.0,47,92,0.87736,1.11271
5,5,1986,30-45 y.,West,Further vocational education,1.0,45,92,0.89374,1.10256
6,6,1987,17-29 y.,West,Further vocational education,1.0,47,95,0.81072,1.18722
7,7,1987,30-45 y.,West,Further vocational education,1.0,48,95,0.883,1.11437
8,8,1988,17-29 y.,West,Further vocational education,1.0,55,94,0.80972,1.19541
9,9,1988,30-45 y.,West,Further vocational education,1.0,39,94,0.84402,1.17775
10,10,1989,17-29 y.,West,Further vocational education,1.0,35,35,0.82307,1.20584
11,11,1990,17-29 y.,West,Further vocational education,1.0,35,113,0.78559,1.21036
12,12,1990,30-45 y.,West,Further vocational education,1.0,38,113,0.83336,1.13885
13,13,1990,30-45 y.,East,Further vocational education,1.0,40,113,0.89782,1.08275
14,14,1991,17-29 y.,West,Further vocational education,1.0,39,83,0.76481,1.25695
15,15,1991,30-45 y.,West,Further vocational education,1.0,44,83,0.84561,1.17517
16,16,1992,17-29 y.,West,Further vocational education,1.0,38,269,0.78636,1.26645
17,17,1992,17-29 y.,East,Vocational Retraining,1.0,37,269,0.79725,1.18893
18,18,1992,30-45 y.,West,Further vocational education,1.0,33,269,0.81837,1.17549
19,19,1992,30-45 y.,East,Vocational Retraining,0.42489,52,269,0.38929,0.46981
20,20,1992,30-45 y.,East,Further vocational education,0.57511,76,269,0.50193,0.64595
21,21,1992,46-65 y.,East,Further vocational education,1.0,33,269,0.87148,1.14731
22,22,1993,17-29 y.,West,Further vocational education,1.0,46,238,0.8113,1.18359
23,23,1993,17-29 y.,East,Vocational Retraining,1.0,33,238,0.79546,1.23751
24,24,1993,30-45 y.,West,Further vocational education,1.0,40,238,0.8515,1.16041
25,25,1993,30-45 y.,East,Vocational Retraining,0.35607,42,238,0.3132,0.3971
26,26,1993,30-45 y.,East,Further vocational education,0.64393,77,238,0.58271,0.706
27,27,1994,17-29 y.,West,Further vocational education,1.0,39,166,0.74115,1.2964
28,28,1994,30-45 y.,West,Further vocational education,1.0,40,166,0.82551,1.18206
29,29,1994,30-45 y.,East,Vocational Retraining,0.39404,33,166,0.31821,0.46769
30,30,1994,30-45 y.,East,Further vocational education,0.60596,54,166,0.51566,0.70595
31,31,1995,17-29 y.,West,Further vocational education,1.0,46,135,0.81231,1.17943
32,32,1995,30-45 y.,West,Further vocational education,1.0,37,135,0.83812,1.2008
33,33,1995,30-45 y.,East,Further vocational education,1.0,52,135,0.81238,1.19125
34,34,1996,17-29 y.,West,Further vocational education,1.0,38,113,0.75725,1.25632
35,35,1996,30-45 y.,West,Further vocational education,1.0,39,113,0.81063,1.20901
36,36,1996,30-45 y.,East,Further vocational education,1.0,36,113,0.80036,1.20102
37,37,1997,30-45 y.,West,Further vocational education,1.0,47,95,0.75185,1.26287
38,38,1997,30-45 y.,East,Further vocational education,1.0,48,95,0.83513,1.174
39,39,1998,30-45 y.,West,Further vocational education,1.0,40,40,0.81267,1.25453
40,40,1999,17-29 y.,West,Further vocational education,1.0,34,80,0.72801,1.34352
41,41,1999,30-45 y.,West,Further vocational education,1.0,46,80,0.77891,1.24336
