year,migback,regtyp,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,No answer / don't know,Further vocational education,0.58464,93,93,0.48394,0.68533
1985,No migration background,Urban regions,Further vocational education,0.61792,58,58,0.49177,0.74406
1986,No migration background,Urban regions,Further vocational education,0.57178,65,65,0.45055,0.69301
1987,No migration background,Urban regions,Further vocational education,0.52137,70,70,0.40350,0.63924
1988,No migration background,Urban regions,Further vocational education,0.44935,50,50,0.31007,0.58863
1989,No migration background,Urban regions,Further vocational education,0.54636,46,46,0.40090,0.69182
1990,No migration background,Urban regions,Further vocational education,0.54083,89,89,0.43671,0.64495
1990,No migration background,Rural regions,Further vocational education,0.59174,57,57,0.46301,0.72048
1991,No migration background,Urban regions,Further vocational education,0.56686,57,57,0.43707,0.69664
1992,No migration background,Urban regions,Vocational Retraining,0.18455,45,144,0.12096,0.24813
1992,No migration background,Urban regions,Further vocational education,0.49498,99,144,0.41304,0.57693
1992,No migration background,Rural regions,Vocational Retraining,0.36197,68,167,0.28886,0.43508
1992,No migration background,Rural regions,Further vocational education,0.51133,99,167,0.43529,0.58738
1993,No migration background,Urban regions,Vocational Retraining,0.18561,37,145,0.12211,0.24911
1993,No migration background,Urban regions,Further vocational education,0.63160,108,145,0.55282,0.71039
1993,No migration background,Rural regions,Vocational Retraining,0.39611,69,156,0.31911,0.47310
1993,No migration background,Rural regions,Further vocational education,0.47862,87,156,0.39998,0.55726
1994,No migration background,Urban regions,Vocational Retraining,0.19234,33,127,0.12352,0.26116
1994,No migration background,Urban regions,Further vocational education,0.63306,94,127,0.54890,0.71722
1994,No migration background,Rural regions,Vocational Retraining,0.30701,43,114,0.22197,0.39206
1994,No migration background,Rural regions,Further vocational education,0.52285,71,114,0.43076,0.61494
1995,No migration background,Urban regions,Further vocational education,0.56734,94,94,0.46664,0.66803
1995,No migration background,Rural regions,Vocational Retraining,0.25257,33,99,0.16655,0.33860
1995,No migration background,Rural regions,Further vocational education,0.50083,66,99,0.40184,0.59983
1996,No migration background,Urban regions,Vocational Retraining,0.22179,31,108,0.14307,0.30051
1996,No migration background,Urban regions,Further vocational education,0.56310,77,108,0.46912,0.65708
1996,No migration background,Rural regions,Vocational Retraining,0.28644,41,106,0.19997,0.37292
1996,No migration background,Rural regions,Further vocational education,0.50621,65,106,0.41058,0.60184
1997,No migration background,Urban regions,Vocational Retraining,0.27678,31,95,0.18633,0.36723
1997,No migration background,Urban regions,Further vocational education,0.49849,64,95,0.39742,0.59957
