year,migback,sampreg,plg0292_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,Further vocational education,1.0,93,93,1.0,1.0
1985,No migration background,West,Further vocational education,1.0,81,81,1.0,1.0
1986,No migration background,West,Further vocational education,1.0,90,90,1.0,1.0
1987,No migration background,West,Further vocational education,1.0,87,87,1.0,1.0
1988,No migration background,West,Further vocational education,1.0,77,77,1.0,1.0
1989,No migration background,West,Further vocational education,1.0,61,61,1.0,1.0
1990,No migration background,West,Further vocational education,1.0,73,148,1.0,1.0
1990,No migration background,East,Further vocational education,1.0,75,148,1.0,1.0
1991,No migration background,West,Further vocational education,1.0,77,77,1.0,1.0
1992,No migration background,West,Further vocational education,1.0,67,300,1.0,1.0
1992,No migration background,East,Vocational Retraining,0.4333552171177594,96,300,0.43220178811564164,0.4345086461198771
1992,No migration background,East,Further vocational education,0.5666447828822407,137,300,0.565491353880123,0.5677982118843585
1993,No migration background,West,Further vocational education,1.0,75,279,1.0,1.0
1993,No migration background,East,Vocational Retraining,0.4374059032281979,84,279,0.4361964373919018,0.438615369064494
1993,No migration background,East,Further vocational education,0.5625940967718022,120,279,0.5613846309355061,0.5638035626080983
1994,No migration background,West,Further vocational education,1.0,80,219,1.0,1.0
1994,No migration background,East,Vocational Retraining,0.40399461591089697,54,219,0.4025927006432147,0.40539653117857927
1994,No migration background,East,Further vocational education,0.5960053840891031,85,219,0.5946034688214208,0.5974072993567854
1995,No migration background,West,Further vocational education,1.0,75,195,1.0,1.0
1995,No migration background,East,Vocational Retraining,0.3140611873852675,35,195,0.31265831784395914,0.31546405692657586
1995,No migration background,East,Further vocational education,0.6859388126147324,85,195,0.6845359430734241,0.6873416821560407
1996,No migration background,West,Further vocational education,1.0,74,186,1.0,1.0
1996,No migration background,East,Vocational Retraining,0.40112267432692367,44,186,0.3994848492880846,0.40276049936576275
1996,No migration background,East,Further vocational education,0.5988773256730763,68,186,0.5972395006342371,0.6005151507119154
1997,No migration background,West,Further vocational education,1.0,61,164,1.0,1.0
1997,No migration background,East,Vocational Retraining,0.2978006238795854,34,164,0.2962194360949691,0.2993818116642017
1997,No migration background,East,Further vocational education,0.7021993761204145,69,164,0.7006181883357981,0.7037805639050309
1998,No migration background,West,Further vocational education,1.0,61,100,1.0,1.0
1998,No migration background,East,Further vocational education,1.0,39,100,1.0,1.0
1999,No migration background,West,Further vocational education,1.0,70,120,1.0,1.0
1999,No migration background,East,Further vocational education,1.0,50,120,1.0,1.0
2000,No migration background,West,Further vocational education,0.6081779472918412,117,330,0.6068705049117555,0.6094853896719268
2000,No migration background,West,Others,0.39182205270815873,68,330,0.3905146103280731,0.39312949508824435
2000,No migration background,East,Vocational Retraining,0.2303013341348048,31,330,0.22875360944133308,0.23184905882827653
2000,No migration background,East,Further vocational education,0.5365235162084097,83,330,0.5346903858462726,0.5383566465705467
2000,No migration background,East,Others,0.2331751496567856,31,330,0.2316207083113518,0.2347295910022194
2001,No migration background,West,Further vocational education,0.6630154265929686,116,280,0.6618286233190297,0.6642022298669076
2001,No migration background,West,Others,0.33698457340703136,64,280,0.3357977701330924,0.3381713766809703
2001,No migration background,East,Vocational Retraining,0.3399400584112643,33,280,0.337895628622159,0.3419844882003696
2001,No migration background,East,Further vocational education,0.6600599415887358,67,280,0.6580155117996306,0.6621043713778411
2002,No migration background,West,Vocational Retraining,0.16205127952952475,34,347,0.16116422325052313,0.16293833580852637
2002,No migration background,West,Further vocational education,0.5208953228272561,110,347,0.5196927631007935,0.5220978825537188
2002,No migration background,West,Others,0.31705339764321916,73,347,0.315933248628438,0.3181735466580003
2002,No migration background,East,Vocational Retraining,0.27866380042731853,33,347,0.27711996549172285,0.2802076353629142
2002,No migration background,East,Further vocational education,0.4050570047646543,54,347,0.403366612587942,0.4067473969413666
2002,No migration background,East,Others,0.3162791948080272,43,347,0.31467791792936584,0.31788047168668854
2003,No migration background,West,Further vocational education,0.6915149833787128,95,193,0.6902368564444691,0.6927931103129564
2003,No migration background,West,Others,0.3084850166212873,47,193,0.3072068896870437,0.3097631435555309
2003,No migration background,East,Further vocational education,1.0,51,193,1.0,1.0
2004,No migration background,West,Further vocational education,0.66717656311587,99,186,0.6658600067426558,0.6684931194890843
2004,No migration background,West,Others,0.33282343688412996,52,186,0.3315068805109157,0.3341399932573442
2004,No migration background,East,Further vocational education,1.0,35,186,1.0,1.0
2005,No migration background,West,Further vocational education,0.5537948480834092,75,173,0.5524689735865265,0.5551207225802919
2005,No migration background,West,Others,0.4462051519165909,64,173,0.4448792774197081,0.44753102641347364
2005,No migration background,East,Further vocational education,1.0,34,173,1.0,1.0
2006,No migration background,West,Further vocational education,0.5159058504861794,49,114,0.5140089004036386,0.5178028005687203
2006,No migration background,West,Others,0.4840941495138207,33,114,0.48219719943127975,0.4859910995963616
2006,No migration background,East,Further vocational education,1.0,32,114,1.0,1.0
2007,No migration background,West,Further vocational education,0.5387300103262161,53,88,0.537036427613617,0.5404235930388153
2007,No migration background,West,Others,0.46126998967378396,35,88,0.4595764069611849,0.462963572386383
2008,No migration background,West,Further vocational education,0.5882284706732412,48,80,0.5864619925721862,0.5899949487742963
2008,No migration background,West,Others,0.4117715293267587,32,80,0.41000505122570374,0.41353800742781366
2009,No migration background,West,Further vocational education,1.0,42,42,1.0,1.0
2010,No migration background,West,Further vocational education,0.5841340320797062,78,164,0.5825507164723454,0.585717347687067
2010,No migration background,West,Others,0.41586596792029373,42,164,0.41428265231293293,0.41744928352765454
2010,No migration background,East,Further vocational education,1.0,44,164,1.0,1.0
2011,No migration background,West,Vocational Retraining,0.14083707228632097,35,215,0.13979680894390412,0.14187733562873783
2011,No migration background,West,Further vocational education,0.6886195063115421,108,215,0.6872347211613828,0.6900042914617014
2011,No migration background,West,Others,0.17054342140213707,31,215,0.169418657552117,0.17166818525215716
2011,No migration background,East,Further vocational education,1.0,41,215,1.0,1.0
2012,No migration background,West,Further vocational education,0.6407962823370053,103,192,0.6392799359609992,0.6423126287130113
2012,No migration background,West,Others,0.35920371766299475,48,192,0.3576873712869887,0.3607200640390008
2012,No migration background,East,Further vocational education,1.0,41,192,1.0,1.0
2013,No migration background,West,Vocational Retraining,0.17450047786793627,34,256,0.17337486277079964,0.1756260929650729
2013,No migration background,West,Further vocational education,0.5973480624832331,105,256,0.5958935688911176,0.5988025560753487
2013,No migration background,West,Others,0.22815145964883057,48,256,0.22690691392949572,0.22939600536816543
2013,No migration background,East,Further vocational education,1.0,36,256,1.0,1.0
2013,Direct migration background,West,Further vocational education,1.0,33,256,1.0,1.0
2014,No migration background,West,Further vocational education,0.7643035779862057,105,144,0.7630272658271121,0.7655798901452994
2014,No migration background,West,Others,0.23569642201379423,39,144,0.23442010985470058,0.2369727341728879
2015,No migration background,West,Further vocational education,0.5724658410984885,67,101,0.5709746519083315,0.5739570302886455
2015,No migration background,West,Others,0.42753415890151164,34,101,0.4260429697113547,0.4290253480916686
2016,No migration background,West,Further vocational education,1.0,73,109,1.0,1.0
2016,Direct migration background,West,Further vocational education,1.0,36,109,1.0,1.0
2017,No migration background,West,Further vocational education,1.0,92,166,1.0,1.0
2017,Direct migration background,West,Further vocational education,0.9549963420361356,37,166,0.9534664928957355,0.9565261911765357
2017,Direct migration background,West,Integration/Language course,0.04500365796386433,37,166,0.04347380882346423,0.04653350710426443
2018,No migration background,West,Further vocational education,1.0,68,104,1.0,1.0
2018,Direct migration background,West,Further vocational education,1.0,36,104,1.0,1.0
2019,No migration background,West,Further vocational education,1.0,72,72,1.0,1.0
2020,No migration background,West,Further vocational education,1.0,60,101,1.0,1.0
2020,Direct migration background,West,Further vocational education,1.0,41,101,1.0,1.0
2021,No migration background,West,Further vocational education,1.0,51,51,1.0,1.0
