year,migback,sex,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,male,Further vocational education,0.01284,69,69,-0.01392,0.03959
1985,No migration background,male,Further vocational education,0.01146,56,56,-0.01667,0.03959
1986,No migration background,male,Further vocational education,0.01143,54,54,-0.01719,0.04005
1986,No migration background,female,Further vocational education,0.00659,36,36,-0.02022,0.03341
1987,No migration background,male,Further vocational education,0.01236,62,62,-0.01537,0.04009
1988,No migration background,male,Further vocational education,0.01046,52,52,-0.01746,0.03838
1989,No migration background,male,Further vocational education,0.01109,41,41,-0.02136,0.04355
1990,No migration background,male,Further vocational education,0.01202,82,82,-0.01171,0.03576
1990,No migration background,female,Further vocational education,0.00787,66,66,-0.01361,0.02935
1991,No migration background,male,Further vocational education,0.01019,54,54,-0.01685,0.03723
1992,No migration background,male,Vocational Retraining,0.00452,46,138,-0.00671,0.01576
1992,No migration background,male,Further vocational education,0.01282,92,138,-0.00602,0.03165
1992,No migration background,female,Vocational Retraining,0.00763,70,182,-0.00505,0.02030
1992,No migration background,female,Further vocational education,0.01089,112,182,-0.00423,0.02601
1993,No migration background,male,Vocational Retraining,0.00424,38,140,-0.00656,0.01505
1993,No migration background,male,Further vocational education,0.01454,102,140,-0.00536,0.03443
1993,No migration background,female,Vocational Retraining,0.00733,68,161,-0.00589,0.02054
1993,No migration background,female,Further vocational education,0.00937,93,161,-0.00556,0.02429
1994,No migration background,male,Vocational Retraining,0.00505,37,128,-0.00728,0.01737
1994,No migration background,male,Further vocational education,0.01515,91,128,-0.00610,0.03639
1994,No migration background,female,Vocational Retraining,0.00462,39,113,-0.00794,0.01718
1994,No migration background,female,Further vocational education,0.00901,74,113,-0.00849,0.02651
1995,No migration background,male,Vocational Retraining,0.00555,33,105,-0.00873,0.01982
1995,No migration background,male,Further vocational education,0.01142,72,105,-0.00900,0.03183
1995,No migration background,female,Further vocational education,0.00984,88,88,-0.01090,0.03059
1996,No migration background,male,Further vocational education,0.00914,65,65,-0.01418,0.03246
1996,No migration background,female,Vocational Retraining,0.00508,46,123,-0.00753,0.01769
1996,No migration background,female,Further vocational education,0.00968,77,123,-0.00769,0.02705
1997,No migration background,male,Further vocational education,0.00974,54,54,-0.01670,0.03618
1997,No migration background,female,Vocational Retraining,0.00484,37,113,-0.00801,0.01770
1997,No migration background,female,Further vocational education,0.00879,76,113,-0.00850,0.02607
1998,No migration background,male,Further vocational education,0.00834,46,46,-0.01823,0.03490
1998,No migration background,female,Vocational Retraining,0.00330,34,88,-0.00875,0.01535
1998,No migration background,female,Further vocational education,0.00648,54,88,-0.01038,0.02333
1999,No migration background,male,Further vocational education,0.00887,51,51,-0.01712,0.03486
1999,No migration background,female,Vocational Retraining,0.00371,35,104,-0.00803,0.01544
1999,No migration background,female,Further vocational education,0.00769,69,104,-0.00918,0.02456
2000,No migration background,male,Vocational Retraining,0.00241,32,151,-0.00544,0.01027
2000,No migration background,male,Further vocational education,0.00600,74,151,-0.00636,0.01835
2000,No migration background,male,Others,0.00389,45,151,-0.00607,0.01385
2000,No migration background,female,Further vocational education,0.00815,126,180,-0.00502,0.02131
2000,No migration background,female,Others,0.00430,54,180,-0.00529,0.01388
2001,No migration background,male,Further vocational education,0.00757,69,102,-0.00933,0.02446
2001,No migration background,male,Others,0.00317,33,102,-0.00780,0.01415
2001,No migration background,female,Further vocational education,0.00843,114,166,-0.00552,0.02237
2001,No migration background,female,Others,0.00431,52,166,-0.00569,0.01430
2002,No migration background,male,Vocational Retraining,0.00301,33,150,-0.00579,0.01180
2002,No migration background,male,Further vocational education,0.00746,70,150,-0.00636,0.02127
2002,No migration background,male,Others,0.00408,47,150,-0.00615,0.01431
2002,No migration background,female,Vocational Retraining,0.00285,34,197,-0.00461,0.01031
2002,No migration background,female,Further vocational education,0.00667,94,197,-0.00473,0.01807
2002,No migration background,female,Others,0.00516,69,197,-0.00487,0.01519
2003,No migration background,male,Further vocational education,0.00674,58,96,-0.00971,0.02319
2003,No migration background,male,Others,0.00445,38,96,-0.00893,0.01783
2003,No migration background,female,Further vocational education,0.00718,88,126,-0.00762,0.02198
2003,No migration background,female,Others,0.00250,38,126,-0.00625,0.01126
2004,No migration background,male,Further vocational education,0.00678,59,59,-0.01434,0.02790
2004,No migration background,female,Further vocational education,0.00542,75,116,-0.00800,0.01884
2004,No migration background,female,Others,0.00279,41,116,-0.00685,0.01243
2005,No migration background,male,Further vocational education,0.00535,45,83,-0.01044,0.02114
2005,No migration background,male,Others,0.00442,38,83,-0.00994,0.01878
2005,No migration background,female,Further vocational education,0.00632,64,112,-0.00842,0.02106
2005,No migration background,female,Others,0.00415,48,112,-0.00781,0.01611
2006,No migration background,male,Further vocational education,0.00350,38,38,-0.01552,0.02251
2006,No migration background,female,Further vocational education,0.00294,43,74,-0.00948,0.01536
2006,No migration background,female,Others,0.00255,31,74,-0.00902,0.01413
2007,No migration background,male,Further vocational education,0.00371,33,33,-0.01736,0.02479
2007,No migration background,female,Further vocational education,0.00337,50,88,-0.00881,0.01555
2007,No migration background,female,Others,0.00395,38,88,-0.00923,0.01713
2008,No migration background,female,Further vocational education,0.00424,50,81,-0.01000,0.01849
2008,No migration background,female,Others,0.00256,31,81,-0.00851,0.01364
2009,No migration background,female,Further vocational education,0.00296,38,38,-0.01455,0.02047
2010,No migration background,male,Further vocational education,0.00521,52,52,-0.01455,0.02496
2010,No migration background,female,Further vocational education,0.00433,70,101,-0.00854,0.01721
2010,No migration background,female,Others,0.00283,31,101,-0.00758,0.01323
2011,No migration background,male,Further vocational education,0.00555,59,59,-0.01357,0.02466
2011,No migration background,female,Vocational Retraining,0.00122,40,161,-0.00419,0.00664
2011,No migration background,female,Further vocational education,0.00648,90,161,-0.00595,0.01890
2011,No migration background,female,Others,0.00120,31,161,-0.00416,0.00655
2012,No migration background,male,Further vocational education,0.00490,59,59,-0.01307,0.02286
2012,No migration background,female,Vocational Retraining,0.00112,36,165,-0.00400,0.00624
2012,No migration background,female,Further vocational education,0.00499,84,165,-0.00579,0.01578
2012,No migration background,female,Others,0.00306,45,165,-0.00539,0.01152
2013,No migration background,male,Further vocational education,0.00511,51,51,-0.01465,0.02486
2013,No migration background,female,Further vocational education,0.00510,90,121,-0.00764,0.01783
2013,No migration background,female,Others,0.00176,31,121,-0.00574,0.00926
2014,No migration background,male,Further vocational education,0.00464,42,42,-0.01617,0.02545
2014,No migration background,female,Further vocational education,0.00681,88,125,-0.00767,0.02129
2014,No migration background,female,Others,0.00239,37,125,-0.00620,0.01098
2015,No migration background,male,Further vocational education,0.00463,34,34,-0.01854,0.02780
2015,No migration background,female,Further vocational education,0.00413,56,56,-0.01282,0.02109
2016,No migration background,male,Further vocational education,0.00357,32,32,-0.01742,0.02455
2016,No migration background,female,Further vocational education,0.00646,65,65,-0.01317,0.02608
2017,No migration background,male,Further vocational education,0.00420,44,44,-0.01514,0.02354
2017,No migration background,female,Further vocational education,0.00536,75,75,-0.01128,0.02199
2018,No migration background,female,Further vocational education,0.00536,58,58,-0.01360,0.02433
2019,No migration background,male,Further vocational education,0.00238,38,38,-0.01333,0.01810
2019,No migration background,female,Further vocational education,0.00443,56,56,-0.01312,0.02198
2020,No migration background,male,Further vocational education,0.00341,37,37,-0.01563,0.02244
2020,No migration background,female,Further vocational education,0.00312,41,41,-0.01417,0.02042
2021,No migration background,female,Further vocational education,0.00483,42,42,-0.01639,0.02605
