year,sampreg,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Further vocational education,0.00792,109,155,-0.00608,0.02191
1984,West,Others,0.00300,46,155,-0.00564,0.01165
1985,West,Further vocational education,0.00798,96,96,-0.00991,0.02586
1986,West,Further vocational education,0.00844,102,133,-0.00717,0.02404
1986,West,Others,0.00264,31,133,-0.00611,0.01139
1987,West,Further vocational education,0.00760,101,101,-0.00942,0.02463
1988,West,Further vocational education,0.00738,98,132,-0.00728,0.02203
1988,West,Others,0.00318,34,132,-0.00646,0.01282
1989,West,Further vocational education,0.00701,73,73,-0.01226,0.02629
1990,West,Vocational Retraining,0.00243,32,116,-0.00657,0.01144
1990,West,Further vocational education,0.00819,84,116,-0.00828,0.02466
1990,East,Further vocational education,0.01272,79,110,-0.00832,0.03375
1990,East,Further general/political education,0.00494,31,110,-0.00822,0.01810
1991,West,Further vocational education,0.00858,91,124,-0.00772,0.02488
1991,West,Others,0.00304,33,124,-0.00669,0.01277
1992,West,Further vocational education,0.00716,77,111,-0.00860,0.02292
1992,West,Others,0.00274,34,111,-0.00703,0.01251
1992,East,Vocational Retraining,0.01947,100,240,0.00196,0.03699
1992,East,Further vocational education,0.02546,140,240,0.00549,0.04543
1993,West,Further vocational education,0.00773,90,90,-0.01047,0.02592
1993,East,Vocational Retraining,0.01746,85,206,-0.00047,0.03539
1993,East,Further vocational education,0.02255,121,206,0.00223,0.04287
1994,West,Further vocational education,0.00918,92,92,-0.01042,0.02878
1994,East,Vocational Retraining,0.01206,55,141,-0.00602,0.03015
1994,East,Further vocational education,0.01782,86,141,-0.00410,0.03973
1995,West,Vocational Retraining,0.00333,45,137,-0.00635,0.01301
1995,West,Further vocational education,0.00741,92,137,-0.00700,0.02183
1995,East,Vocational Retraining,0.00847,35,121,-0.00793,0.02486
1995,East,Further vocational education,0.01878,86,121,-0.00551,0.04306
1996,West,Vocational Retraining,0.00298,43,133,-0.00632,0.01228
1996,West,Further vocational education,0.00742,90,133,-0.00722,0.02205
1996,East,Vocational Retraining,0.00943,45,115,-0.00831,0.02717
1996,East,Further vocational education,0.01426,70,115,-0.00750,0.03603
1997,West,Vocational Retraining,0.00357,42,127,-0.00684,0.01398
1997,West,Further vocational education,0.00763,85,127,-0.00756,0.02282
1997,East,Vocational Retraining,0.00641,35,105,-0.00893,0.02176
1997,East,Further vocational education,0.01488,70,105,-0.00839,0.03814
1998,West,Vocational Retraining,0.00294,41,118,-0.00687,0.01275
1998,West,Further vocational education,0.00703,77,118,-0.00811,0.02218
1998,East,Further vocational education,0.00686,40,40,-0.01905,0.03277
1999,West,Further vocational education,0.00739,87,124,-0.00775,0.02252
1999,West,Others,0.00229,37,124,-0.00616,0.01074
1999,East,Further vocational education,0.00957,52,52,-0.01715,0.03629
2000,West,Vocational Retraining,0.00165,35,255,-0.00334,0.00664
2000,West,Further vocational education,0.00538,132,255,-0.00362,0.01437
2000,West,Others,0.00392,88,255,-0.00376,0.01160
2000,East,Vocational Retraining,0.00450,33,149,-0.00628,0.01529
2000,East,Further vocational education,0.01038,85,149,-0.00595,0.02672
2000,East,Others,0.00437,31,149,-0.00626,0.01500
2001,West,Vocational Retraining,0.00178,38,250,-0.00346,0.00703
2001,West,Further vocational education,0.00699,137,250,-0.00336,0.01734
2001,West,Others,0.00354,75,250,-0.00384,0.01093
2001,East,Vocational Retraining,0.00508,36,104,-0.00865,0.01882
2001,East,Further vocational education,0.00922,68,104,-0.00924,0.02768
2002,West,Vocational Retraining,0.00238,49,262,-0.00353,0.00828
2002,West,Further vocational education,0.00565,119,262,-0.00344,0.01474
2002,West,Others,0.00406,94,262,-0.00365,0.01178
2002,East,Vocational Retraining,0.00621,34,132,-0.00724,0.01967
2002,East,Further vocational education,0.00882,54,132,-0.00719,0.02482
2002,East,Others,0.00694,44,132,-0.00728,0.02116
2003,West,Vocational Retraining,0.00205,44,212,-0.00405,0.00815
2003,West,Further vocational education,0.00608,111,212,-0.00441,0.01657
2003,West,Others,0.00264,57,212,-0.00428,0.00956
2003,East,Further vocational education,0.00871,53,53,-0.01655,0.03397
2004,West,Vocational Retraining,0.00201,37,214,-0.00400,0.00802
2004,West,Further vocational education,0.00584,117,214,-0.00439,0.01606
2004,West,Others,0.00278,60,214,-0.00429,0.00986
2004,East,Further vocational education,0.00550,36,36,-0.01901,0.03002
2005,West,Further vocational education,0.00535,86,168,-0.00571,0.01642
2005,West,Others,0.00460,82,168,-0.00566,0.01486
2005,East,Further vocational education,0.00671,35,35,-0.02073,0.03415
2006,West,Further vocational education,0.00285,60,110,-0.00716,0.01286
2006,West,Others,0.00329,50,110,-0.00746,0.01405
2006,East,Further vocational education,0.00513,32,32,-0.02002,0.03029
2007,West,Further vocational education,0.00335,64,110,-0.00750,0.01419
2007,West,Others,0.00320,46,110,-0.00740,0.01381
2008,West,Further vocational education,0.00320,58,99,-0.00799,0.01439
2008,West,Others,0.00275,41,99,-0.00761,0.01310
2009,West,Further vocational education,0.00274,50,50,-0.01190,0.01738
2010,West,Vocational Retraining,0.00096,37,202,-0.00332,0.00525
2010,West,Further vocational education,0.00473,103,202,-0.00476,0.01421
2010,West,Others,0.00302,62,202,-0.00456,0.01060
2010,East,Further vocational education,0.00664,47,47,-0.01683,0.03010
2011,West,Vocational Retraining,0.00140,53,234,-0.00340,0.00621
2011,West,Further vocational education,0.00557,139,234,-0.00399,0.01513
2011,West,Others,0.00134,42,234,-0.00336,0.00603
2011,East,Vocational Retraining,0.00314,34,76,-0.00952,0.01581
2011,East,Further vocational education,0.00652,42,76,-0.01170,0.02474
2012,West,Vocational Retraining,0.00124,42,229,-0.00332,0.00579
2012,West,Further vocational education,0.00469,122,229,-0.00418,0.01357
2012,West,Others,0.00248,65,229,-0.00398,0.00894
2012,East,Further vocational education,0.00526,42,42,-0.01689,0.02742
2013,West,Vocational Retraining,0.00198,65,300,-0.00306,0.00701
2013,West,Further vocational education,0.00502,155,300,-0.00299,0.01303
2013,West,Others,0.00230,80,300,-0.00313,0.00773
2013,East,Further vocational education,0.00468,42,42,-0.01621,0.02556
2014,West,Vocational Retraining,0.00178,60,261,-0.00334,0.00690
2014,West,Further vocational education,0.00585,141,261,-0.00342,0.01511
2014,West,Others,0.00228,60,261,-0.00352,0.00808
2014,East,Further vocational education,0.00323,32,32,-0.01674,0.02320
2015,West,Vocational Retraining,0.00185,44,202,-0.00409,0.00780
2015,West,Further vocational education,0.00427,101,202,-0.00474,0.01329
2015,West,Others,0.00347,57,202,-0.00466,0.01159
2016,West,Vocational Retraining,0.00107,48,226,-0.00320,0.00534
2016,West,Further vocational education,0.00575,126,226,-0.00413,0.01563
2016,West,Others,0.00187,52,226,-0.00377,0.00750
2017,West,Vocational Retraining,0.00100,51,289,-0.00265,0.00464
2017,West,Further vocational education,0.00515,148,289,-0.00312,0.01341
2017,West,Others,0.00210,53,289,-0.00319,0.00738
2017,West,Integration/Language course,0.00005,37,289,-0.00074,0.00084
2017,East,Further vocational education,0.00421,31,31,-0.01896,0.02737
2018,West,Vocational Retraining,0.00198,61,232,-0.00375,0.00772
2018,West,Further vocational education,0.00402,114,232,-0.00414,0.01218
2018,West,Others,0.00156,57,232,-0.00353,0.00666
2019,West,Vocational Retraining,0.00148,51,206,-0.00378,0.00674
2019,West,Further vocational education,0.00387,102,206,-0.00463,0.01236
2019,West,Others,0.00194,53,206,-0.00409,0.00797
2020,West,Vocational Retraining,0.00159,49,214,-0.00376,0.00694
2020,West,Further vocational education,0.00314,105,214,-0.00437,0.01065
2020,West,Others,0.00210,60,214,-0.00405,0.00824
2021,West,Vocational Retraining,0.00117,40,126,-0.00483,0.00718
2021,West,Further vocational education,0.00425,86,126,-0.00716,0.01566
