,Unnamed: 0,year,migback,quintil_oecd,plg0292_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,No migration background,4th Quintile,Further vocational education,1.0,32,66,0.93638,1.09081
1,1,1984,No migration background,5th Quintile,Further vocational education,1.0,34,66,0.91413,1.08109
2,2,1985,No migration background,5th Quintile,Further vocational education,1.0,32,32,0.91769,1.09931
3,3,1986,No migration background,4th Quintile,Further vocational education,1.0,33,33,0.90883,1.09932
4,4,1987,No migration background,4th Quintile,Further vocational education,1.0,34,70,0.82653,1.17947
5,5,1987,No migration background,5th Quintile,Further vocational education,1.0,36,70,0.8794,1.1499
6,6,1992,No migration background,1st Quintile,Vocational Retraining,0.54221,40,286,0.45469,0.62838
7,7,1992,No migration background,1st Quintile,Further vocational education,0.45779,31,286,0.34681,0.60161
8,8,1992,No migration background,2nd Quintile,Vocational Retraining,0.45993,42,286,0.36728,0.56335
9,9,1992,No migration background,2nd Quintile,Further vocational education,0.54007,51,286,0.47205,0.62365
10,10,1992,No migration background,3rd Quintile,Further vocational education,1.0,51,286,0.83201,1.16287
11,11,1992,No migration background,4th Quintile,Further vocational education,1.0,40,286,0.79186,1.30519
12,12,1992,No migration background,5th Quintile,Further vocational education,1.0,31,286,0.8214,1.2454
13,13,1993,No migration background,1st Quintile,Vocational Retraining,1.0,44,213,0.82309,1.24293
14,14,1993,No migration background,2nd Quintile,Further vocational education,1.0,52,213,0.86265,1.18735
15,15,1993,No migration background,3rd Quintile,Further vocational education,1.0,43,213,0.83563,1.15505
16,16,1993,No migration background,4th Quintile,Further vocational education,1.0,38,213,0.85989,1.22138
17,17,1993,No migration background,5th Quintile,Further vocational education,1.0,36,213,0.81746,1.17679
18,18,1994,No migration background,3rd Quintile,Further vocational education,1.0,35,120,0.77829,1.23061
19,19,1994,No migration background,4th Quintile,Further vocational education,1.0,40,120,0.8156,1.23568
20,20,1994,No migration background,5th Quintile,Further vocational education,1.0,45,120,0.79616,1.17932
21,21,1995,No migration background,3rd Quintile,Further vocational education,1.0,33,117,0.77353,1.26709
22,22,1995,No migration background,4th Quintile,Further vocational education,1.0,40,117,0.86573,1.12913
23,23,1995,No migration background,5th Quintile,Further vocational education,1.0,44,117,0.81117,1.23467
24,24,1996,No migration background,2nd Quintile,Further vocational education,1.0,34,71,0.73551,1.26529
25,25,1996,No migration background,4th Quintile,Further vocational education,1.0,37,71,0.80524,1.27607
26,26,1997,No migration background,5th Quintile,Further vocational education,1.0,35,35,0.73793,1.34574
27,27,1999,No migration background,4th Quintile,Further vocational education,1.0,41,41,0.72696,1.28789
28,28,2000,No migration background,4th Quintile,Further vocational education,1.0,38,69,0.80484,1.28531
29,29,2000,No migration background,5th Quintile,Further vocational education,1.0,31,69,0.77293,1.32033
30,30,2001,No migration background,3rd Quintile,Further vocational education,1.0,32,136,0.72107,1.36069
31,31,2001,No migration background,4th Quintile,Further vocational education,1.0,53,136,0.84761,1.18079
32,32,2001,No migration background,5th Quintile,Further vocational education,1.0,51,136,0.82193,1.20951
33,33,2002,No migration background,4th Quintile,Further vocational education,1.0,34,121,0.78517,1.19964
34,34,2002,No migration background,5th Quintile,Further vocational education,0.62972,49,121,0.51507,0.75914
35,35,2002,No migration background,5th Quintile,Others,0.37028,38,121,0.26628,0.47522
36,36,2003,No migration background,3rd Quintile,Further vocational education,1.0,31,112,0.77244,1.28334
37,37,2003,No migration background,4th Quintile,Further vocational education,1.0,34,112,0.71459,1.34703
38,38,2003,No migration background,5th Quintile,Further vocational education,1.0,47,112,0.76016,1.31673
39,39,2004,No migration background,4th Quintile,Further vocational education,1.0,38,85,0.74458,1.31686
40,40,2004,No migration background,5th Quintile,Further vocational education,1.0,47,85,0.76302,1.36623
41,41,2005,No migration background,5th Quintile,Further vocational education,1.0,36,36,0.59694,1.42726
42,42,2011,No migration background,4th Quintile,Further vocational education,1.0,36,36,0.53694,1.54374
43,43,2012,No migration background,3rd Quintile,Further vocational education,1.0,34,72,0.56969,1.51226
44,44,2012,No migration background,5th Quintile,Further vocational education,1.0,38,72,0.67165,1.40686
45,45,2013,No migration background,4th Quintile,Further vocational education,1.0,41,41,0.67641,1.45214
46,46,2014,No migration background,2nd Quintile,Further vocational education,1.0,31,66,0.56796,1.57972
47,47,2014,No migration background,5th Quintile,Further vocational education,1.0,35,66,0.63845,1.41539
