year,pgisced97,sampreg,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Upper Secondary Level,West,Further vocational education,0.01119,63,63,-0.01499,0.03738
1985,Upper Secondary Level,West,Further vocational education,0.01171,61,61,-0.01551,0.03893
1986,Upper Secondary Level,West,Further vocational education,0.01194,63,63,-0.01510,0.03897
1987,Upper Secondary Level,West,Further vocational education,0.00821,46,46,-0.01816,0.03458
1988,Upper Secondary Level,West,Further vocational education,0.01202,66,66,-0.01447,0.03852
1989,Upper Secondary Level,West,Further vocational education,0.01059,47,47,-0.01899,0.04017
1990,Upper Secondary Level,West,Further vocational education,0.01141,53,53,-0.01746,0.04027
1990,Second Stage of Tertiary Education,East,Further vocational education,0.04220,40,40,-0.02090,0.10529
1991,Upper Secondary Level,West,Further vocational education,0.01151,51,51,-0.01806,0.04107
1992,Upper Secondary Level,West,Further vocational education,0.00994,45,45,-0.01937,0.03926
1992,Upper Secondary Level,East,Vocational Retraining,0.02916,69,126,-0.00034,0.05865
1992,Upper Secondary Level,East,Further vocational education,0.02451,57,126,-0.00260,0.05161
1992,Second Stage of Tertiary Education,East,Further vocational education,0.06335,67,67,0.00458,0.12212
1993,Upper Secondary Level,West,Further vocational education,0.01051,53,53,-0.01721,0.03823
1993,Upper Secondary Level,East,Vocational Retraining,0.02781,62,120,-0.00173,0.05735
1993,Upper Secondary Level,East,Further vocational education,0.02405,58,120,-0.00348,0.05158
1993,Second Stage of Tertiary Education,East,Further vocational education,0.05205,52,52,-0.00891,0.11301
1994,Upper Secondary Level,West,Further vocational education,0.01079,50,50,-0.01814,0.03972
1994,Upper Secondary Level,East,Vocational Retraining,0.01675,35,35,-0.02639,0.05989
1994,Second Stage of Tertiary Education,East,Further vocational education,0.05334,47,47,-0.01160,0.11828
1995,Upper Secondary Level,West,Further vocational education,0.00968,49,49,-0.01802,0.03737
1995,Upper Secondary Level,East,Further vocational education,0.01545,33,33,-0.02728,0.05819
1995,Second Stage of Tertiary Education,East,Further vocational education,0.04938,41,41,-0.01777,0.11652
1996,Upper Secondary Level,West,Further vocational education,0.00882,50,50,-0.01736,0.03501
1996,Upper Secondary Level,East,Further vocational education,0.01661,36,36,-0.02573,0.05896
1997,Upper Secondary Level,West,Further vocational education,0.00729,39,39,-0.01976,0.03434
1997,Upper Secondary Level,East,Further vocational education,0.01336,34,34,-0.02581,0.05254
1998,Upper Secondary Level,West,Further vocational education,0.00910,41,41,-0.02033,0.03853
1999,Upper Secondary Level,West,Further vocational education,0.00703,32,32,-0.02238,0.03644
2000,Upper Secondary Level,West,Further vocational education,0.00528,61,93,-0.00953,0.02010
2000,Upper Secondary Level,West,Others,0.00333,32,93,-0.00844,0.01511
2000,Upper Secondary Level,East,Further vocational education,0.01124,40,40,-0.02185,0.04434
2001,Upper Secondary Level,West,Further vocational education,0.00592,59,59,-0.01382,0.02566
2001,Upper Secondary Level,East,Further vocational education,0.01057,32,32,-0.02543,0.04656
2001,Second Stage of Tertiary Education,West,Further vocational education,0.01697,34,34,-0.02710,0.06104
2002,Upper Secondary Level,West,Further vocational education,0.00581,51,51,-0.01526,0.02689
2003,Upper Secondary Level,West,Further vocational education,0.00452,34,34,-0.01836,0.02739
2003,Second Stage of Tertiary Education,West,Further vocational education,0.01410,36,36,-0.02496,0.05316
2004,Upper Secondary Level,West,Further vocational education,0.00536,47,47,-0.01574,0.02647
2004,Second Stage of Tertiary Education,West,Further vocational education,0.01302,34,34,-0.02566,0.05170
