year,sampreg,sex,plg0292_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,Further vocational education,1.00000,78,109,1.00000,1.00000
1984,West,female,Further vocational education,1.00000,31,109,1.00000,1.00000
1985,West,male,Further vocational education,1.00000,64,96,1.00000,1.00000
1985,West,female,Further vocational education,1.00000,32,96,1.00000,1.00000
1986,West,male,Further vocational education,1.00000,59,102,1.00000,1.00000
1986,West,female,Further vocational education,1.00000,43,102,1.00000,1.00000
1987,West,male,Further vocational education,1.00000,72,72,1.00000,1.00000
1988,West,male,Further vocational education,1.00000,64,98,1.00000,1.00000
1988,West,female,Further vocational education,1.00000,34,98,1.00000,1.00000
1989,West,male,Further vocational education,1.00000,47,47,1.00000,1.00000
1990,West,male,Further vocational education,1.00000,51,163,1.00000,1.00000
1990,West,female,Further vocational education,1.00000,33,163,1.00000,1.00000
1990,East,male,Further vocational education,1.00000,39,163,1.00000,1.00000
1990,East,female,Further vocational education,1.00000,40,163,1.00000,1.00000
1991,West,male,Further vocational education,1.00000,66,66,1.00000,1.00000
1992,West,male,Further vocational education,1.00000,45,317,1.00000,1.00000
1992,West,female,Further vocational education,1.00000,32,317,1.00000,1.00000
1992,East,male,Vocational Retraining,0.39489,38,317,0.39308,0.39670
1992,East,male,Further vocational education,0.60511,54,317,0.60330,0.60692
1992,East,female,Vocational Retraining,0.45741,62,317,0.45595,0.45886
1992,East,female,Further vocational education,0.54259,86,317,0.54114,0.54405
1993,West,male,Further vocational education,1.00000,56,267,1.00000,1.00000
1993,West,female,Further vocational education,1.00000,34,267,1.00000,1.00000
1993,East,male,Further vocational education,1.00000,54,267,1.00000,1.00000
1993,East,female,Vocational Retraining,0.50863,56,267,0.50704,0.51021
1993,East,female,Further vocational education,0.49137,67,267,0.48979,0.49296
1994,West,male,Further vocational education,1.00000,60,210,1.00000,1.00000
1994,West,female,Further vocational education,1.00000,32,210,1.00000,1.00000
1994,East,male,Further vocational education,1.00000,38,210,1.00000,1.00000
1994,East,female,Vocational Retraining,0.39525,32,210,0.39337,0.39713
1994,East,female,Further vocational education,0.60475,48,210,0.60287,0.60663
1995,West,male,Further vocational education,1.00000,56,151,1.00000,1.00000
1995,West,female,Further vocational education,1.00000,36,151,1.00000,1.00000
1995,East,female,Further vocational education,1.00000,59,151,1.00000,1.00000
1996,West,male,Further vocational education,1.00000,54,171,1.00000,1.00000
1996,West,female,Further vocational education,1.00000,36,171,1.00000,1.00000
1996,East,female,Vocational Retraining,0.39007,32,171,0.38817,0.39198
1996,East,female,Further vocational education,0.60993,49,171,0.60802,0.61183
1997,West,male,Further vocational education,1.00000,46,133,1.00000,1.00000
1997,West,female,Further vocational education,1.00000,39,133,1.00000,1.00000
1997,East,female,Further vocational education,1.00000,48,133,1.00000,1.00000
