year,regtyp,sampreg,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,Further vocational education,0.00791,72,72,-0.01270,0.02851
1986,Urban regions,West,Further vocational education,0.00820,77,77,-0.01208,0.02848
1987,Urban regions,West,Further vocational education,0.00803,83,83,-0.01129,0.02735
1988,Urban regions,West,Further vocational education,0.00592,65,96,-0.00951,0.02136
1988,Urban regions,West,Others,0.00374,31,96,-0.00853,0.01601
1988,Rural regions,West,Further vocational education,0.01198,33,33,-0.02571,0.04967
1989,Urban regions,West,Further vocational education,0.00690,55,55,-0.01518,0.02897
1990,Urban regions,West,Further vocational education,0.00840,69,69,-0.01329,0.03010
1990,Urban regions,East,Further vocational education,0.01378,31,31,-0.02794,0.05550
1990,Rural regions,East,Further vocational education,0.01210,46,46,-0.01985,0.04405
1991,Urban regions,West,Further vocational education,0.00822,71,71,-0.01293,0.02938
1992,Urban regions,West,Further vocational education,0.00636,55,86,-0.01054,0.02327
1992,Urban regions,West,Others,0.00324,31,86,-0.00884,0.01533
1992,Urban regions,East,Vocational Retraining,0.01573,32,87,-0.01057,0.04203
1992,Urban regions,East,Further vocational education,0.02838,55,87,-0.00672,0.06348
1992,Rural regions,East,Vocational Retraining,0.02164,65,145,-0.00212,0.04541
1992,Rural regions,East,Further vocational education,0.02291,80,145,-0.00153,0.04735
1993,Urban regions,West,Further vocational education,0.00762,69,69,-0.01305,0.02828
1993,Urban regions,East,Further vocational education,0.02796,51,51,-0.01774,0.07366
1993,Rural regions,East,Vocational Retraining,0.02066,63,133,-0.00361,0.04493
1993,Rural regions,East,Further vocational education,0.01953,70,133,-0.00408,0.04313
1994,Urban regions,West,Further vocational education,0.00935,72,72,-0.01304,0.03175
1994,Urban regions,East,Further vocational education,0.01930,33,33,-0.02837,0.06696
1994,Rural regions,East,Vocational Retraining,0.01282,36,89,-0.01068,0.03633
1994,Rural regions,East,Further vocational education,0.01698,53,89,-0.01001,0.04398
1995,Urban regions,West,Vocational Retraining,0.00350,33,106,-0.00779,0.01479
1995,Urban regions,West,Further vocational education,0.00772,73,106,-0.00902,0.02446
1995,Urban regions,East,Further vocational education,0.02433,37,37,-0.02600,0.07466
1995,Rural regions,East,Further vocational education,0.01591,49,49,-0.01949,0.05132
1996,Urban regions,West,Further vocational education,0.00731,65,65,-0.01356,0.02818
1996,Rural regions,East,Vocational Retraining,0.01045,32,74,-0.01288,0.03378
1996,Rural regions,East,Further vocational education,0.01463,42,74,-0.01291,0.04218
1997,Urban regions,West,Vocational Retraining,0.00404,34,95,-0.00878,0.01685
1997,Urban regions,West,Further vocational education,0.00712,61,95,-0.00988,0.02413
1997,Rural regions,East,Further vocational education,0.01366,44,44,-0.02104,0.04837
1998,Urban regions,West,Further vocational education,0.00768,59,59,-0.01479,0.03014
1999,Urban regions,West,Further vocational education,0.00769,69,69,-0.01307,0.02846
1999,Rural regions,East,Further vocational education,0.00944,34,34,-0.02355,0.04242
2000,Urban regions,West,Further vocational education,0.00526,97,172,-0.00558,0.01610
2000,Urban regions,West,Others,0.00434,75,172,-0.00551,0.01419
2000,Rural regions,West,Further vocational education,0.00575,35,35,-0.01966,0.03115
