year,regtyp,rentown,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Owner,No,0.99597,3748,3748,0.99394,0.99800
2016,Urban regions,Tenant,No,0.99770,5584,5584,0.99644,0.99895
2016,Rural regions,Owner,No,0.99767,2521,2521,0.99578,0.99955
2016,Rural regions,Tenant,No,0.99876,2388,2388,0.99735,1.00017
2017,Urban regions,Owner,No,0.99936,4248,4248,0.99860,1.00012
2017,Urban regions,Tenant,No,0.99841,5965,5965,0.99740,0.99942
2017,Rural regions,Owner,No,0.99742,2796,2796,0.99554,0.99930
2017,Rural regions,Tenant,No,0.99807,2616,2616,0.99638,0.99975
2018,Urban regions,Owner,No,0.99626,4058,4058,0.99438,0.99814
2018,Urban regions,Tenant,No,0.99861,6085,6085,0.99768,0.99955
2018,Rural regions,Owner,No,0.99893,2669,2669,0.99770,1.00017
2018,Rural regions,Tenant,No,0.99600,2586,2586,0.99357,0.99844
2019,No answer / don't know,Owner,No,0.98835,155,155,0.97140,1.00530
2019,No answer / don't know,Tenant,No,0.99868,309,309,0.99462,1.00274
2019,Urban regions,Owner,No,0.99715,4711,4711,0.99563,0.99867
2019,Urban regions,Tenant,No,0.99879,5569,5569,0.99788,0.99970
2019,Rural regions,Owner,No,0.99760,2978,2978,0.99584,0.99936
2019,Rural regions,Tenant,No,0.99811,2358,2358,0.99636,0.99986
2020,Urban regions,Owner,No,0.99605,4253,4253,0.99416,0.99793
2020,Urban regions,Tenant,No,0.99476,6692,6692,0.99303,0.99649
2020,Rural regions,Owner,No,0.99449,2661,2661,0.99168,0.99730
2020,Rural regions,Tenant,No,0.99846,2609,2609,0.99695,0.99996
2021,Urban regions,Owner,No,0.99545,3104,3104,0.99308,0.99782
2021,Urban regions,Tenant,No,0.99652,4283,4283,0.99476,0.99829
2021,Rural regions,Owner,No,0.99518,1944,1944,0.99210,0.99826
2021,Rural regions,Tenant,No,0.99947,1697,1697,0.99838,1.00057
2022,Urban regions,Owner,No,0.99701,4651,4651,0.99544,0.99858
2022,Urban regions,Tenant,No,0.99775,8442,8442,0.99674,0.99876
2022,Rural regions,Owner,No,0.99887,3134,3134,0.99770,1.00005
2022,Rural regions,Tenant,No,0.99305,2894,2894,0.99002,0.99608
