year,regtyp,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,No,0.99695,9333,9333,0.99583,0.99807
2016,Rural regions,No,0.99819,4909,4909,0.99699,0.99938
2017,Urban regions,No,0.99883,10213,10213,0.99817,0.99949
2017,Rural regions,No,0.99773,5412,5412,0.99646,0.99900
2018,Urban regions,No,0.99757,10143,10143,0.99661,0.99853
2018,Rural regions,No,0.99754,5255,5255,0.99620,0.99888
2019,No answer / don't know,No,0.99509,464,464,0.98873,1.00146
2019,Urban regions,No,0.99806,10280,10280,0.99721,0.99891
2019,Rural regions,No,0.99784,5336,5336,0.99660,0.99909
2020,Urban regions,Yes,0.00467,43,10988,0.00340,0.00595
2020,Urban regions,No,0.99533,10945,10988,0.99405,0.99660
2020,Rural regions,No,0.99638,5270,5270,0.99476,0.99800
2021,Urban regions,Yes,0.00395,31,7421,0.00253,0.00538
2021,Urban regions,No,0.99605,7390,7421,0.99462,0.99747
2021,Rural regions,No,0.99722,3642,3642,0.99551,0.99893
2022,Urban regions,Yes,0.00257,37,13138,0.00171,0.00344
2022,Urban regions,No,0.99743,13101,13138,0.99656,0.99829
2022,Rural regions,No,0.99617,6034,6034,0.99462,0.99773
