year,age_gr,sex,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,male,Married,0.20553,424,1691,0.18626,0.22480
1984,17-29 y.,male,Single,0.77280,1267,1691,0.75282,0.79277
1984,17-29 y.,female,Married,0.34375,690,1673,0.32098,0.36651
1984,17-29 y.,female,"Married, living apart",0.01690,33,1673,0.01072,0.02308
1984,17-29 y.,female,Single,0.62036,950,1673,0.59710,0.64363
1984,30-45 y.,male,Married,0.77791,1596,1927,0.75934,0.79647
1984,30-45 y.,male,"Married, living apart",0.03051,66,1927,0.02283,0.03819
1984,30-45 y.,male,Single,0.13893,199,1927,0.12348,0.15438
1984,30-45 y.,male,Divorced,0.04567,66,1927,0.03635,0.05500
1984,30-45 y.,female,Married,0.80771,1675,1940,0.79016,0.82525
1984,30-45 y.,female,Single,0.06821,97,1940,0.05699,0.07944
1984,30-45 y.,female,Divorced,0.08334,128,1940,0.07104,0.09565
1984,30-45 y.,female,Widowed,0.02374,40,1940,0.01697,0.03052
1984,46-65 y.,male,Married,0.86255,1566,1777,0.84654,0.87857
1984,46-65 y.,male,"Married, living apart",0.01668,50,1777,0.01072,0.02263
1984,46-65 y.,male,Single,0.03716,53,1777,0.02836,0.04595
1984,46-65 y.,male,Divorced,0.04774,60,1777,0.03782,0.05766
1984,46-65 y.,male,Widowed,0.03588,48,1777,0.02723,0.04453
1984,46-65 y.,female,Married,0.72409,1379,1756,0.70318,0.74500
1984,46-65 y.,female,Single,0.05168,71,1756,0.04132,0.06203
1984,46-65 y.,female,Divorced,0.06490,96,1756,0.05338,0.07643
1984,46-65 y.,female,Widowed,0.14481,210,1756,0.12834,0.16127
1984,66 and older,male,Married,0.75014,397,481,0.71141,0.78887
1984,66 and older,male,Widowed,0.19958,84,481,0.16383,0.23534
1984,66 and older,female,Married,0.25725,238,761,0.22617,0.28833
1984,66 and older,female,Single,0.08374,58,761,0.06405,0.10344
1984,66 and older,female,Divorced,0.04162,32,761,0.02742,0.05582
1984,66 and older,female,Widowed,0.61587,433,761,0.58129,0.65045
1985,17-29 y.,male,Married,0.18221,356,1577,0.16315,0.20126
1985,17-29 y.,male,Single,0.79671,1221,1577,0.77684,0.81658
1985,17-29 y.,female,Married,0.31616,579,1481,0.29247,0.33985
1985,17-29 y.,female,Single,0.64809,902,1481,0.62376,0.67242
1985,30-45 y.,male,Married,0.76674,1408,1700,0.74663,0.78685
1985,30-45 y.,male,"Married, living apart",0.02332,48,1700,0.01614,0.03049
1985,30-45 y.,male,Single,0.15121,179,1700,0.13418,0.16825
1985,30-45 y.,male,Divorced,0.05341,65,1700,0.04272,0.06410
1985,30-45 y.,female,Married,0.80299,1504,1744,0.78432,0.82166
1985,30-45 y.,female,Single,0.07415,90,1744,0.06185,0.08645
1985,30-45 y.,female,Divorced,0.08614,116,1744,0.07297,0.09931
1985,30-45 y.,female,Widowed,0.02099,34,1744,0.01426,0.02771
1985,46-65 y.,male,Married,0.85642,1467,1653,0.83951,0.87333
1985,46-65 y.,male,"Married, living apart",0.02002,42,1653,0.01327,0.02678
1985,46-65 y.,male,Single,0.04080,49,1653,0.03126,0.05034
1985,46-65 y.,male,Divorced,0.05042,56,1653,0.03987,0.06098
1985,46-65 y.,male,Widowed,0.03233,39,1653,0.02380,0.04086
1985,46-65 y.,female,Married,0.71374,1276,1626,0.69177,0.73572
1985,46-65 y.,female,Single,0.05437,65,1626,0.04334,0.06539
1985,46-65 y.,female,Divorced,0.06948,94,1626,0.05712,0.08185
1985,46-65 y.,female,Widowed,0.14456,191,1626,0.12746,0.16166
1985,66 and older,male,Married,0.73994,347,419,0.69789,0.78199
1985,66 and older,male,Widowed,0.20375,72,419,0.16514,0.24236
1985,66 and older,female,Married,0.25557,206,663,0.22234,0.28880
1985,66 and older,female,Single,0.07647,47,663,0.05623,0.09672
1985,66 and older,female,Divorced,0.05344,34,663,0.03630,0.07057
1985,66 and older,female,Widowed,0.61287,376,663,0.57576,0.64997
1986,17-29 y.,male,Married,0.18078,322,1551,0.16162,0.19993
1986,17-29 y.,male,Single,0.80227,1229,1551,0.78244,0.82209
1986,17-29 y.,female,Married,0.31249,523,1415,0.28833,0.33664
1986,17-29 y.,female,Single,0.65210,892,1415,0.62727,0.67693
1986,30-45 y.,male,Married,0.75418,1272,1575,0.73291,0.77545
1986,30-45 y.,male,"Married, living apart",0.03247,62,1575,0.02371,0.04123
1986,30-45 y.,male,Single,0.15240,174,1575,0.13464,0.17015
1986,30-45 y.,male,Divorced,0.05792,67,1575,0.04638,0.06946
1986,30-45 y.,female,Married,0.78161,1411,1659,0.76172,0.80150
1986,30-45 y.,female,"Married, living apart",0.03161,42,1659,0.02319,0.04004
1986,30-45 y.,female,Single,0.08865,102,1659,0.07497,0.10233
1986,30-45 y.,female,Divorced,0.07831,104,1659,0.06538,0.09124
1986,46-65 y.,male,Married,0.84946,1448,1645,0.83218,0.86675
1986,46-65 y.,male,"Married, living apart",0.02189,49,1645,0.01481,0.02896
1986,46-65 y.,male,Single,0.04596,55,1645,0.03584,0.05608
1986,46-65 y.,male,Divorced,0.05613,61,1645,0.04501,0.06726
1986,46-65 y.,male,Widowed,0.02656,32,1645,0.01879,0.03434
1986,46-65 y.,female,Married,0.71959,1245,1561,0.69730,0.74189
1986,46-65 y.,female,Single,0.04630,49,1561,0.03587,0.05673
1986,46-65 y.,female,Divorced,0.07451,94,1561,0.06148,0.08754
1986,46-65 y.,female,Widowed,0.14307,173,1561,0.12570,0.16045
1986,66 and older,male,Married,0.73500,328,396,0.69147,0.77852
1986,66 and older,male,Widowed,0.20642,68,396,0.16651,0.24634
1986,66 and older,female,Married,0.25670,190,584,0.22124,0.29216
1986,66 and older,female,Single,0.08271,47,584,0.06035,0.10507
1986,66 and older,female,Widowed,0.61292,347,584,0.57339,0.65246
1987,17-29 y.,male,Married,0.18111,314,1554,0.16196,0.20026
1987,17-29 y.,male,"Married, living apart",0.01196,31,1554,0.00655,0.01737
1987,17-29 y.,male,Single,0.79631,1209,1554,0.77628,0.81634
1987,17-29 y.,female,Married,0.32822,517,1395,0.30357,0.35287
1987,17-29 y.,female,Single,0.63785,878,1395,0.61262,0.66308
1987,30-45 y.,male,Married,0.74347,1238,1545,0.72169,0.76526
1987,30-45 y.,male,"Married, living apart",0.02564,49,1545,0.01776,0.03353
1987,30-45 y.,male,Single,0.16964,188,1545,0.15092,0.18836
1987,30-45 y.,male,Divorced,0.05892,70,1545,0.04717,0.07067
1987,30-45 y.,female,Married,0.78193,1355,1591,0.76163,0.80222
1987,30-45 y.,female,"Married, living apart",0.02237,33,1591,0.01510,0.02964
1987,30-45 y.,female,Single,0.09435,97,1591,0.07998,0.10872
1987,30-45 y.,female,Divorced,0.08245,106,1591,0.06893,0.09597
1987,46-65 y.,male,Married,0.84232,1433,1634,0.82464,0.86000
1987,46-65 y.,male,"Married, living apart",0.02480,53,1634,0.01726,0.03234
1987,46-65 y.,male,Single,0.04746,51,1634,0.03715,0.05777
1987,46-65 y.,male,Divorced,0.05632,61,1634,0.04514,0.06751
1987,46-65 y.,male,Widowed,0.02910,36,1634,0.02094,0.03725
1987,46-65 y.,female,Married,0.71008,1222,1574,0.68765,0.73250
1987,46-65 y.,female,"Married, living apart",0.02117,31,1574,0.01406,0.02828
1987,46-65 y.,female,Single,0.04511,44,1574,0.03485,0.05536
1987,46-65 y.,female,Divorced,0.08574,107,1574,0.07191,0.09958
1987,46-65 y.,female,Widowed,0.13790,170,1574,0.12086,0.15494
1987,66 and older,male,Married,0.73822,330,400,0.69509,0.78136
1987,66 and older,male,Widowed,0.20566,70,400,0.16600,0.24532
1987,66 and older,female,Married,0.28118,218,615,0.24562,0.31674
