year,quintil_oecd,sex,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,male,Married,0.65695,761,1053,0.62826,0.68563
1984,1st Quintile,male,Single,0.27768,292,1053,0.25061,0.30474
1984,1st Quintile,female,Married,0.41145,764,1386,0.38553,0.43736
1984,1st Quintile,female,"Married, living apart",0.02259,35,1386,0.01476,0.03041
1984,1st Quintile,female,Single,0.20735,289,1386,0.18600,0.22871
1984,1st Quintile,female,Divorced,0.08399,90,1386,0.06938,0.09860
1984,1st Quintile,female,Widowed,0.27462,208,1386,0.25112,0.29813
1984,2nd Quintile,male,Married,0.68842,799,1064,0.66058,0.71626
1984,2nd Quintile,male,Single,0.23806,265,1064,0.21245,0.26366
1984,2nd Quintile,female,Married,0.53299,797,1261,0.50544,0.56054
1984,2nd Quintile,female,Single,0.18562,234,1261,0.16415,0.20709
1984,2nd Quintile,female,Divorced,0.05660,67,1261,0.04384,0.06936
1984,2nd Quintile,female,Widowed,0.21587,163,1261,0.19315,0.23859
1984,3rd Quintile,male,Married,0.64493,795,1140,0.61714,0.67272
1984,3rd Quintile,male,Single,0.27694,314,1140,0.25095,0.30292
1984,3rd Quintile,male,Widowed,0.04180,31,1140,0.03018,0.05342
1984,3rd Quintile,female,Married,0.61064,797,1151,0.58246,0.63882
1984,3rd Quintile,female,Single,0.17680,194,1151,0.15475,0.19885
1984,3rd Quintile,female,Divorced,0.05467,53,1151,0.04153,0.06781
1984,3rd Quintile,female,Widowed,0.14449,107,1151,0.12417,0.16481
1984,4th Quintile,male,Married,0.63138,812,1266,0.60479,0.65797
1984,4th Quintile,male,"Married, living apart",0.02239,41,1266,0.01424,0.03055
1984,4th Quintile,male,Single,0.27048,342,1266,0.24600,0.29496
1984,4th Quintile,male,Divorced,0.03576,38,1266,0.02553,0.04599
1984,4th Quintile,male,Widowed,0.03999,33,1266,0.02919,0.05079
1984,4th Quintile,female,Married,0.61015,810,1207,0.58262,0.63767
1984,4th Quintile,female,Single,0.20219,246,1207,0.17952,0.22486
1984,4th Quintile,female,Divorced,0.03863,38,1207,0.02775,0.04950
1984,4th Quintile,female,Widowed,0.14003,113,1207,0.12045,0.15962
1984,5th Quintile,male,Married,0.62779,814,1269,0.60119,0.65440
1984,5th Quintile,male,"Married, living apart",0.02729,48,1269,0.01832,0.03626
1984,5th Quintile,male,Single,0.24743,314,1269,0.22367,0.27118
1984,5th Quintile,male,Divorced,0.05333,57,1269,0.04096,0.06569
1984,5th Quintile,male,Widowed,0.04417,36,1269,0.03286,0.05547
1984,5th Quintile,female,Married,0.65292,812,1110,0.62490,0.68093
1984,5th Quintile,female,Single,0.19413,207,1110,0.17085,0.21741
1984,5th Quintile,female,Widowed,0.11362,91,1110,0.09494,0.13229
1985,1st Quintile,male,Married,0.61012,678,963,0.57930,0.64094
1985,1st Quintile,male,Single,0.32080,285,963,0.29130,0.35029
1985,1st Quintile,female,Married,0.39044,684,1226,0.36312,0.41776
1985,1st Quintile,female,Single,0.21759,273,1226,0.19448,0.24070
1985,1st Quintile,female,Divorced,0.09946,93,1226,0.08270,0.11622
1985,1st Quintile,female,Widowed,0.26668,176,1226,0.24192,0.29145
1985,2nd Quintile,male,Married,0.70174,739,985,0.67315,0.73032
1985,2nd Quintile,male,Single,0.23217,246,985,0.20579,0.25855
1985,2nd Quintile,female,Married,0.54943,735,1116,0.52023,0.57864
1985,2nd Quintile,female,Single,0.16114,183,1116,0.13956,0.18272
1985,2nd Quintile,female,Divorced,0.06567,62,1116,0.05113,0.08021
1985,2nd Quintile,female,Widowed,0.21292,136,1116,0.18889,0.23695
1985,3rd Quintile,male,Married,0.63049,716,1038,0.60111,0.65987
1985,3rd Quintile,male,Single,0.29420,322,1038,0.26646,0.32193
1985,3rd Quintile,female,Married,0.56104,711,1089,0.53156,0.59053
1985,3rd Quintile,female,Single,0.21912,226,1089,0.19454,0.24370
1985,3rd Quintile,female,Divorced,0.04449,43,1089,0.03224,0.05674
1985,3rd Quintile,female,Widowed,0.16605,109,1089,0.14394,0.18816
1985,4th Quintile,male,Married,0.59024,708,1148,0.56177,0.61870
1985,4th Quintile,male,"Married, living apart",0.01963,32,1148,0.01160,0.02766
1985,4th Quintile,male,Single,0.30427,335,1148,0.27765,0.33090
1985,4th Quintile,male,Divorced,0.03708,38,1148,0.02614,0.04801
1985,4th Quintile,male,Widowed,0.04878,35,1148,0.03632,0.06125
1985,4th Quintile,female,Married,0.60017,706,1055,0.57060,0.62975
1985,4th Quintile,female,Single,0.21138,213,1055,0.18673,0.23603
1985,4th Quintile,female,Divorced,0.04373,39,1055,0.03139,0.05608
1985,4th Quintile,female,Widowed,0.13589,97,1055,0.11521,0.15658
1985,5th Quintile,male,Married,0.63521,736,1063,0.60626,0.66416
1985,5th Quintile,male,Single,0.23726,273,1063,0.21168,0.26285
1985,5th Quintile,male,Divorced,0.06047,54,1063,0.04613,0.07481
1985,5th Quintile,female,Married,0.63609,728,1022,0.60658,0.66560
1985,5th Quintile,female,Single,0.20683,207,1022,0.18199,0.23168
1985,5th Quintile,female,Widowed,0.11223,87,1022,0.09286,0.13159
1986,1st Quintile,male,Married,0.62423,617,873,0.59209,0.65638
1986,1st Quintile,male,Single,0.30272,256,873,0.27222,0.33321
1986,1st Quintile,female,Married,0.39670,619,1155,0.36847,0.42493
1986,1st Quintile,female,"Married, living apart",0.02926,35,1155,0.01953,0.03898
1986,1st Quintile,female,Single,0.20959,249,1155,0.18611,0.23307
