year,age_gr,bula_h,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,Single,0.73332,69,69,0.62821,0.83843
1984,17-29 y.,Hamburg,Single,0.79892,50,50,0.68669,0.91115
1984,17-29 y.,Lower Saxony,Married,0.22587,87,329,0.18062,0.27113
1984,17-29 y.,Lower Saxony,Single,0.75319,242,329,0.70653,0.79985
1984,17-29 y.,North Rhine-Westphalia,Married,0.29696,332,938,0.26771,0.32622
1984,17-29 y.,North Rhine-Westphalia,Single,0.67112,606,938,0.64103,0.70120
1984,17-29 y.,Hesse,Married,0.28823,138,367,0.24183,0.33464
1984,17-29 y.,Hesse,Single,0.70033,229,367,0.65340,0.74727
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Married,0.31776,84,235,0.25811,0.37742
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Single,0.63022,151,235,0.56837,0.69207
1984,17-29 y.,Baden-Wuerttemberg,Married,0.26620,224,626,0.23155,0.30085
1984,17-29 y.,Baden-Wuerttemberg,Single,0.69378,402,626,0.65764,0.72991
1984,17-29 y.,Bavaria,Married,0.27546,178,560,0.23842,0.31249
1984,17-29 y.,Bavaria,Single,0.70879,382,560,0.67113,0.74646
1984,17-29 y.,Berlin,Single,0.72329,68,68,0.61616,0.83041
1984,30-45 y.,Schleswig-Holstein,Married,0.77385,117,117,0.69772,0.84998
1984,30-45 y.,Hamburg,Married,0.57815,85,85,0.47253,0.68376
1984,30-45 y.,Lower Saxony,Married,0.85622,337,337,0.81871,0.89374
1984,30-45 y.,North Rhine-Westphalia,Married,0.79538,918,1049,0.77096,0.81981
1984,30-45 y.,North Rhine-Westphalia,Single,0.09777,79,1049,0.07979,0.11575
1984,30-45 y.,North Rhine-Westphalia,Divorced,0.06168,52,1049,0.04712,0.07625
1984,30-45 y.,Hesse,Married,0.73399,299,330,0.68624,0.78174
1984,30-45 y.,Hesse,Single,0.12714,31,330,0.09115,0.16314
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Married,0.79681,175,175,0.73702,0.85659
1984,30-45 y.,Baden-Wuerttemberg,Married,0.81029,633,688,0.78097,0.83961
1984,30-45 y.,Baden-Wuerttemberg,Single,0.11516,55,688,0.09129,0.13903
1984,30-45 y.,Bavaria,Married,0.82890,583,634,0.79956,0.85824
1984,30-45 y.,Bavaria,Single,0.09453,51,634,0.07174,0.11732
1984,30-45 y.,Berlin,Married,0.63212,96,96,0.53515,0.72909
1984,46-65 y.,Schleswig-Holstein,Married,0.80418,84,84,0.71880,0.88955
1984,46-65 y.,Hamburg,Married,0.67072,54,54,0.54419,0.79724
1984,46-65 y.,Lower Saxony,Married,0.82759,300,300,0.78478,0.87041
1984,46-65 y.,Bremen,Married,0.68554,33,33,0.52467,0.84641
1984,46-65 y.,North Rhine-Westphalia,Married,0.77140,750,894,0.74386,0.79894
1984,46-65 y.,North Rhine-Westphalia,Single,0.04790,35,894,0.03389,0.06190
1984,46-65 y.,North Rhine-Westphalia,Divorced,0.07192,49,894,0.05498,0.08887
1984,46-65 y.,North Rhine-Westphalia,Widowed,0.09546,60,894,0.07619,0.11473
1984,46-65 y.,Hesse,Married,0.83552,343,343,0.79623,0.87481
1984,46-65 y.,"Rhineland-Palatinate, Saarland",Married,0.82368,240,240,0.77537,0.87200
1984,46-65 y.,Baden-Wuerttemberg,Married,0.77942,535,582,0.74570,0.81313
1984,46-65 y.,Baden-Wuerttemberg,Widowed,0.09847,47,582,0.07425,0.12270
1984,46-65 y.,Bavaria,Married,0.79689,513,559,0.76351,0.83027
1984,46-65 y.,Bavaria,Widowed,0.09587,46,559,0.07144,0.12030
1984,46-65 y.,Berlin,Married,0.68282,93,93,0.58773,0.77792
1984,66 and older,Lower Saxony,Married,0.45597,80,138,0.37257,0.53938
1984,66 and older,Lower Saxony,Widowed,0.41820,58,138,0.33560,0.50080
1984,66 and older,North Rhine-Westphalia,Married,0.38016,126,254,0.32035,0.43998
1984,66 and older,North Rhine-Westphalia,Widowed,0.51390,128,254,0.45231,0.57549
1984,66 and older,Hesse,Married,0.47593,54,92,0.37332,0.57855
1984,66 and older,Hesse,Widowed,0.43083,38,92,0.32908,0.53257
1984,66 and older,"Rhineland-Palatinate, Saarland",Married,0.42382,53,107,0.32975,0.51790
1984,66 and older,"Rhineland-Palatinate, Saarland",Widowed,0.53747,54,107,0.44255,0.63238
1984,66 and older,Baden-Wuerttemberg,Married,0.45613,112,198,0.38658,0.52569
1984,66 and older,Baden-Wuerttemberg,Widowed,0.46569,86,198,0.39603,0.53535
1984,66 and older,Bavaria,Married,0.50086,132,213,0.43356,0.56817
1984,66 and older,Bavaria,Widowed,0.39878,81,213,0.33287,0.46469
1985,17-29 y.,Schleswig-Holstein,Single,0.72129,62,62,0.60877,0.83380
1985,17-29 y.,Hamburg,Single,0.79905,46,46,0.68197,0.91613
1985,17-29 y.,Lower Saxony,Married,0.17781,63,297,0.13425,0.22137
1985,17-29 y.,Lower Saxony,Single,0.80265,234,297,0.75731,0.84799
1985,17-29 y.,North Rhine-Westphalia,Married,0.27047,270,844,0.24048,0.30046
1985,17-29 y.,North Rhine-Westphalia,Single,0.70447,574,844,0.67367,0.73527
1985,17-29 y.,Hesse,Married,0.25083,110,322,0.20340,0.29825
1985,17-29 y.,Hesse,Single,0.72307,212,322,0.67411,0.77202
1985,17-29 y.,"Rhineland-Palatinate, Saarland",Married,0.31659,80,230,0.25634,0.37683
1985,17-29 y.,"Rhineland-Palatinate, Saarland",Single,0.62591,150,230,0.56324,0.68858
1985,17-29 y.,Baden-Wuerttemberg,Married,0.23805,190,595,0.20380,0.27229
1985,17-29 y.,Baden-Wuerttemberg,Single,0.72374,405,595,0.68778,0.75970
1985,17-29 y.,Bavaria,Married,0.24627,154,516,0.20905,0.28348
1985,17-29 y.,Bavaria,Single,0.73972,362,516,0.70182,0.77761
1985,17-29 y.,Berlin,Single,0.70218,63,63,0.58835,0.81601
1985,30-45 y.,Schleswig-Holstein,Married,0.73086,101,101,0.64393,0.81779
1985,30-45 y.,Hamburg,Married,0.51778,66,66,0.39631,0.63926
1985,30-45 y.,Lower Saxony,Married,0.84886,306,306,0.80866,0.88906
1985,30-45 y.,North Rhine-Westphalia,Married,0.77063,821,959,0.74401,0.79726
1985,30-45 y.,North Rhine-Westphalia,Single,0.12079,86,959,0.10015,0.14143
1985,30-45 y.,North Rhine-Westphalia,Divorced,0.06945,52,959,0.05335,0.08555
1985,30-45 y.,Hesse,Married,0.79220,285,285,0.74501,0.83939
1985,30-45 y.,"Rhineland-Palatinate, Saarland",Married,0.82171,145,145,0.75920,0.88423
1985,30-45 y.,Baden-Wuerttemberg,Married,0.79608,549,595,0.76367,0.82848
1985,30-45 y.,Baden-Wuerttemberg,Single,0.12190,46,595,0.09559,0.14821
1985,30-45 y.,Bavaria,Married,0.82862,528,570,0.79765,0.85958
1985,30-45 y.,Bavaria,Single,0.09769,42,570,0.07329,0.12208
1985,30-45 y.,Berlin,Married,0.61810,87,87,0.51541,0.72079
1985,46-65 y.,Schleswig-Holstein,Married,0.79109,81,81,0.70201,0.88018
1985,46-65 y.,Hamburg,Married,0.62604,53,53,0.49453,0.75755
1985,46-65 y.,Lower Saxony,Married,0.81089,273,273,0.76435,0.85742
1985,46-65 y.,North Rhine-Westphalia,Married,0.76827,711,844,0.73978,0.79675
1985,46-65 y.,North Rhine-Westphalia,Single,0.04760,31,844,0.03323,0.06198
1985,46-65 y.,North Rhine-Westphalia,Divorced,0.07352,46,844,0.05591,0.09114
