year,pgisced97,sex,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Primary Level,male,Married,0.49984,305,376,0.44923,0.55044
1984,Primary Level,male,Single,0.36000,71,376,0.31142,0.40858
1984,Primary Level,female,Married,0.66210,477,556,0.62275,0.70145
1984,Primary Level,female,Single,0.16135,47,556,0.13075,0.19196
1984,Primary Level,female,Widowed,0.10695,32,556,0.08124,0.13266
1984,Lower Secondary Level,male,Married,0.49382,617,1066,0.46379,0.52384
1984,Lower Secondary Level,male,Single,0.42478,449,1066,0.39509,0.45447
1984,Lower Secondary Level,female,Married,0.53077,1410,2278,0.51027,0.55127
1984,Lower Secondary Level,female,Single,0.16496,407,2278,0.14971,0.18020
1984,Lower Secondary Level,female,Divorced,0.04289,88,2278,0.03457,0.05121
1984,Lower Secondary Level,female,Widowed,0.25006,373,2278,0.23228,0.26785
1984,Upper Secondary Level,male,Married,0.67252,2172,3159,0.65615,0.68889
1984,Upper Secondary Level,male,"Married, living apart",0.01357,59,3159,0.00953,0.01760
1984,Upper Secondary Level,male,Single,0.23049,736,3159,0.21580,0.24518
1984,Upper Secondary Level,male,Divorced,0.03694,99,3159,0.03036,0.04351
1984,Upper Secondary Level,male,Widowed,0.04649,93,3159,0.03914,0.05383
1984,Upper Secondary Level,female,Married,0.60642,1686,2547,0.58745,0.62540
1984,Upper Secondary Level,female,"Married, living apart",0.01417,35,2547,0.00958,0.01876
1984,Upper Secondary Level,female,Single,0.17345,460,2547,0.15875,0.18816
1984,Upper Secondary Level,female,Divorced,0.06201,135,2547,0.05265,0.07138
1984,Upper Secondary Level,female,Widowed,0.14394,231,2547,0.13030,0.15757
1984,Post-secondary Non-tertiary Level,male,Married,0.59480,133,182,0.52328,0.66632
1984,Post-secondary Non-tertiary Level,male,Single,0.32168,49,182,0.25362,0.38973
1984,Post-secondary Non-tertiary Level,female,Married,0.40427,61,103,0.30903,0.49951
1984,Post-secondary Non-tertiary Level,female,Single,0.46164,42,103,0.36489,0.55839
1984,First Stage of Tertiary Education,male,Married,0.79760,313,354,0.75568,0.83951
1984,First Stage of Tertiary Education,male,Single,0.11000,41,354,0.07736,0.14265
1984,First Stage of Tertiary Education,female,Married,0.54889,169,228,0.48416,0.61363
1984,First Stage of Tertiary Education,female,Single,0.23698,59,228,0.18167,0.29230
1984,Second Stage of Tertiary Education,male,Married,0.76499,416,502,0.72786,0.80212
1984,Second Stage of Tertiary Education,male,Single,0.15864,86,502,0.12665,0.19063
1984,Second Stage of Tertiary Education,female,Married,0.52284,152,217,0.45623,0.58945
1984,Second Stage of Tertiary Education,female,Single,0.27088,65,217,0.21161,0.33015
1985,No answer / don't know,female,Married,0.28074,31,31,0.11993,0.44154
