year,age_gr,quintil_oecd,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Married,0.26464,264,757,0.23320,0.29609
1984,17-29 y.,1st Quintile,Single,0.69172,493,757,0.65881,0.72464
1984,17-29 y.,2nd Quintile,Married,0.25637,221,665,0.22316,0.28958
1984,17-29 y.,2nd Quintile,Single,0.71769,444,665,0.68345,0.75193
1984,17-29 y.,3rd Quintile,Married,0.25623,203,637,0.22230,0.29016
1984,17-29 y.,3rd Quintile,Single,0.71085,434,637,0.67562,0.74609
1984,17-29 y.,4th Quintile,Married,0.28231,235,714,0.24927,0.31535
1984,17-29 y.,4th Quintile,Single,0.69657,479,714,0.66282,0.73031
1984,17-29 y.,5th Quintile,Married,0.31285,187,545,0.27389,0.35182
1984,17-29 y.,5th Quintile,Single,0.66616,358,545,0.62653,0.70579
1984,30-45 y.,1st Quintile,Married,0.76659,670,752,0.73633,0.79684
1984,30-45 y.,1st Quintile,Single,0.08306,39,752,0.06333,0.10280
1984,30-45 y.,1st Quintile,Divorced,0.08410,43,752,0.06425,0.10395
1984,30-45 y.,2nd Quintile,Married,0.85838,700,737,0.83319,0.88357
1984,30-45 y.,2nd Quintile,Divorced,0.05900,37,737,0.04197,0.07602
1984,30-45 y.,3rd Quintile,Married,0.83626,662,709,0.80900,0.86352
1984,30-45 y.,3rd Quintile,Single,0.08323,47,709,0.06289,0.10358
1984,30-45 y.,4th Quintile,Married,0.78620,640,757,0.75698,0.81543
1984,30-45 y.,4th Quintile,Single,0.11230,73,757,0.08980,0.13481
1984,30-45 y.,4th Quintile,Divorced,0.07407,44,757,0.05540,0.09274
1984,30-45 y.,5th Quintile,Married,0.73001,599,748,0.69817,0.76185
1984,30-45 y.,5th Quintile,Single,0.16596,108,748,0.13928,0.19264
1984,30-45 y.,5th Quintile,Divorced,0.06117,41,748,0.04399,0.07836
1984,46-65 y.,1st Quintile,Married,0.68911,441,532,0.64974,0.72848
1984,46-65 y.,1st Quintile,Divorced,0.09212,34,532,0.06752,0.11672
1984,46-65 y.,1st Quintile,Widowed,0.16592,57,532,0.13428,0.19756
1984,46-65 y.,2nd Quintile,Married,0.75682,526,622,0.72308,0.79056
1984,46-65 y.,2nd Quintile,Divorced,0.06555,37,622,0.04608,0.08501
1984,46-65 y.,2nd Quintile,Widowed,0.11482,59,622,0.08974,0.13989
1984,46-65 y.,3rd Quintile,Married,0.81973,590,635,0.78981,0.84965
1984,46-65 y.,3rd Quintile,Widowed,0.08151,45,635,0.06021,0.10281
1984,46-65 y.,4th Quintile,Married,0.82487,644,694,0.79657,0.85317
1984,46-65 y.,4th Quintile,Widowed,0.07496,50,694,0.05535,0.09457
1984,46-65 y.,5th Quintile,Married,0.81713,744,862,0.79131,0.84295
1984,46-65 y.,5th Quintile,Single,0.05764,40,862,0.04207,0.07321
1984,46-65 y.,5th Quintile,Divorced,0.05090,34,862,0.03622,0.06558
1984,46-65 y.,5th Quintile,Widowed,0.06129,44,862,0.04527,0.07731
1984,66 and older,1st Quintile,Married,0.36073,150,334,0.30915,0.41231
1984,66 and older,1st Quintile,Single,0.10257,33,334,0.06998,0.13516
1984,66 and older,1st Quintile,Widowed,0.48986,151,334,0.43617,0.54356
1984,66 and older,2nd Quintile,Married,0.46768,149,266,0.40761,0.52776
1984,66 and older,2nd Quintile,Widowed,0.49040,117,266,0.43021,0.55059
1984,66 and older,3rd Quintile,Married,0.52054,137,220,0.45438,0.58671
1984,66 and older,3rd Quintile,Widowed,0.40543,83,220,0.34040,0.47045
1984,66 and older,4th Quintile,Married,0.45172,103,192,0.38114,0.52230
1984,66 and older,4th Quintile,Widowed,0.47494,89,192,0.40411,0.54576
1984,66 and older,5th Quintile,Married,0.41971,96,172,0.34574,0.49368
1984,66 and older,5th Quintile,Widowed,0.44826,76,172,0.37372,0.52280
1985,17-29 y.,1st Quintile,Married,0.24308,260,749,0.21234,0.27382
1985,17-29 y.,1st Quintile,Single,0.71349,489,749,0.68109,0.74590
1985,17-29 y.,2nd Quintile,Married,0.27677,189,573,0.24010,0.31343
1985,17-29 y.,2nd Quintile,Single,0.70262,384,573,0.66516,0.74008
1985,17-29 y.,3rd Quintile,Married,0.21051,171,633,0.17873,0.24229
1985,17-29 y.,3rd Quintile,Single,0.76375,462,633,0.73063,0.79687
1985,17-29 y.,4th Quintile,Married,0.22415,163,608,0.19098,0.25733
1985,17-29 y.,4th Quintile,Single,0.74196,445,608,0.70715,0.77677
1985,17-29 y.,5th Quintile,Married,0.30386,152,492,0.26317,0.34454
1985,17-29 y.,5th Quintile,Single,0.68186,340,492,0.64066,0.72306
1985,30-45 y.,1st Quintile,Married,0.77366,593,667,0.74188,0.80544
1985,30-45 y.,1st Quintile,Single,0.08859,34,667,0.06701,0.11017
1985,30-45 y.,1st Quintile,Divorced,0.09463,40,667,0.07240,0.11686
1985,30-45 y.,2nd Quintile,Married,0.84473,667,705,0.81798,0.87148
1985,30-45 y.,2nd Quintile,Divorced,0.07304,38,705,0.05382,0.09226
1985,30-45 y.,3rd Quintile,Married,0.83350,552,598,0.80362,0.86338
1985,30-45 y.,3rd Quintile,Single,0.09380,46,598,0.07041,0.11719
1985,30-45 y.,4th Quintile,Married,0.76116,546,647,0.72828,0.79404
1985,30-45 y.,4th Quintile,Single,0.13686,67,647,0.11035,0.16336
1985,30-45 y.,4th Quintile,Divorced,0.05894,34,647,0.04077,0.07710
1985,30-45 y.,5th Quintile,Married,0.72917,554,693,0.69606,0.76228
1985,30-45 y.,5th Quintile,Single,0.16909,96,693,0.14116,0.19702
1985,30-45 y.,5th Quintile,Divorced,0.07937,43,693,0.05923,0.09951
1985,46-65 y.,1st Quintile,Married,0.65704,410,506,0.61563,0.69844
1985,46-65 y.,1st Quintile,Divorced,0.10748,37,506,0.08047,0.13450
1985,46-65 y.,1st Quintile,Widowed,0.16646,59,506,0.13397,0.19895
1985,46-65 y.,2nd Quintile,Married,0.78339,470,513,0.74771,0.81907
1985,46-65 y.,2nd Quintile,Widowed,0.10470,43,513,0.07818,0.13122
1985,46-65 y.,3rd Quintile,Married,0.81275,594,632,0.78231,0.84319
1985,46-65 y.,3rd Quintile,Widowed,0.06963,38,632,0.04977,0.08949
1985,46-65 y.,4th Quintile,Married,0.81827,600,642,0.78842,0.84812
1985,46-65 y.,4th Quintile,Widowed,0.07311,42,642,0.05296,0.09326
1985,46-65 y.,5th Quintile,Married,0.79370,667,750,0.76472,0.82268
1985,46-65 y.,5th Quintile,Single,0.06143,35,750,0.04423,0.07863
1985,46-65 y.,5th Quintile,Widowed,0.07330,48,750,0.05463,0.09196
1985,66 and older,1st Quintile,Married,0.30814,99,222,0.24727,0.36902
1985,66 and older,1st Quintile,Widowed,0.54016,123,222,0.47445,0.60587
1985,66 and older,2nd Quintile,Married,0.49651,148,250,0.43441,0.55862
1985,66 and older,2nd Quintile,Widowed,0.46222,102,250,0.40029,0.52415
1985,66 and older,3rd Quintile,Married,0.44325,110,195,0.37334,0.51315
1985,66 and older,3rd Quintile,Widowed,0.44837,85,195,0.37838,0.51835
1985,66 and older,4th Quintile,Married,0.47463,105,179,0.40127,0.54798
1985,66 and older,4th Quintile,Widowed,0.42683,74,179,0.35416,0.49949
1985,66 and older,5th Quintile,Married,0.46746,91,155,0.38866,0.54627
1985,66 and older,5th Quintile,Widowed,0.40661,64,155,0.32903,0.48419
1986,17-29 y.,1st Quintile,Married,0.23889,194,638,0.20577,0.27200
1986,17-29 y.,1st Quintile,Single,0.73101,444,638,0.69657,0.76545
1986,17-29 y.,2nd Quintile,Married,0.28044,200,597,0.24437,0.31650
1986,17-29 y.,2nd Quintile,Single,0.70565,397,597,0.66906,0.74224
1986,17-29 y.,3rd Quintile,Married,0.20196,142,605,0.16994,0.23397
1986,17-29 y.,3rd Quintile,Single,0.77392,463,605,0.74056,0.80728
1986,17-29 y.,4th Quintile,Married,0.23116,169,636,0.19837,0.26395
1986,17-29 y.,4th Quintile,Single,0.72671,467,636,0.69205,0.76137
1986,17-29 y.,5th Quintile,Married,0.28556,140,486,0.24536,0.32576
1986,17-29 y.,5th Quintile,Single,0.70230,346,486,0.66160,0.74299
1986,30-45 y.,1st Quintile,Married,0.75965,511,550,0.72391,0.79539
1986,30-45 y.,1st Quintile,Divorced,0.10124,39,550,0.07601,0.12647
1986,30-45 y.,2nd Quintile,Married,0.85310,624,656,0.82599,0.88021
1986,30-45 y.,2nd Quintile,Single,0.07663,32,656,0.05626,0.09700
1986,30-45 y.,3rd Quintile,Married,0.80619,547,589,0.77424,0.83814
1986,30-45 y.,3rd Quintile,Single,0.09048,42,589,0.06729,0.11367
1986,30-45 y.,4th Quintile,Married,0.69432,482,607,0.65764,0.73100
1986,30-45 y.,4th Quintile,Single,0.18613,81,607,0.15514,0.21712
1986,30-45 y.,4th Quintile,Divorced,0.07475,44,607,0.05381,0.09568
1986,30-45 y.,5th Quintile,Married,0.73925,519,652,0.70552,0.77297
1986,30-45 y.,5th Quintile,Single,0.15972,96,652,0.13158,0.18786
1986,30-45 y.,5th Quintile,Divorced,0.06438,37,652,0.04553,0.08324
1986,46-65 y.,1st Quintile,Married,0.67753,432,520,0.63732,0.71775
1986,46-65 y.,1st Quintile,Divorced,0.08830,33,520,0.06389,0.11271
1986,46-65 y.,1st Quintile,Widowed,0.16490,55,520,0.13297,0.19682
1986,46-65 y.,2nd Quintile,Married,0.79885,465,503,0.76378,0.83392
1986,46-65 y.,2nd Quintile,Widowed,0.09701,38,503,0.07112,0.12290
1986,46-65 y.,3rd Quintile,Married,0.79733,521,592,0.76492,0.82974
1986,46-65 y.,3rd Quintile,Divorced,0.07082,32,592,0.05014,0.09150
1986,46-65 y.,3rd Quintile,Widowed,0.08519,39,592,0.06268,0.10769
1986,46-65 y.,4th Quintile,Married,0.80948,634,672,0.77976,0.83919
1986,46-65 y.,4th Quintile,Widowed,0.06390,38,672,0.04539,0.08240
1986,46-65 y.,5th Quintile,Married,0.79717,641,745,0.76828,0.82607
1986,46-65 y.,5th Quintile,Single,0.05685,31,745,0.04021,0.07349
1986,46-65 y.,5th Quintile,Divorced,0.06553,38,745,0.04774,0.08331
1986,46-65 y.,5th Quintile,Widowed,0.05682,35,745,0.04018,0.07345
1986,66 and older,1st Quintile,Married,0.32539,99,219,0.26319,0.38758
1986,66 and older,1st Quintile,Widowed,0.52470,120,219,0.45841,0.59099
1986,66 and older,2nd Quintile,Married,0.48014,137,229,0.41529,0.54499
1986,66 and older,2nd Quintile,Widowed,0.45688,92,229,0.39222,0.52154
1986,66 and older,3rd Quintile,Married,0.47670,110,191,0.40568,0.54772
1986,66 and older,3rd Quintile,Widowed,0.46086,81,191,0.38998,0.53174
1986,66 and older,4th Quintile,Married,0.46201,90,157,0.38378,0.54025
1986,66 and older,4th Quintile,Widowed,0.44688,67,157,0.36886,0.52490
1986,66 and older,5th Quintile,Married,0.44070,82,137,0.35726,0.52414
1986,66 and older,5th Quintile,Widowed,0.39591,55,137,0.31371,0.47810
1987,17-29 y.,1st Quintile,Married,0.23561,208,632,0.20250,0.26872
1987,17-29 y.,1st Quintile,Single,0.72351,424,632,0.68862,0.75841
1987,17-29 y.,2nd Quintile,Married,0.31112,206,609,0.27432,0.34792
1987,17-29 y.,2nd Quintile,Single,0.65938,403,609,0.62171,0.69705
1987,17-29 y.,3rd Quintile,Married,0.21898,145,589,0.18556,0.25241
