year,pgisced97,quintil_oecd,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Primary Level,1st Quintile,Married,0.66155,288,328,0.61026,0.71284
1984,Primary Level,1st Quintile,Single,0.20563,40,328,0.16182,0.24943
1984,Primary Level,2nd Quintile,Married,0.55682,189,189,0.48581,0.62783
1984,Primary Level,3rd Quintile,Married,0.53931,121,121,0.45012,0.62849
1984,Primary Level,4th Quintile,Married,0.50181,121,121,0.41235,0.59127
1984,Primary Level,5th Quintile,Married,0.66754,62,62,0.54932,0.78576
1984,Lower Secondary Level,1st Quintile,Married,0.44429,523,923,0.41221,0.47636
1984,Lower Secondary Level,1st Quintile,Single,0.21196,224,923,0.18558,0.23834
1984,Lower Secondary Level,1st Quintile,Divorced,0.06629,45,923,0.05023,0.08235
1984,Lower Secondary Level,1st Quintile,Widowed,0.26035,131,923,0.23203,0.28868
1984,Lower Secondary Level,2nd Quintile,Married,0.53318,495,792,0.49841,0.56795
1984,Lower Secondary Level,2nd Quintile,Single,0.21907,200,792,0.19024,0.24789
1984,Lower Secondary Level,2nd Quintile,Widowed,0.20285,97,792,0.17482,0.23087
1984,Lower Secondary Level,3rd Quintile,Married,0.55892,430,679,0.52154,0.59629
1984,Lower Secondary Level,3rd Quintile,Single,0.24874,179,679,0.21621,0.28128
1984,Lower Secondary Level,3rd Quintile,Widowed,0.15564,70,679,0.12835,0.18293
1984,Lower Secondary Level,4th Quintile,Married,0.54379,340,559,0.50246,0.58512
1984,Lower Secondary Level,4th Quintile,Single,0.24996,154,559,0.21403,0.28589
1984,Lower Secondary Level,4th Quintile,Widowed,0.16912,65,559,0.13802,0.20023
1984,Lower Secondary Level,5th Quintile,Married,0.59004,239,368,0.53972,0.64036
1984,Lower Secondary Level,5th Quintile,Single,0.25832,98,368,0.21354,0.30310
1984,Lower Secondary Level,5th Quintile,Widowed,0.11677,31,368,0.08391,0.14962
1984,Upper Secondary Level,1st Quintile,Married,0.56700,566,895,0.53452,0.59948
1984,Upper Secondary Level,1st Quintile,Single,0.21402,214,895,0.18713,0.24090
1984,Upper Secondary Level,1st Quintile,Divorced,0.05798,41,895,0.04266,0.07330
1984,Upper Secondary Level,1st Quintile,Widowed,0.14380,74,895,0.12080,0.16681
1984,Upper Secondary Level,2nd Quintile,Married,0.66797,778,1090,0.64000,0.69594
1984,Upper Secondary Level,2nd Quintile,Single,0.17308,198,1090,0.15061,0.19555
1984,Upper Secondary Level,2nd Quintile,Divorced,0.04555,44,1090,0.03317,0.05794
1984,Upper Secondary Level,2nd Quintile,Widowed,0.10335,70,1090,0.08527,0.12143
1984,Upper Secondary Level,3rd Quintile,Married,0.66161,816,1144,0.63418,0.68904
1984,Upper Secondary Level,3rd Quintile,Single,0.19860,223,1144,0.17547,0.22173
1984,Upper Secondary Level,3rd Quintile,Divorced,0.04857,48,1144,0.03611,0.06103
1984,Upper Secondary Level,3rd Quintile,Widowed,0.07859,57,1144,0.06299,0.09419
1984,Upper Secondary Level,4th Quintile,Married,0.65654,873,1263,0.63034,0.68274
1984,Upper Secondary Level,4th Quintile,Single,0.21342,286,1263,0.19082,0.23603
1984,Upper Secondary Level,4th Quintile,Divorced,0.04600,49,1263,0.03444,0.05755
1984,Upper Secondary Level,4th Quintile,Widowed,0.07008,55,1263,0.05599,0.08416
1984,Upper Secondary Level,5th Quintile,Married,0.64553,822,1208,0.61854,0.67252
1984,Upper Secondary Level,5th Quintile,Single,0.21402,267,1208,0.19088,0.23716
1984,Upper Secondary Level,5th Quintile,Divorced,0.04608,51,1208,0.03426,0.05791
1984,Upper Secondary Level,5th Quintile,Widowed,0.08043,68,1208,0.06509,0.09578
1984,Post-secondary Non-tertiary Level,1st Quintile,Married,0.44048,39,39,0.28264,0.59833
1984,Post-secondary Non-tertiary Level,2nd Quintile,Married,0.50382,32,32,0.32782,0.67983
1984,Post-secondary Non-tertiary Level,3rd Quintile,Married,0.49401,34,34,0.32343,0.66460
1984,Post-secondary Non-tertiary Level,4th Quintile,Married,0.49270,34,34,0.32212,0.66328
1984,Post-secondary Non-tertiary Level,5th Quintile,Married,0.59559,55,55,0.46469,0.72649
1984,First Stage of Tertiary Education,1st Quintile,Married,0.54888,44,44,0.40014,0.69761
1984,First Stage of Tertiary Education,2nd Quintile,Married,0.70601,63,63,0.59261,0.81942
1984,First Stage of Tertiary Education,3rd Quintile,Married,0.79125,93,93,0.70821,0.87430
1984,First Stage of Tertiary Education,4th Quintile,Married,0.65967,112,145,0.58228,0.73706
1984,First Stage of Tertiary Education,4th Quintile,Single,0.20621,33,145,0.14013,0.27229
1984,First Stage of Tertiary Education,5th Quintile,Married,0.71483,170,201,0.65226,0.77740
1984,First Stage of Tertiary Education,5th Quintile,Single,0.14526,31,201,0.09643,0.19410
1984,Second Stage of Tertiary Education,1st Quintile,Married,0.48563,40,40,0.32877,0.64249
1984,Second Stage of Tertiary Education,2nd Quintile,Married,0.66383,31,31,0.49479,0.83288
1984,Second Stage of Tertiary Education,3rd Quintile,Married,0.76223,90,90,0.67379,0.85068
1984,Second Stage of Tertiary Education,4th Quintile,Married,0.76752,136,167,0.70326,0.83178
1984,Second Stage of Tertiary Education,4th Quintile,Single,0.16502,31,167,0.10855,0.22149
1984,Second Stage of Tertiary Education,5th Quintile,Married,0.66803,271,342,0.61805,0.71802
1984,Second Stage of Tertiary Education,5th Quintile,Single,0.20086,71,342,0.15834,0.24338
1985,Primary Level,1st Quintile,Married,0.58148,251,282,0.52380,0.63916
1985,Primary Level,1st Quintile,Single,0.27398,31,282,0.22184,0.32613
1985,Primary Level,2nd Quintile,Married,0.60320,147,147,0.52384,0.68256
1985,Primary Level,3rd Quintile,Married,0.46307,117,117,0.37233,0.55381
1985,Primary Level,4th Quintile,Married,0.56305,96,96,0.46331,0.66279
1985,Primary Level,5th Quintile,Married,0.59334,49,49,0.45438,0.73231
1985,Lower Secondary Level,1st Quintile,Married,0.42579,462,837,0.39228,0.45931
1985,Lower Secondary Level,1st Quintile,Single,0.22745,218,837,0.19904,0.25587
1985,Lower Secondary Level,1st Quintile,Divorced,0.08206,47,837,0.06345,0.10066
1985,Lower Secondary Level,1st Quintile,Widowed,0.25065,110,837,0.22127,0.28003
1985,Lower Secondary Level,2nd Quintile,Married,0.54427,445,691,0.50711,0.58143
1985,Lower Secondary Level,2nd Quintile,Single,0.19669,159,691,0.16703,0.22635
1985,Lower Secondary Level,2nd Quintile,Widowed,0.21488,87,691,0.18423,0.24552
1985,Lower Secondary Level,3rd Quintile,Married,0.49188,370,641,0.45315,0.53062
1985,Lower Secondary Level,3rd Quintile,Single,0.28461,193,641,0.24965,0.31957
1985,Lower Secondary Level,3rd Quintile,Widowed,0.19302,78,641,0.16244,0.22360
1985,Lower Secondary Level,4th Quintile,Married,0.53937,287,469,0.49421,0.58453
1985,Lower Secondary Level,4th Quintile,Single,0.29345,139,469,0.25219,0.33470
1985,Lower Secondary Level,4th Quintile,Widowed,0.13364,43,469,0.10281,0.16447
1985,Lower Secondary Level,5th Quintile,Married,0.58094,206,326,0.52729,0.63458
1985,Lower Secondary Level,5th Quintile,Single,0.25788,88,326,0.21031,0.30544
1985,Lower Secondary Level,5th Quintile,Widowed,0.11877,32,326,0.08360,0.15394
1985,Upper Secondary Level,1st Quintile,Married,0.53467,527,832,0.50076,0.56859
1985,Upper Secondary Level,1st Quintile,Single,0.23345,204,832,0.20469,0.26221
1985,Upper Secondary Level,1st Quintile,Divorced,0.05977,37,832,0.04365,0.07589
1985,Upper Secondary Level,1st Quintile,Widowed,0.14368,64,832,0.11983,0.16753
1985,Upper Secondary Level,2nd Quintile,Married,0.68622,740,1009,0.65757,0.71487
1985,Upper Secondary Level,2nd Quintile,Single,0.15210,171,1009,0.12993,0.17427
1985,Upper Secondary Level,2nd Quintile,Divorced,0.04998,41,1009,0.03653,0.06343
1985,Upper Secondary Level,2nd Quintile,Widowed,0.10258,57,1009,0.08385,0.12131
1985,Upper Secondary Level,3rd Quintile,Married,0.66190,739,1048,0.63325,0.69056
1985,Upper Secondary Level,3rd Quintile,Single,0.20946,228,1048,0.18481,0.23411
1985,Upper Secondary Level,3rd Quintile,Divorced,0.04970,41,1048,0.03654,0.06286
1985,Upper Secondary Level,3rd Quintile,Widowed,0.06668,40,1048,0.05157,0.08179
1985,Upper Secondary Level,4th Quintile,Married,0.60606,743,1134,0.57760,0.63451
1985,Upper Secondary Level,4th Quintile,Single,0.23297,270,1134,0.20835,0.25758
1985,Upper Secondary Level,4th Quintile,Divorced,0.05100,50,1134,0.03819,0.06381
1985,Upper Secondary Level,4th Quintile,Widowed,0.09302,71,1134,0.07611,0.10993
1985,Upper Secondary Level,5th Quintile,Married,0.65462,733,1067,0.62608,0.68317
1985,Upper Secondary Level,5th Quintile,Single,0.21067,239,1067,0.18619,0.23514
1985,Upper Secondary Level,5th Quintile,Divorced,0.04781,42,1067,0.03500,0.06061
1985,Upper Secondary Level,5th Quintile,Widowed,0.07113,53,1067,0.05570,0.08656
1985,Post-secondary Non-tertiary Level,2nd Quintile,Married,0.69953,40,40,0.55564,0.84342
1985,Post-secondary Non-tertiary Level,5th Quintile,Married,0.53346,39,39,0.37484,0.69208
1985,First Stage of Tertiary Education,1st Quintile,Married,0.53154,39,39,0.37288,0.69020
1985,First Stage of Tertiary Education,2nd Quintile,Married,0.66605,55,55,0.54026,0.79184
1985,First Stage of Tertiary Education,3rd Quintile,Married,0.69823,86,86,0.60065,0.79582
1985,First Stage of Tertiary Education,4th Quintile,Married,0.74171,121,121,0.66339,0.82002
1985,First Stage of Tertiary Education,5th Quintile,Married,0.68181,155,155,0.60825,0.75538
1985,Second Stage of Tertiary Education,2nd Quintile,Married,0.57555,37,37,0.41410,0.73701
1985,Second Stage of Tertiary Education,3rd Quintile,Married,0.79808,77,77,0.70783,0.88834
1985,Second Stage of Tertiary Education,4th Quintile,Married,0.70007,130,168,0.63057,0.76957
