year,migback,quintil_oecd,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,1st Quintile,Married,0.48383,765,1422,0.45784,0.50981
1984,No migration background,1st Quintile,Single,0.24078,366,1422,0.21855,0.26301
1984,No migration background,1st Quintile,Divorced,0.05988,81,1422,0.04754,0.07222
1984,No migration background,1st Quintile,Widowed,0.20233,210,1422,0.18144,0.22321
1984,No migration background,2nd Quintile,Married,0.59197,1010,1588,0.56779,0.61615
1984,No migration background,2nd Quintile,Single,0.21346,350,1588,0.19330,0.23362
1984,No migration background,2nd Quintile,Divorced,0.04200,65,1588,0.03213,0.05186
1984,No migration background,2nd Quintile,Widowed,0.14462,163,1588,0.12732,0.16193
1984,No migration background,3rd Quintile,Married,0.62152,1126,1713,0.59854,0.64449
1984,No migration background,3rd Quintile,Single,0.23139,398,1713,0.21141,0.25136
1984,No migration background,3rd Quintile,Divorced,0.04024,66,1713,0.03093,0.04955
1984,No migration background,3rd Quintile,Widowed,0.09809,123,1713,0.08400,0.11218
1984,No migration background,4th Quintile,Married,0.61788,1203,1847,0.59572,0.64005
1984,No migration background,4th Quintile,Single,0.23992,449,1847,0.22044,0.25940
1984,No migration background,4th Quintile,Divorced,0.03766,66,1847,0.02898,0.04635
1984,No migration background,4th Quintile,Widowed,0.09376,129,1847,0.08046,0.10706
1984,No migration background,5th Quintile,Married,0.63700,1340,1986,0.61584,0.65815
1984,No migration background,5th Quintile,Single,0.22451,450,1986,0.20616,0.24287
1984,No migration background,5th Quintile,Divorced,0.04185,76,1986,0.03304,0.05066
1984,No migration background,5th Quintile,Widowed,0.08080,120,1986,0.06881,0.09279
1984,Direct migration background,1st Quintile,Married,0.67481,756,948,0.64498,0.70465
1984,Direct migration background,1st Quintile,Single,0.18102,192,948,0.15650,0.20554
1984,Direct migration background,2nd Quintile,Married,0.69106,575,704,0.65690,0.72521
1984,Direct migration background,2nd Quintile,Single,0.15665,129,704,0.12978,0.18352
1984,Direct migration background,3rd Quintile,Married,0.70759,461,556,0.66974,0.74543
1984,Direct migration background,3rd Quintile,Single,0.16346,95,556,0.13270,0.19423
1984,Direct migration background,4th Quintile,Married,0.66541,413,562,0.62636,0.70445
1984,Direct migration background,4th Quintile,"Married, living apart",0.07629,35,562,0.05432,0.09826
1984,Direct migration background,4th Quintile,Single,0.17658,114,562,0.14502,0.20813
1984,Direct migration background,5th Quintile,Married,0.69638,280,346,0.64786,0.74491
1984,Direct migration background,5th Quintile,Single,0.17875,66,346,0.13832,0.21918
1985,No migration background,1st Quintile,Married,0.44832,672,1289,0.42116,0.47548
1985,No migration background,1st Quintile,Single,0.26836,363,1289,0.24416,0.29256
1985,No migration background,1st Quintile,Divorced,0.07006,80,1289,0.05612,0.08400
1985,No migration background,1st Quintile,Widowed,0.19491,174,1289,0.17328,0.21655
1985,No migration background,2nd Quintile,Married,0.61131,967,1463,0.58633,0.63630
1985,No migration background,2nd Quintile,Single,0.19114,292,1463,0.17099,0.21130
1985,No migration background,2nd Quintile,Divorced,0.04837,66,1463,0.03737,0.05937
1985,No migration background,2nd Quintile,Widowed,0.14172,138,1463,0.12384,0.15959
1985,No migration background,3rd Quintile,Married,0.58362,1017,1610,0.55954,0.60771
1985,No migration background,3rd Quintile,Single,0.26153,419,1610,0.24005,0.28300
1985,No migration background,3rd Quintile,Divorced,0.03883,54,1610,0.02939,0.04827
1985,No migration background,3rd Quintile,Widowed,0.10720,120,1610,0.09208,0.12231
1985,No migration background,4th Quintile,Married,0.59306,1063,1689,0.56963,0.61650
1985,No migration background,4th Quintile,Single,0.26660,452,1689,0.24551,0.28770
1985,No migration background,4th Quintile,Divorced,0.03811,59,1689,0.02898,0.04724
1985,No migration background,4th Quintile,Widowed,0.09316,115,1689,0.07929,0.10702
1985,No migration background,5th Quintile,Married,0.63167,1235,1835,0.60960,0.65375
1985,No migration background,5th Quintile,Single,0.22627,417,1835,0.20712,0.24542
1985,No migration background,5th Quintile,Divorced,0.04652,73,1835,0.03688,0.05616
