year,quintil_oecd,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Married,0.38956,1525,2484,0.37038,0.40874
1984,1st Quintile,"Married, living apart",0.01329,47,2484,0.00879,0.01780
1984,1st Quintile,Single,0.18030,581,2484,0.16517,0.19542
1984,1st Quintile,Divorced,0.04512,104,2484,0.03695,0.05328
1984,1st Quintile,Widowed,0.13944,227,2484,0.12581,0.15306
1984,2nd Quintile,Married,0.47763,1596,2370,0.45752,0.49774
1984,2nd Quintile,Single,0.16574,499,2370,0.15077,0.18072
1984,2nd Quintile,Divorced,0.03426,89,2370,0.02693,0.04158
1984,2nd Quintile,Widowed,0.10772,186,2370,0.09523,0.12020
1984,3rd Quintile,Married,0.51296,1592,2354,0.49276,0.53315
1984,3rd Quintile,"Married, living apart",0.01082,41,2354,0.00664,0.01500
1984,3rd Quintile,Single,0.18474,508,2354,0.16906,0.20042
1984,3rd Quintile,Divorced,0.03208,75,2354,0.02496,0.03920
1984,3rd Quintile,Widowed,0.07689,138,2354,0.06612,0.08765
1984,4th Quintile,Married,0.53046,1622,2484,0.51083,0.55010
1984,4th Quintile,"Married, living apart",0.01340,52,2484,0.00887,0.01792
1984,4th Quintile,Single,0.20186,588,2484,0.18608,0.21765
1984,4th Quintile,Divorced,0.03179,76,2484,0.02489,0.03869
1984,4th Quintile,Widowed,0.07708,146,2484,0.06658,0.08757
1984,5th Quintile,Married,0.57334,1626,2418,0.55362,0.59305
1984,5th Quintile,"Married, living apart",0.01646,57,2418,0.01139,0.02153
1984,5th Quintile,Single,0.19852,521,2418,0.18261,0.21442
1984,5th Quintile,Divorced,0.03784,87,2418,0.03023,0.04544
1984,5th Quintile,Widowed,0.06973,127,2418,0.05958,0.07988
1985,1st Quintile,Married,0.37013,1362,2257,0.35021,0.39006
1985,1st Quintile,"Married, living apart",0.01502,41,2257,0.01000,0.02004
1985,1st Quintile,Single,0.20037,558,2257,0.18385,0.21689
1985,1st Quintile,Divorced,0.05366,104,2257,0.04436,0.06296
1985,1st Quintile,Widowed,0.13597,192,2257,0.12183,0.15012
1985,2nd Quintile,Married,0.49233,1474,2135,0.47112,0.51354
1985,2nd Quintile,Single,0.15380,429,2135,0.13850,0.16911
1985,2nd Quintile,Divorced,0.03643,77,2135,0.02848,0.04438
1985,2nd Quintile,Widowed,0.10671,155,2135,0.09361,0.11981
1985,3rd Quintile,Married,0.50097,1427,2207,0.48011,0.52184
1985,3rd Quintile,"Married, living apart",0.01079,34,2207,0.00648,0.01511
1985,3rd Quintile,Single,0.21501,548,2207,0.19786,0.23215
1985,3rd Quintile,Divorced,0.03113,69,2207,0.02388,0.03837
1985,3rd Quintile,Widowed,0.08509,129,2207,0.07345,0.09673
1985,4th Quintile,Married,0.51897,1414,2212,0.49814,0.53980
1985,4th Quintile,"Married, living apart",0.01250,41,2212,0.00786,0.01713
1985,4th Quintile,Single,0.22561,548,2212,0.20819,0.24303
1985,4th Quintile,Divorced,0.03518,77,2212,0.02750,0.04286
1985,4th Quintile,Widowed,0.07980,132,2212,0.06851,0.09110
1985,5th Quintile,Married,0.57531,1464,2182,0.55456,0.59605
1985,5th Quintile,"Married, living apart",0.01569,39,2182,0.01047,0.02090
1985,5th Quintile,Single,0.20124,480,2182,0.18441,0.21806
1985,5th Quintile,Divorced,0.04330,82,2182,0.03476,0.05184
1985,5th Quintile,Widowed,0.06955,117,2182,0.05887,0.08022
1986,1st Quintile,Married,0.37937,1236,2071,0.35846,0.40027
1986,1st Quintile,"Married, living apart",0.01881,51,2071,0.01296,0.02466
1986,1st Quintile,Single,0.19214,505,2071,0.17517,0.20911
1986,1st Quintile,Divorced,0.04803,94,2071,0.03882,0.05724
1986,1st Quintile,Widowed,0.14240,185,2071,0.12735,0.15745
1986,2nd Quintile,Married,0.49030,1426,2092,0.46887,0.51172
1986,2nd Quintile,"Married, living apart",0.00939,32,2092,0.00526,0.01353
1986,2nd Quintile,Single,0.15938,448,2092,0.14369,0.17507
1986,2nd Quintile,Divorced,0.02820,52,2092,0.02110,0.03529
1986,2nd Quintile,Widowed,0.10500,134,2092,0.09186,0.11814
1986,3rd Quintile,Married,0.48640,1320,2098,0.46501,0.50779
1986,3rd Quintile,"Married, living apart",0.01229,45,2098,0.00757,0.01700
1986,3rd Quintile,Single,0.20496,529,2098,0.18768,0.22224
1986,3rd Quintile,Divorced,0.03793,73,2098,0.02975,0.04610
1986,3rd Quintile,Widowed,0.08997,131,2098,0.07772,0.10222
1986,4th Quintile,Married,0.50997,1375,2218,0.48916,0.53078
1986,4th Quintile,"Married, living apart",0.01950,58,2218,0.01375,0.02526
1986,4th Quintile,Single,0.23464,584,2218,0.21700,0.25228
1986,4th Quintile,Divorced,0.04099,89,2218,0.03274,0.04924
1986,4th Quintile,Widowed,0.07211,112,2218,0.06134,0.08288
1986,5th Quintile,Married,0.56980,1382,2093,0.54858,0.59102
1986,5th Quintile,"Married, living apart",0.02002,47,2093,0.01402,0.02603
1986,5th Quintile,Single,0.21165,487,2093,0.19415,0.22916
1986,5th Quintile,Divorced,0.04221,82,2093,0.03359,0.05083
1986,5th Quintile,Widowed,0.06021,95,2093,0.05002,0.07041
1987,1st Quintile,Married,0.37939,1192,2035,0.35830,0.40047
1987,1st Quintile,"Married, living apart",0.01565,43,2035,0.01025,0.02104
1987,1st Quintile,Single,0.17648,489,2035,0.15992,0.19305
1987,1st Quintile,Divorced,0.06358,118,2035,0.05298,0.07419
1987,1st Quintile,Widowed,0.14895,193,2035,0.13347,0.16442
1987,2nd Quintile,Married,0.47817,1369,2035,0.45646,0.49988
1987,2nd Quintile,Single,0.16006,454,2035,0.14412,0.17599
1987,2nd Quintile,Divorced,0.03656,66,2035,0.02840,0.04471
