year,age_gr,regtyp,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No answer / don't know,Married,0.27373,1114,3430,0.25881,0.28865
1984,17-29 y.,No answer / don't know,"Married, living apart",0.01229,53,3430,0.00861,0.01598
1984,17-29 y.,No answer / don't know,Single,0.69758,2217,3430,0.68221,0.71295
1984,17-29 y.,No answer / don't know,Divorced,0.01544,46,3430,0.01132,0.01957
1984,30-45 y.,No answer / don't know,Married,0.79269,3271,3905,0.77997,0.80540
1984,30-45 y.,No answer / don't know,"Married, living apart",0.02380,95,3905,0.01902,0.02859
1984,30-45 y.,No answer / don't know,Single,0.10386,296,3905,0.09429,0.11343
1984,30-45 y.,No answer / don't know,Divorced,0.06436,194,3905,0.05666,0.07205
1984,30-45 y.,No answer / don't know,Widowed,0.01530,49,3905,0.01145,0.01915
1984,46-65 y.,No answer / don't know,Married,0.78949,2945,3555,0.77609,0.80289
1984,46-65 y.,No answer / don't know,"Married, living apart",0.01554,72,3555,0.01147,0.01960
1984,46-65 y.,No answer / don't know,Single,0.04482,124,3555,0.03802,0.05162
1984,46-65 y.,No answer / don't know,Divorced,0.05680,156,3555,0.04919,0.06441
1984,46-65 y.,No answer / don't know,Widowed,0.09336,258,3555,0.08379,0.10292
1984,66 and older,No answer / don't know,Married,0.43474,635,1260,0.40736,0.46213
1984,66 and older,No answer / don't know,Single,0.06285,70,1260,0.04945,0.07626
1984,66 and older,No answer / don't know,Divorced,0.03110,38,1260,0.02151,0.04069
1984,66 and older,No answer / don't know,Widowed,0.46596,517,1260,0.43841,0.49352
1985,17-29 y.,Urban regions,Married,0.25043,746,2465,0.23332,0.26753
1985,17-29 y.,Urban regions,Single,0.71921,1681,2465,0.70147,0.73696
1985,17-29 y.,Urban regions,Divorced,0.01913,38,2465,0.01372,0.02454
1985,17-29 y.,Rural regions,Married,0.24113,189,631,0.20773,0.27453
1985,17-29 y.,Rural regions,Single,0.73716,442,631,0.70279,0.77153
1985,30-45 y.,Urban regions,Married,0.76546,2285,2752,0.74963,0.78130
1985,30-45 y.,Urban regions,"Married, living apart",0.02232,60,2752,0.01680,0.02784
1985,30-45 y.,Urban regions,Single,0.12869,232,2752,0.11617,0.14120
1985,30-45 y.,Urban regions,Divorced,0.07007,143,2752,0.06053,0.07961
1985,30-45 y.,Urban regions,Widowed,0.01346,32,2752,0.00915,0.01777
1985,30-45 y.,Rural regions,Married,0.84738,627,702,0.82076,0.87400
1985,30-45 y.,Rural regions,Single,0.06159,37,702,0.04379,0.07938
1985,30-45 y.,Rural regions,Divorced,0.06850,38,702,0.04980,0.08720
1985,46-65 y.,Urban regions,Married,0.77285,2168,2616,0.75679,0.78891
1985,46-65 y.,Urban regions,"Married, living apart",0.01893,52,2616,0.01371,0.02416
1985,46-65 y.,Urban regions,Single,0.05037,93,2616,0.04199,0.05875
1985,46-65 y.,Urban regions,Divorced,0.06838,132,2616,0.05871,0.07806
1985,46-65 y.,Urban regions,Widowed,0.08946,171,2616,0.07852,0.10040
1985,46-65 y.,Rural regions,Married,0.80981,575,634,0.77924,0.84038
1985,46-65 y.,Rural regions,Widowed,0.09631,59,634,0.07333,0.11930
1985,66 and older,Urban regions,Married,0.41460,399,813,0.38071,0.44849
1985,66 and older,Urban regions,Single,0.05002,39,813,0.03503,0.06502
1985,66 and older,Urban regions,Divorced,0.04059,31,813,0.02702,0.05417
