year,quintil_oecd,regtyp,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,No answer / don't know,Married,0.50744,1525,2484,0.48777,0.52710
1984,1st Quintile,No answer / don't know,"Married, living apart",0.01731,47,2484,0.01218,0.02245
1984,1st Quintile,No answer / don't know,Single,0.23485,581,2484,0.21818,0.25152
1984,1st Quintile,No answer / don't know,Divorced,0.05877,104,2484,0.04952,0.06802
1984,1st Quintile,No answer / don't know,Widowed,0.18163,227,2484,0.16646,0.19679
1984,2nd Quintile,No answer / don't know,Married,0.60217,1596,2370,0.58246,0.62188
1984,2nd Quintile,No answer / don't know,Single,0.20896,499,2370,0.19259,0.22533
1984,2nd Quintile,No answer / don't know,Divorced,0.04319,89,2370,0.03500,0.05137
1984,2nd Quintile,No answer / don't know,Widowed,0.13580,186,2370,0.12201,0.14960
1984,3rd Quintile,No answer / don't know,Married,0.62748,1592,2354,0.60795,0.64702
1984,3rd Quintile,No answer / don't know,"Married, living apart",0.01324,41,2354,0.00862,0.01785
1984,3rd Quintile,No answer / don't know,Single,0.22599,508,2354,0.20909,0.24289
1984,3rd Quintile,No answer / don't know,Divorced,0.03924,75,2354,0.03140,0.04709
1984,3rd Quintile,No answer / don't know,Widowed,0.09405,138,2354,0.08226,0.10585
1984,4th Quintile,No answer / don't know,Married,0.62073,1622,2484,0.60164,0.63981
1984,4th Quintile,No answer / don't know,"Married, living apart",0.01567,52,2484,0.01079,0.02056
1984,4th Quintile,No answer / don't know,Single,0.23621,588,2484,0.21950,0.25292
1984,4th Quintile,No answer / don't know,Divorced,0.03720,76,2484,0.02975,0.04464
1984,4th Quintile,No answer / don't know,Widowed,0.09019,146,2484,0.07892,0.10146
1984,5th Quintile,No answer / don't know,Married,0.63997,1626,2418,0.62084,0.65911
1984,5th Quintile,No answer / don't know,"Married, living apart",0.01837,57,2418,0.01302,0.02373
1984,5th Quintile,No answer / don't know,Single,0.22159,521,2418,0.20503,0.23814
1984,5th Quintile,No answer / don't know,Divorced,0.04223,87,2418,0.03421,0.05025
1984,5th Quintile,No answer / don't know,Widowed,0.07783,127,2418,0.06715,0.08851
1985,1st Quintile,Urban regions,Married,0.46457,1041,1738,0.44112,0.48803
1985,1st Quintile,Urban regions,"Married, living apart",0.02031,34,1738,0.01368,0.02694
1985,1st Quintile,Urban regions,Single,0.26243,438,1738,0.24174,0.28312
1985,1st Quintile,Urban regions,Divorced,0.07188,81,1738,0.05973,0.08402
1985,1st Quintile,Urban regions,Widowed,0.18082,144,1738,0.16272,0.19892
1985,1st Quintile,Rural regions,Married,0.50923,321,489,0.46488,0.55359
1985,1st Quintile,Rural regions,Single,0.24882,120,489,0.21046,0.28717
1985,1st Quintile,Rural regions,Widowed,0.16215,48,489,0.12944,0.19485
1985,2nd Quintile,Urban regions,Married,0.60066,1124,1643,0.57697,0.62435
1985,2nd Quintile,Urban regions,Single,0.19226,333,1643,0.17320,0.21132
1985,2nd Quintile,Urban regions,Divorced,0.05122,63,1643,0.04056,0.06188
1985,2nd Quintile,Urban regions,Widowed,0.14654,123,1643,0.12943,0.16364
1985,2nd Quintile,Rural regions,Married,0.66448,350,478,0.62211,0.70686
1985,2nd Quintile,Rural regions,Single,0.19484,96,478,0.15930,0.23039
1985,2nd Quintile,Rural regions,Widowed,0.09886,32,478,0.07208,0.12565
