year,migback,pgisced97,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Pre-primary Level,Single,0.96969,158,158,0.94287,0.99651
1984,No migration background,Primary Level,Single,0.56147,43,43,0.41140,0.71154
1984,No migration background,Lower Secondary Level,Married,0.51011,1280,2316,0.48974,0.53047
1984,No migration background,Lower Secondary Level,Single,0.23692,590,2316,0.21960,0.25424
1984,No migration background,Lower Secondary Level,Divorced,0.03626,80,2316,0.02864,0.04387
1984,No migration background,Lower Secondary Level,Widowed,0.20591,366,2316,0.18944,0.22238
1984,No migration background,Upper Secondary Level,Married,0.63846,3114,4629,0.62462,0.65231
1984,No migration background,Upper Secondary Level,"Married, living apart",0.01161,51,4629,0.00852,0.01470
1984,No migration background,Upper Secondary Level,Single,0.20425,940,4629,0.19263,0.21586
1984,No migration background,Upper Secondary Level,Divorced,0.04965,215,4629,0.04339,0.05591
1984,No migration background,Upper Secondary Level,Widowed,0.09603,309,4629,0.08754,0.10451
1984,No migration background,Post-secondary Non-tertiary Level,Married,0.50858,101,171,0.43343,0.58373
1984,No migration background,Post-secondary Non-tertiary Level,Single,0.39002,70,171,0.31670,0.46334
1984,No migration background,First Stage of Tertiary Education,Married,0.69775,444,571,0.66005,0.73545
1984,No migration background,First Stage of Tertiary Education,Single,0.15639,89,571,0.12657,0.18621
1984,No migration background,First Stage of Tertiary Education,Widowed,0.08406,38,571,0.06128,0.10684
1984,No migration background,Second Stage of Tertiary Education,Married,0.68297,477,609,0.64599,0.71996
1984,No migration background,Second Stage of Tertiary Education,Single,0.20477,132,609,0.17269,0.23684
1984,Direct migration background,Primary Level,Married,0.77333,759,868,0.74546,0.80120
1984,Direct migration background,Primary Level,"Married, living apart",0.05458,36,868,0.03946,0.06970
1984,Direct migration background,Primary Level,Single,0.08694,73,868,0.06819,0.10569
1984,Direct migration background,Lower Secondary Level,Married,0.62756,735,1028,0.59799,0.65713
1984,Direct migration background,Lower Secondary Level,"Married, living apart",0.04882,35,1028,0.03564,0.06201
1984,Direct migration background,Lower Secondary Level,Single,0.17307,227,1028,0.14994,0.19621
1984,Direct migration background,Lower Secondary Level,Widowed,0.09528,31,1028,0.07732,0.11323
1984,Direct migration background,Upper Secondary Level,Married,0.70087,728,993,0.67237,0.72936
1984,Direct migration background,Upper Secondary Level,"Married, living apart",0.04443,43,993,0.03161,0.05726
1984,Direct migration background,Upper Secondary Level,Single,0.19004,222,993,0.16563,0.21446
1984,Direct migration background,Post-secondary Non-tertiary Level,Married,0.57917,93,93,0.47829,0.68006
1984,Direct migration background,First Stage of Tertiary Education,Married,0.62289,36,36,0.46232,0.78346
1984,Direct migration background,Second Stage of Tertiary Education,Married,0.75446,91,91,0.66554,0.84338
1984,Indirect migration background,Lower Secondary Level,Single,0.60727,39,39,0.45199,0.76254
1984,Indirect migration background,Upper Secondary Level,Single,0.48229,34,34,0.31180,0.65278
1985,No migration background,Primary Level,Single,0.63199,51,51,0.49832,0.76567
1985,No migration background,Lower Secondary Level,Married,0.49310,1128,2073,0.47157,0.51463
1985,No migration background,Lower Secondary Level,Single,0.25225,552,2073,0.23355,0.27095
1985,No migration background,Lower Secondary Level,Divorced,0.04065,76,2073,0.03214,0.04915
1985,No migration background,Lower Secondary Level,Widowed,0.20590,317,2073,0.18849,0.22332
1985,No migration background,Upper Secondary Level,Married,0.62713,2820,4220,0.61254,0.64173
1985,No migration background,Upper Secondary Level,"Married, living apart",0.01457,54,4220,0.01095,0.01818
1985,No migration background,Upper Secondary Level,Single,0.20834,878,4220,0.19608,0.22059
1985,No migration background,Upper Secondary Level,Divorced,0.05260,195,4220,0.04586,0.05933
1985,No migration background,Upper Secondary Level,Widowed,0.09723,273,4220,0.08829,0.10617
1985,No migration background,Post-secondary Non-tertiary Level,Married,0.50149,92,161,0.42401,0.57896
1985,No migration background,Post-secondary Non-tertiary Level,Single,0.39351,69,161,0.31781,0.46921
1985,No migration background,First Stage of Tertiary Education,Married,0.68218,419,537,0.64276,0.72160
1985,No migration background,First Stage of Tertiary Education,Single,0.16542,84,537,0.13396,0.19687
1985,No migration background,First Stage of Tertiary Education,Widowed,0.08266,34,537,0.05935,0.10597
1985,No migration background,Second Stage of Tertiary Education,Married,0.67764,462,591,0.63992,0.71535
1985,No migration background,Second Stage of Tertiary Education,Single,0.21395,129,591,0.18086,0.24704
1985,Direct migration background,Primary Level,Married,0.78609,635,679,0.75522,0.81696
1985,Direct migration background,Primary Level,Single,0.07412,44,679,0.05440,0.09384
1985,Direct migration background,Lower Secondary Level,Married,0.62467,634,863,0.59234,0.65699
1985,Direct migration background,Lower Secondary Level,Single,0.17138,197,863,0.14622,0.19654
1985,Direct migration background,Lower Secondary Level,Widowed,0.11142,32,863,0.09042,0.13243
1985,Direct migration background,Upper Secondary Level,Married,0.70920,648,879,0.67916,0.73923
1985,Direct migration background,Upper Secondary Level,"Married, living apart",0.03596,31,879,0.02364,0.04828
1985,Direct migration background,Upper Secondary Level,Single,0.19064,200,879,0.16466,0.21663
1985,Direct migration background,Post-secondary Non-tertiary Level,Married,0.60591,75,75,0.49458,0.71725
1985,Direct migration background,First Stage of Tertiary Education,Married,0.66942,35,35,0.51130,0.82755
1985,Direct migration background,Second Stage of Tertiary Education,Married,0.74106,83,83,0.64624,0.83587
1985,Indirect migration background,Lower Secondary Level,Single,0.69378,48,48,0.56201,0.82556
1985,Indirect migration background,Upper Secondary Level,Single,0.56763,37,37,0.40580,0.72946
