year,migback,regtyp,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Urban regions,Married,0.48808,3681,6006,0.47543,0.50072
1985,No migration background,Urban regions,"Married, living apart",0.01082,69,6006,0.00821,0.01344
1985,No migration background,Urban regions,Single,0.21338,1489,6006,0.20302,0.22374
1985,No migration background,Urban regions,Divorced,0.04481,273,6006,0.03958,0.05005
1985,No migration background,Urban regions,Widowed,0.10450,494,6006,0.09676,0.11223
1985,No migration background,Rural regions,Married,0.50745,1275,1953,0.48527,0.52963
1985,No migration background,Rural regions,Single,0.19104,456,1953,0.17360,0.20848
1985,No migration background,Rural regions,Divorced,0.02921,59,1953,0.02174,0.03668
1985,No migration background,Rural regions,Widowed,0.09623,163,1953,0.08314,0.10931
1985,Direct migration background,Urban regions,Married,0.62410,1893,2555,0.60531,0.64288
1985,Direct migration background,Urban regions,"Married, living apart",0.03390,75,2555,0.02688,0.04092
1985,Direct migration background,Urban regions,Single,0.15681,463,2555,0.14271,0.17092
1985,Direct migration background,Urban regions,Divorced,0.04052,67,2555,0.03287,0.04817
1985,Direct migration background,Urban regions,Widowed,0.05632,57,2555,0.04737,0.06526
1985,Direct migration background,Rural regions,Married,0.63915,266,318,0.58628,0.69202
1985,Direct migration background,Rural regions,Single,0.13710,52,318,0.09924,0.17497
1985,Indirect migration background,Urban regions,Single,0.08272,93,93,0.02643,0.13901
1986,No migration background,Urban regions,Married,0.48702,3496,5753,0.47410,0.49994
1986,No migration background,Urban regions,"Married, living apart",0.01588,99,5753,0.01265,0.01911
1986,No migration background,Urban regions,Single,0.21365,1460,5753,0.20306,0.22425
1986,No migration background,Urban regions,Divorced,0.04315,257,5753,0.03789,0.04840
1986,No migration background,Urban regions,Widowed,0.10229,441,5753,0.09446,0.11012
1986,No migration background,Rural regions,Married,0.49558,1170,1834,0.47269,0.51847
1986,No migration background,Rural regions,Single,0.19868,454,1834,0.18041,0.21695
1986,No migration background,Rural regions,Divorced,0.03425,60,1834,0.02592,0.04257
1986,No migration background,Rural regions,Widowed,0.09367,150,1834,0.08033,0.10701
1986,Direct migration background,Urban regions,Married,0.61890,1777,2462,0.59971,0.63808
1986,Direct migration background,Urban regions,"Married, living apart",0.04358,102,2462,0.03551,0.05165
