year,age_gr,migback,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Married,0.25791,675,2321,0.24011,0.27571
1984,17-29 y.,No migration background,Single,0.71501,1609,2321,0.69664,0.73338
1984,17-29 y.,No migration background,Divorced,0.01601,37,2321,0.01090,0.02112
1984,17-29 y.,Direct migration background,Married,0.43257,433,986,0.40163,0.46351
1984,17-29 y.,Direct migration background,"Married, living apart",0.03388,31,986,0.02258,0.04518
1984,17-29 y.,Direct migration background,Single,0.52153,522,986,0.49033,0.55272
1984,17-29 y.,Indirect migration background,Single,0.87813,86,86,0.80858,0.94767
1984,30-45 y.,No migration background,Married,0.78750,2019,2498,0.77145,0.80354
1984,30-45 y.,No migration background,"Married, living apart",0.01809,40,2498,0.01286,0.02331
1984,30-45 y.,No migration background,Single,0.11027,243,2498,0.09798,0.12256
1984,30-45 y.,No migration background,Divorced,0.06779,158,2498,0.05793,0.07766
1984,30-45 y.,No migration background,Widowed,0.01635,38,2498,0.01138,0.02132
1984,30-45 y.,Direct migration background,Married,0.82345,1235,1377,0.80330,0.84360
1984,30-45 y.,Direct migration background,"Married, living apart",0.06110,55,1377,0.04845,0.07376
1984,30-45 y.,Direct migration background,Single,0.06474,53,1377,0.05174,0.07774
1984,30-45 y.,Direct migration background,Divorced,0.04187,34,1377,0.03129,0.05245
1984,46-65 y.,No migration background,Married,0.79333,2132,2571,0.77767,0.80898
1984,46-65 y.,No migration background,Single,0.04587,103,2571,0.03778,0.05396
1984,46-65 y.,No migration background,Divorced,0.05601,127,2571,0.04712,0.06490
1984,46-65 y.,No migration background,Widowed,0.09373,209,2571,0.08246,0.10499
1984,46-65 y.,Direct migration background,Married,0.76702,805,899,0.73937,0.79467
1984,46-65 y.,Direct migration background,"Married, living apart",0.05202,46,899,0.03750,0.06655
1984,46-65 y.,Direct migration background,Widowed,0.08873,48,899,0.07013,0.10733
1984,66 and older,No migration background,Married,0.43754,620,1222,0.40972,0.46537
1984,66 and older,No migration background,Single,0.06245,68,1222,0.04887,0.07602
1984,66 and older,No migration background,Divorced,0.02928,34,1222,0.01983,0.03874
1984,66 and older,No migration background,Widowed,0.46526,500,1222,0.43729,0.49324
1985,17-29 y.,No migration background,Married,0.23357,578,2180,0.21581,0.25134
1985,17-29 y.,No migration background,Single,0.73796,1569,2180,0.71949,0.75642
1985,17-29 y.,No migration background,Divorced,0.01653,33,2180,0.01118,0.02189
1985,17-29 y.,Direct migration background,Married,0.41687,350,800,0.38268,0.45106
1985,17-29 y.,Direct migration background,Single,0.55272,450,800,0.51824,0.58719
1985,17-29 y.,Indirect migration background,Single,0.89894,104,104,0.84073,0.95715
1985,30-45 y.,No migration background,Married,0.77872,1852,2249,0.76156,0.79588
1985,30-45 y.,No migration background,Single,0.12061,221,2249,0.10715,0.13408
1985,30-45 y.,No migration background,Divorced,0.07220,144,2249,0.06150,0.08290
1985,30-45 y.,No migration background,Widowed,0.01428,32,2249,0.00938,0.01919
1985,30-45 y.,Direct migration background,Married,0.82352,1047,1172,0.80168,0.84535
1985,30-45 y.,Direct migration background,"Married, living apart",0.05179,42,1172,0.03909,0.06448
1985,30-45 y.,Direct migration background,Single,0.06576,48,1172,0.05156,0.07995
1985,30-45 y.,Direct migration background,Divorced,0.05299,35,1172,0.04016,0.06582
1985,46-65 y.,No migration background,Married,0.78264,1989,2430,0.76624,0.79904
1985,46-65 y.,No migration background,"Married, living apart",0.01526,32,2430,0.01038,0.02013
1985,46-65 y.,No migration background,Single,0.05004,98,2430,0.04137,0.05872
1985,46-65 y.,No migration background,Divorced,0.06074,121,2430,0.05124,0.07024
1985,46-65 y.,No migration background,Widowed,0.09131,190,2430,0.07986,0.10277
1985,46-65 y.,Direct migration background,Married,0.78736,747,820,0.75934,0.81538
1985,46-65 y.,Direct migration background,"Married, living apart",0.04595,34,820,0.03161,0.06029
1985,46-65 y.,Direct migration background,Widowed,0.08787,39,820,0.06848,0.10726
1985,66 and older,No migration background,Married,0.43417,537,1059,0.40430,0.46404
1985,66 and older,No migration background,Single,0.05828,57,1059,0.04417,0.07240
1985,66 and older,No migration background,Divorced,0.03579,34,1059,0.02460,0.04699
1985,66 and older,No migration background,Widowed,0.46462,431,1059,0.43457,0.49467
1986,17-29 y.,No migration background,Married,0.23246,538,2083,0.21431,0.25060
1986,17-29 y.,No migration background,Single,0.74217,1545,2083,0.72338,0.76096
1986,17-29 y.,Direct migration background,Married,0.39733,301,761,0.36254,0.43212
1986,17-29 y.,Direct migration background,Single,0.56719,460,761,0.53197,0.60242
1986,17-29 y.,Indirect migration background,Single,0.93546,116,116,0.89055,0.98037
1986,30-45 y.,No migration background,Married,0.76093,1704,2123,0.74279,0.77908
1986,30-45 y.,No migration background,"Married, living apart",0.02634,53,2123,0.01953,0.03316
1986,30-45 y.,No migration background,Single,0.12990,228,2123,0.11559,0.14420
1986,30-45 y.,No migration background,Divorced,0.07085,138,2123,0.05993,0.08177
1986,30-45 y.,Direct migration background,Married,0.80877,964,1093,0.78544,0.83210
1986,30-45 y.,Direct migration background,"Married, living apart",0.06544,50,1093,0.05077,0.08010
1986,30-45 y.,Direct migration background,Single,0.06769,48,1093,0.05279,0.08259
1986,30-45 y.,Direct migration background,Divorced,0.05015,31,1093,0.03720,0.06309
1986,46-65 y.,No migration background,Married,0.78232,1927,2313,0.76550,0.79914
1986,46-65 y.,No migration background,Single,0.04903,89,2313,0.04022,0.05783
1986,46-65 y.,No migration background,Divorced,0.06585,124,2313,0.05574,0.07596
1986,46-65 y.,No migration background,Widowed,0.08804,173,2313,0.07649,0.09959
1986,46-65 y.,Direct migration background,Married,0.79047,759,830,0.76277,0.81818
1986,46-65 y.,Direct migration background,"Married, living apart",0.04946,40,830,0.03470,0.06422
1986,46-65 y.,Direct migration background,Widowed,0.08066,31,830,0.06212,0.09919
1986,66 and older,No migration background,Married,0.43354,497,941,0.40186,0.46522
1986,66 and older,No migration background,Single,0.05948,52,941,0.04436,0.07460
1986,66 and older,No migration background,Widowed,0.46322,392,941,0.43134,0.49510
1987,17-29 y.,No migration background,Married,0.23897,518,2026,0.22040,0.25754
1987,17-29 y.,No migration background,Single,0.73387,1508,2026,0.71462,0.75312
1987,17-29 y.,Direct migration background,Married,0.42190,300,784,0.38731,0.45650
1987,17-29 y.,Direct migration background,"Married, living apart",0.02728,31,784,0.01587,0.03869
1987,17-29 y.,Direct migration background,Single,0.53693,453,784,0.50201,0.57186
1987,17-29 y.,Indirect migration background,Single,0.88739,126,126,0.83197,0.94281
1987,30-45 y.,No migration background,Married,0.75350,1653,2075,0.73495,0.77204
1987,30-45 y.,No migration background,"Married, living apart",0.02063,43,2075,0.01451,0.02674
