year,bula_h,sex,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,male,Married,0.63291,122,172,0.56066,0.70516
1984,Schleswig-Holstein,male,Single,0.26484,50,172,0.19871,0.33098
1984,Schleswig-Holstein,female,Married,0.55719,122,154,0.47848,0.63590
1984,Schleswig-Holstein,female,Single,0.14667,32,154,0.09061,0.20273
1984,Hamburg,male,Married,0.55129,90,129,0.46512,0.63745
1984,Hamburg,male,Single,0.26268,39,129,0.18644,0.33892
1984,Hamburg,female,Married,0.46653,90,90,0.36288,0.57018
1984,Lower Saxony,male,Married,0.67397,401,561,0.63515,0.71280
1984,Lower Saxony,male,Single,0.25825,160,561,0.22200,0.29450
1984,Lower Saxony,female,Married,0.57352,403,600,0.53392,0.61313
1984,Lower Saxony,female,Single,0.20051,123,600,0.16845,0.23257
1984,Lower Saxony,female,Widowed,0.17013,74,600,0.14004,0.20022
1984,Bremen,male,Married,0.60809,42,42,0.45866,0.75753
1984,Bremen,female,Married,0.51301,43,43,0.36184,0.66417
1984,North Rhine-Westphalia,male,Married,0.64063,1064,1603,0.61714,0.66413
1984,North Rhine-Westphalia,male,"Married, living apart",0.01506,35,1603,0.00909,0.02102
1984,North Rhine-Westphalia,male,Single,0.26694,423,1603,0.24527,0.28860
1984,North Rhine-Westphalia,male,Divorced,0.03993,49,1603,0.03035,0.04952
1984,North Rhine-Westphalia,male,Widowed,0.03744,32,1603,0.02815,0.04674
1984,North Rhine-Westphalia,female,Married,0.55431,1062,1623,0.53012,0.57850
1984,North Rhine-Westphalia,female,Single,0.19626,316,1623,0.17693,0.21559
1984,North Rhine-Westphalia,female,Divorced,0.05268,72,1623,0.04181,0.06355
1984,North Rhine-Westphalia,female,Widowed,0.17911,173,1623,0.16045,0.19777
1984,Hesse,male,Married,0.63313,418,574,0.59366,0.67259
1984,Hesse,male,Single,0.26268,156,574,0.22665,0.29872
1984,Hesse,female,Married,0.60407,416,589,0.56454,0.64360
1984,Hesse,female,Single,0.19694,122,589,0.16479,0.22908
1984,Hesse,female,Widowed,0.14960,51,589,0.12077,0.17843
1984,"Rhineland-Palatinate, Saarland",male,Married,0.64293,276,382,0.59482,0.69104
1984,"Rhineland-Palatinate, Saarland",male,Single,0.25515,106,382,0.21137,0.29892
1984,"Rhineland-Palatinate, Saarland",female,Married,0.57630,276,415,0.52870,0.62390
1984,"Rhineland-Palatinate, Saarland",female,Single,0.17154,74,415,0.13523,0.20786
1984,"Rhineland-Palatinate, Saarland",female,Widowed,0.20791,65,415,0.16882,0.24700
1984,Baden-Wuerttemberg,male,Married,0.65207,751,1081,0.62366,0.68047
1984,Baden-Wuerttemberg,male,"Married, living apart",0.02658,38,1081,0.01698,0.03617
1984,Baden-Wuerttemberg,male,Single,0.26946,292,1081,0.24300,0.29592
1984,Baden-Wuerttemberg,female,Married,0.55512,753,1117,0.52596,0.58428
1984,Baden-Wuerttemberg,female,Single,0.19226,196,1117,0.16914,0.21538
1984,Baden-Wuerttemberg,female,Divorced,0.05364,48,1117,0.04042,0.06686
1984,Baden-Wuerttemberg,female,Widowed,0.18335,120,1117,0.16065,0.20605
1984,Bavaria,male,Married,0.68398,703,939,0.65423,0.71373
1984,Bavaria,male,Single,0.24986,236,939,0.22215,0.27757
1984,Bavaria,female,Married,0.57104,703,1091,0.54166,0.60042
1984,Bavaria,female,Single,0.20796,233,1091,0.18387,0.23206
1984,Bavaria,female,Divorced,0.04743,42,1091,0.03481,0.06005
1984,Bavaria,female,Widowed,0.16267,113,1091,0.14076,0.18458
1984,Berlin,male,Married,0.54128,116,169,0.46593,0.61663
1984,Berlin,male,Single,0.27734,53,169,0.20964,0.34504
1984,Berlin,female,Married,0.43706,114,158,0.35947,0.51465
1984,Berlin,female,Single,0.20014,44,158,0.13755,0.26273
1985,Schleswig-Holstein,male,Married,0.63099,111,157,0.55527,0.70672
1985,Schleswig-Holstein,male,Single,0.27808,46,157,0.20777,0.34839
1985,Schleswig-Holstein,female,Married,0.53464,109,140,0.45172,0.61756
1985,Schleswig-Holstein,female,Single,0.15231,31,140,0.09257,0.21204
1985,Hamburg,male,Married,0.48312,80,116,0.39179,0.57445
1985,Hamburg,male,Single,0.29718,36,116,0.21365,0.38071
1985,Hamburg,female,Married,0.45987,78,78,0.34855,0.57119
1985,Lower Saxony,male,Married,0.64057,352,506,0.59872,0.68242
1985,Lower Saxony,male,Single,0.28803,154,506,0.24854,0.32753
1985,Lower Saxony,female,Married,0.55303,354,537,0.51094,0.59512
1985,Lower Saxony,female,Single,0.22609,122,537,0.19067,0.26150
1985,Lower Saxony,female,Widowed,0.16076,61,537,0.12966,0.19186
1985,Bremen,male,Married,0.63352,37,37,0.47612,0.79093
1985,Bremen,female,Married,0.42714,35,35,0.26086,0.59341
1985,North Rhine-Westphalia,male,Married,0.62772,958,1413,0.60250,0.65293
1985,North Rhine-Westphalia,male,Single,0.27986,408,1413,0.25645,0.30328
1985,North Rhine-Westphalia,male,Divorced,0.04299,47,1413,0.03241,0.05357
1985,North Rhine-Westphalia,female,Married,0.54731,959,1477,0.52192,0.57271
1985,North Rhine-Westphalia,female,Single,0.20698,297,1477,0.18631,0.22765
1985,North Rhine-Westphalia,female,Divorced,0.05542,68,1477,0.04374,0.06709
1985,North Rhine-Westphalia,female,Widowed,0.17487,153,1477,0.15549,0.19425
1985,Hesse,male,Married,0.63239,379,527,0.59118,0.67359
1985,Hesse,male,Single,0.26787,148,527,0.23002,0.30571
1985,Hesse,female,Married,0.59758,379,533,0.55591,0.63926
1985,Hesse,female,Single,0.17961,104,533,0.14699,0.21223
1985,Hesse,female,Widowed,0.16927,50,533,0.13740,0.20113
1985,"Rhineland-Palatinate, Saarland",male,Married,0.63385,250,353,0.58352,0.68418
1985,"Rhineland-Palatinate, Saarland",male,Single,0.25609,103,353,0.21049,0.30169
1985,"Rhineland-Palatinate, Saarland",female,Married,0.57713,246,372,0.52686,0.62740
1985,"Rhineland-Palatinate, Saarland",female,Single,0.16467,69,372,0.12693,0.20241
1985,"Rhineland-Palatinate, Saarland",female,Widowed,0.21015,57,372,0.16869,0.25161
1985,Baden-Wuerttemberg,male,Married,0.63408,670,954,0.60350,0.66466
1985,Baden-Wuerttemberg,male,Single,0.29251,284,954,0.26363,0.32139
1985,Baden-Wuerttemberg,female,Married,0.53181,670,1010,0.50102,0.56260
1985,Baden-Wuerttemberg,female,Single,0.21240,194,1010,0.18716,0.23763
1985,Baden-Wuerttemberg,female,Divorced,0.06157,45,1010,0.04674,0.07640
1985,Baden-Wuerttemberg,female,Widowed,0.17672,101,1010,0.15318,0.20025
1985,Bavaria,male,Married,0.67442,635,857,0.64303,0.70581
1985,Bavaria,male,Single,0.25879,222,857,0.22945,0.28813
1985,Bavaria,female,Married,0.55743,634,986,0.52641,0.58845
1985,Bavaria,female,Single,0.22049,214,986,0.19460,0.24638
1985,Bavaria,female,Divorced,0.05032,38,986,0.03666,0.06397
1985,Bavaria,female,Widowed,0.16270,100,986,0.13965,0.18575
1985,Berlin,male,Married,0.51458,106,154,0.43538,0.59377
1985,Berlin,male,Single,0.28860,48,154,0.21680,0.36039
1985,Berlin,female,Married,0.40427,101,140,0.32269,0.48586
1985,Berlin,female,Single,0.19994,39,140,0.13345,0.26644
1986,Schleswig-Holstein,male,Married,0.60671,101,146,0.52720,0.68622
1986,Schleswig-Holstein,male,Single,0.29097,45,146,0.21704,0.36490
1986,Schleswig-Holstein,female,Married,0.55830,100,132,0.47326,0.64334
1986,Schleswig-Holstein,female,Single,0.17000,32,132,0.10568,0.23433
1986,Hamburg,male,Married,0.48138,71,105,0.38535,0.57741
1986,Hamburg,male,Single,0.28566,34,105,0.19884,0.37248
1986,Hamburg,female,Married,0.43125,71,71,0.31523,0.54727
1986,Lower Saxony,male,Married,0.63530,342,507,0.59336,0.67724
1986,Lower Saxony,male,Single,0.29611,165,507,0.25633,0.33589
1986,Lower Saxony,female,Married,0.54591,344,537,0.50376,0.58806
1986,Lower Saxony,female,Single,0.24041,135,537,0.20423,0.27658
1986,Lower Saxony,female,Widowed,0.15370,58,537,0.12316,0.18423
1986,Bremen,male,Married,0.64839,34,34,0.48548,0.81130
1986,Bremen,female,Married,0.38543,32,32,0.21410,0.55676
