year,bula_h,pgisced97,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Lower Secondary Level,Married,0.52850,48,48,0.38578,0.67121
1984,Schleswig-Holstein,Upper Secondary Level,Married,0.62504,148,194,0.55674,0.69334
1984,Schleswig-Holstein,Upper Secondary Level,Single,0.20495,46,194,0.14800,0.26190
1984,Hamburg,Lower Secondary Level,Married,0.43951,35,35,0.27268,0.60634
1984,Hamburg,Upper Secondary Level,Married,0.53525,90,122,0.44638,0.62412
1984,Hamburg,Upper Secondary Level,Single,0.20020,32,122,0.12890,0.27149
1984,Lower Saxony,Primary Level,Married,0.52354,46,46,0.37761,0.66947
1984,Lower Saxony,Lower Secondary Level,Married,0.49496,195,350,0.44250,0.54741
1984,Lower Saxony,Lower Secondary Level,Single,0.25967,103,350,0.21367,0.30567
1984,Lower Saxony,Lower Secondary Level,Widowed,0.20096,52,350,0.15892,0.24300
1984,Lower Saxony,Upper Secondary Level,Married,0.71611,431,538,0.67798,0.75425
1984,Lower Saxony,Upper Secondary Level,Single,0.17754,107,538,0.14522,0.20986
1984,Lower Saxony,First Stage of Tertiary Education,Married,0.66077,55,55,0.53450,0.78705
1984,Lower Saxony,Second Stage of Tertiary Education,Married,0.77694,64,64,0.67414,0.87974
1984,Bremen,Upper Secondary Level,Married,0.63126,51,51,0.49752,0.76499
1984,North Rhine-Westphalia,Pre-primary Level,Single,0.96227,61,61,0.91405,1.01048
1984,North Rhine-Westphalia,Primary Level,Married,0.67539,250,285,0.62093,0.72984
1984,North Rhine-Westphalia,Primary Level,Single,0.21711,35,285,0.16916,0.26506
1984,North Rhine-Westphalia,Lower Secondary Level,Married,0.51886,511,852,0.48529,0.55243
1984,North Rhine-Westphalia,Lower Secondary Level,Single,0.24332,225,852,0.21449,0.27215
1984,North Rhine-Westphalia,Lower Secondary Level,Divorced,0.04390,33,852,0.03013,0.05766
1984,North Rhine-Westphalia,Lower Secondary Level,Widowed,0.17901,83,852,0.15325,0.20477
1984,North Rhine-Westphalia,Upper Secondary Level,Married,0.63003,1016,1498,0.60558,0.65449
1984,North Rhine-Westphalia,Upper Secondary Level,Single,0.18922,309,1498,0.16938,0.20907
1984,North Rhine-Westphalia,Upper Secondary Level,Divorced,0.05390,70,1498,0.04246,0.06534
1984,North Rhine-Westphalia,Upper Secondary Level,Widowed,0.10931,103,1498,0.09351,0.12512
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Married,0.56708,59,59,0.43956,0.69460
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Married,0.69128,114,146,0.61608,0.76647
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Single,0.22321,32,146,0.15543,0.29098
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Married,0.65663,154,204,0.59131,0.72195
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Single,0.23823,50,204,0.17963,0.29683
1984,Hesse,Primary Level,Married,0.45726,78,78,0.34598,0.56853
