year,bula_h,regtyp,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,Married,0.48045,102,144,0.39856,0.56233
1985,Schleswig-Holstein,Urban regions,Single,0.21917,42,144,0.15136,0.28697
1985,Schleswig-Holstein,Rural regions,Married,0.47733,118,153,0.39792,0.55674
1985,Schleswig-Holstein,Rural regions,Single,0.13870,35,153,0.08375,0.19364
1985,Hamburg,Urban regions,Married,0.41577,152,249,0.35443,0.47711
1985,Hamburg,Urban regions,Single,0.24110,64,249,0.18786,0.29434
1985,Hamburg,Urban regions,Divorced,0.12168,33,249,0.08099,0.16237
1985,Lower Saxony,Urban regions,Married,0.52032,332,465,0.47486,0.56578
1985,Lower Saxony,Urban regions,Single,0.22727,133,465,0.18914,0.26540
1985,Lower Saxony,Rural regions,Married,0.48792,374,566,0.44670,0.52914
1985,Lower Saxony,Rural regions,Single,0.20652,143,566,0.17314,0.23990
1985,Lower Saxony,Rural regions,Widowed,0.10218,49,566,0.07720,0.12715
1985,Bremen,Urban regions,Married,0.47499,72,72,0.35883,0.59115
1985,North Rhine-Westphalia,Urban regions,Married,0.48268,1866,2888,0.46445,0.50091
1985,North Rhine-Westphalia,Urban regions,"Married, living apart",0.01218,45,2888,0.00818,0.01618
1985,North Rhine-Westphalia,Urban regions,Single,0.19910,688,2888,0.18453,0.21366
1985,North Rhine-Westphalia,Urban regions,Divorced,0.04134,113,2888,0.03408,0.04861
1985,North Rhine-Westphalia,Urban regions,Widowed,0.09222,176,2888,0.08167,0.10277
1985,North Rhine-Westphalia,Rural regions,Married,0.53781,51,51,0.39962,0.67601
1985,Hesse,Urban regions,Married,0.53193,660,927,0.49979,0.56407
1985,Hesse,Urban regions,Single,0.18955,214,927,0.16430,0.21479
1985,Hesse,Urban regions,Widowed,0.08925,53,927,0.07088,0.10761
1985,Hesse,Rural regions,Married,0.51041,98,136,0.42609,0.59474
1985,Hesse,Rural regions,Single,0.20641,38,136,0.13814,0.27468
1985,"Rhineland-Palatinate, Saarland",Urban regions,Married,0.51250,404,602,0.47254,0.55246
1985,"Rhineland-Palatinate, Saarland",Urban regions,Single,0.18190,142,602,0.15106,0.21274
1985,"Rhineland-Palatinate, Saarland",Urban regions,Widowed,0.11763,56,602,0.09188,0.14339
1985,"Rhineland-Palatinate, Saarland",Rural regions,Married,0.53954,92,92,0.43713,0.64195
1985,Baden-Wuerttemberg,Urban regions,Married,0.46350,1138,1745,0.44010,0.48691
1985,Baden-Wuerttemberg,Urban regions,"Married, living apart",0.01663,38,1745,0.01063,0.02264
1985,Baden-Wuerttemberg,Urban regions,Single,0.20806,413,1745,0.18901,0.22711
1985,Baden-Wuerttemberg,Urban regions,Divorced,0.03668,53,1745,0.02786,0.04550
1985,Baden-Wuerttemberg,Urban regions,Widowed,0.09720,103,1745,0.08330,0.11110
1985,Baden-Wuerttemberg,Rural regions,Married,0.52470,202,267,0.46469,0.58472
1985,Baden-Wuerttemberg,Rural regions,Single,0.18223,65,267,0.13584,0.22862
1985,Bavaria,Urban regions,Married,0.51325,665,997,0.48221,0.54429
1985,Bavaria,Urban regions,Single,0.21451,243,997,0.18902,0.24001
1985,Bavaria,Urban regions,Divorced,0.04310,35,997,0.03049,0.05572
1985,Bavaria,Urban regions,Widowed,0.08140,54,997,0.06442,0.09839
1985,Bavaria,Rural regions,Married,0.50943,604,860,0.47600,0.54287
1985,Bavaria,Rural regions,Single,0.18447,193,860,0.15853,0.21041
1985,Bavaria,Rural regions,Widowed,0.08751,63,860,0.06862,0.10641
1985,Berlin,Urban regions,Married,0.38688,207,329,0.33417,0.43959
1985,Berlin,Urban regions,Single,0.20453,87,329,0.16088,0.24819
1985,Berlin,Urban regions,Widowed,0.15067,35,329,0.11196,0.18939
