year,regtyp,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Married,0.60026,7965,12161,0.59155,0.60897
1984,No answer / don't know,"Married, living apart",0.01516,227,12161,0.01299,0.01733
1984,No answer / don't know,Single,0.22613,2707,12161,0.21869,0.23356
1984,No answer / don't know,Divorced,0.04405,434,12161,0.04041,0.04770
1984,No answer / don't know,Widowed,0.11440,828,12161,0.10874,0.12005
1985,Urban regions,Married,0.57724,5598,8684,0.56685,0.58763
1985,Urban regions,"Married, living apart",0.01522,145,8684,0.01265,0.01780
1985,Urban regions,Single,0.24151,2045,8684,0.23250,0.25051
1985,Urban regions,Divorced,0.05157,344,8684,0.04692,0.05622
1985,Urban regions,Widowed,0.11446,552,8684,0.10777,0.12116
1985,Rural regions,Married,0.61307,1545,2341,0.59334,0.63281
1985,Rural regions,"Married, living apart",0.01356,36,2341,0.00887,0.01825
1985,Rural regions,Single,0.22651,521,2341,0.20955,0.24347
1985,Rural regions,Divorced,0.03541,66,2341,0.02793,0.04290
1985,Rural regions,Widowed,0.11144,173,2341,0.09869,0.12420
1986,Urban regions,Married,0.57503,5296,8348,0.56443,0.58564
1986,Urban regions,"Married, living apart",0.02163,202,8348,0.01851,0.02475
1986,Urban regions,Single,0.24104,2030,8348,0.23187,0.25022
1986,Urban regions,Divorced,0.04931,323,8348,0.04466,0.05395
1986,Urban regions,Widowed,0.11299,497,8348,0.10620,0.11979
1986,Rural regions,Married,0.60222,1443,2230,0.58190,0.62254
1986,Rural regions,"Married, living apart",0.01113,31,2230,0.00677,0.01548
1986,Rural regions,Single,0.23611,528,2230,0.21848,0.25374
1986,Rural regions,Divorced,0.04096,68,2230,0.03273,0.04919
1986,Rural regions,Widowed,0.10959,160,2230,0.09662,0.12256
1987,Urban regions,Married,0.57509,5199,8245,0.56442,0.58576
1987,Urban regions,"Married, living apart",0.01911,189,8245,0.01615,0.02206
1987,Urban regions,Single,0.23672,2000,8245,0.22754,0.24590
1987,Urban regions,Divorced,0.05451,348,8245,0.04961,0.05941
1987,Urban regions,Widowed,0.11457,509,8245,0.10770,0.12145
1987,Rural regions,Married,0.61376,1428,2207,0.59344,0.63408
1987,Rural regions,"Married, living apart",0.01225,35,2207,0.00766,0.01684
1987,Rural regions,Single,0.22618,521,2207,0.20872,0.24364
1987,Rural regions,Divorced,0.04027,66,2207,0.03207,0.04847
1987,Rural regions,Widowed,0.10754,157,2207,0.09461,0.12046
1988,Urban regions,Married,0.57089,4980,7903,0.55998,0.58181
1988,Urban regions,"Married, living apart",0.02397,204,7903,0.02060,0.02734
1988,Urban regions,Single,0.23764,1900,7903,0.22826,0.24703
1988,Urban regions,Divorced,0.05577,332,7903,0.05071,0.06082
1988,Urban regions,Widowed,0.11173,487,7903,0.10478,0.11867
1988,Rural regions,Married,0.61347,1338,2065,0.59247,0.63448
1988,Rural regions,"Married, living apart",0.01546,40,2065,0.01014,0.02078
1988,Rural regions,Single,0.22854,487,2065,0.21043,0.24666
1988,Rural regions,Divorced,0.03698,55,2065,0.02884,0.04513
