year,pgisced97,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,Single,0.96435,187,187,0.93770,0.99099
1984,Primary Level,Married,0.59049,782,971,0.55955,0.62144
1984,Primary Level,"Married, living apart",0.03610,36,971,0.02436,0.04784
1984,Primary Level,Single,0.24747,118,971,0.22031,0.27463
1984,Primary Level,Widowed,0.07014,35,971,0.05406,0.08621
1984,Lower Secondary Level,Married,0.52051,2027,3447,0.50383,0.53719
1984,Lower Secondary Level,"Married, living apart",0.01341,57,3447,0.00957,0.01725
1984,Lower Secondary Level,Single,0.23225,856,3447,0.21815,0.24635
1984,Lower Secondary Level,Divorced,0.03791,109,3447,0.03154,0.04429
1984,Lower Secondary Level,Widowed,0.19467,398,3447,0.18145,0.20789
1984,Upper Secondary Level,Married,0.64198,3858,5706,0.62954,0.65442
1984,Upper Secondary Level,"Married, living apart",0.01385,94,5706,0.01081,0.01688
1984,Upper Secondary Level,Single,0.20413,1196,5706,0.19367,0.21459
1984,Upper Secondary Level,Divorced,0.04853,234,5706,0.04295,0.05410
1984,Upper Secondary Level,Widowed,0.09152,324,5706,0.08404,0.09900
1984,Post-secondary Non-tertiary Level,Married,0.51916,194,285,0.46105,0.57727
1984,Post-secondary Non-tertiary Level,Single,0.37724,91,285,0.32087,0.43362
1984,First Stage of Tertiary Education,Married,0.69248,482,622,0.65619,0.72878
1984,First Stage of Tertiary Education,Single,0.16278,100,622,0.13375,0.19182
1984,First Stage of Tertiary Education,Widowed,0.08251,40,622,0.06087,0.10415
1984,Second Stage of Tertiary Education,Married,0.68551,568,719,0.65154,0.71947
1984,Second Stage of Tertiary Education,Single,0.19548,151,719,0.16648,0.22449
1985,Pre-primary Level,Single,0.99798,187,187,0.99152,1.00443
1985,Primary Level,Married,0.56036,660,758,0.52500,0.59572
1985,Primary Level,Single,0.29754,98,758,0.26497,0.33011
1985,Lower Secondary Level,Married,0.50432,1770,3061,0.48660,0.52203
1985,Lower Secondary Level,"Married, living apart",0.01090,40,3061,0.00722,0.01458
1985,Lower Secondary Level,Single,0.24654,797,3061,0.23127,0.26181
1985,Lower Secondary Level,Divorced,0.04239,104,3061,0.03525,0.04953
1985,Lower Secondary Level,Widowed,0.19580,350,3061,0.18174,0.20986
1985,Upper Secondary Level,Married,0.63164,3484,5180,0.61851,0.64478
1985,Upper Secondary Level,"Married, living apart",0.01602,85,5180,0.01260,0.01944
1985,Upper Secondary Level,Single,0.20858,1115,5180,0.19751,0.21964
1985,Upper Secondary Level,Divorced,0.05114,211,5180,0.04514,0.05714
1985,Upper Secondary Level,Widowed,0.09247,285,5180,0.08458,0.10036
1985,Post-secondary Non-tertiary Level,Married,0.51572,167,254,0.45414,0.57730
1985,Post-secondary Non-tertiary Level,Single,0.37898,87,254,0.31920,0.43876
1985,First Stage of Tertiary Education,Married,0.68077,456,614,0.64386,0.71767
1985,First Stage of Tertiary Education,Single,0.16640,91,614,0.13692,0.19588
1985,First Stage of Tertiary Education,Divorced,0.06052,31,614,0.04164,0.07940
1985,First Stage of Tertiary Education,Widowed,0.08170,36,614,0.06002,0.10339
1985,Second Stage of Tertiary Education,Married,0.67815,545,691,0.64329,0.71301
1985,Second Stage of Tertiary Education,Single,0.20500,146,691,0.17488,0.23512
1986,Primary Level,Married,0.55046,598,735,0.51448,0.58645
1986,Primary Level,"Married, living apart",0.03728,31,735,0.02357,0.05099
1986,Primary Level,Single,0.29767,106,735,0.26459,0.33075
1986,Lower Secondary Level,Married,0.50693,1658,2904,0.48874,0.52512
1986,Lower Secondary Level,"Married, living apart",0.01265,49,2904,0.00858,0.01671
1986,Lower Secondary Level,Single,0.24796,794,2904,0.23225,0.26367
1986,Lower Secondary Level,Divorced,0.03925,92,2904,0.03218,0.04631
1986,Lower Secondary Level,Widowed,0.19204,311,2904,0.17771,0.20636
1986,Upper Secondary Level,Married,0.61628,3290,4992,0.60279,0.62977
1986,Upper Secondary Level,"Married, living apart",0.02048,110,4992,0.01655,0.02441
1986,Upper Secondary Level,Single,0.21600,1112,4992,0.20458,0.22742
1986,Upper Secondary Level,Divorced,0.05280,211,4992,0.04660,0.05901
1986,Upper Secondary Level,Widowed,0.09436,269,4992,0.08625,0.10247
1986,Post-secondary Non-tertiary Level,Married,0.51950,162,252,0.45769,0.58131
1986,Post-secondary Non-tertiary Level,Single,0.38519,90,252,0.32498,0.44539
1986,First Stage of Tertiary Education,Married,0.69120,430,546,0.65241,0.72999
1986,First Stage of Tertiary Education,Single,0.15716,85,546,0.12660,0.18772
1986,First Stage of Tertiary Education,Widowed,0.07926,31,546,0.05658,0.10194
1986,Second Stage of Tertiary Education,Married,0.67139,541,681,0.63608,0.70669
1986,Second Stage of Tertiary Education,Single,0.20723,140,681,0.17676,0.23769
1987,Pre-primary Level,Single,0.99771,190,190,0.99090,1.00452
1987,Primary Level,Married,0.60571,583,705,0.56961,0.64181
1987,Primary Level,"Married, living apart",0.04959,33,705,0.03355,0.06562
1987,Primary Level,Single,0.23397,89,705,0.20269,0.26524
