year,sampreg,sex,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,Married,0.52569,3983,5951,0.51301,0.53838
1984,West,male,"Married, living apart",0.01434,142,5951,0.01132,0.01736
1984,West,male,Single,0.21299,1531,5951,0.20259,0.22340
1984,West,male,Divorced,0.02689,153,5951,0.02278,0.03100
1984,West,male,Widowed,0.03256,142,5951,0.02805,0.03707
1984,West,female,Married,0.46864,3982,6210,0.45622,0.48105
1984,West,female,"Married, living apart",0.01087,85,6210,0.00829,0.01345
1984,West,female,Single,0.16287,1176,6210,0.15368,0.17205
1984,West,female,Divorced,0.04509,281,6210,0.03992,0.05025
1984,West,female,Widowed,0.15115,686,6210,0.14224,0.16006
1985,West,male,Married,0.52292,3578,5414,0.50961,0.53622
1985,West,male,"Married, living apart",0.01380,110,5414,0.01069,0.01690
1985,West,male,Single,0.22848,1462,5414,0.21729,0.23966
1985,West,male,Divorced,0.02957,144,5414,0.02506,0.03408
1985,West,male,Widowed,0.03254,120,5414,0.02782,0.03727
1985,West,female,Married,0.46261,3565,5611,0.44956,0.47566
1985,West,female,"Married, living apart",0.01118,71,5611,0.00842,0.01393
1985,West,female,Single,0.17300,1104,5611,0.16310,0.18290
1985,West,female,Divorced,0.04941,266,5611,0.04374,0.05508
1985,West,female,Widowed,0.15266,605,5611,0.14325,0.16207
1986,West,male,Married,0.51838,3370,5228,0.50483,0.53193
1986,West,male,"Married, living apart",0.01712,139,5228,0.01360,0.02063
1986,West,male,Single,0.23088,1468,5228,0.21945,0.24230
1986,West,male,Divorced,0.03139,146,5228,0.02666,0.03612
1986,West,male,Widowed,0.03065,105,5228,0.02598,0.03533
1986,West,female,Married,0.45804,3369,5350,0.44468,0.47139
1986,West,female,"Married, living apart",0.01496,94,5350,0.01171,0.01822
1986,West,female,Single,0.17328,1090,5350,0.16314,0.18342
1986,West,female,Divorced,0.04711,245,5350,0.04144,0.05279
1986,West,female,Widowed,0.15181,552,5350,0.14219,0.16143
1987,West,male,Married,0.51752,3315,5172,0.50390,0.53114
1987,West,male,"Married, living apart",0.01602,137,5172,0.01260,0.01945
1987,West,male,Single,0.22528,1459,5172,0.21390,0.23667
1987,West,male,Divorced,0.03294,151,5172,0.02807,0.03780
1987,West,male,Widowed,0.03169,110,5172,0.02692,0.03647
1987,West,female,Married,0.46064,3312,5280,0.44719,0.47408
1987,West,female,"Married, living apart",0.01328,87,5280,0.01019,0.01637
1987,West,female,Single,0.16821,1062,5280,0.15812,0.17830
1987,West,female,Divorced,0.05169,263,5280,0.04572,0.05766
1987,West,female,Widowed,0.15199,556,5280,0.14231,0.16168
1988,West,male,Married,0.51108,3156,4929,0.49712,0.52504
1988,West,male,"Married, living apart",0.01975,144,4929,0.01587,0.02364
1988,West,male,Single,0.22995,1377,4929,0.21820,0.24170
1988,West,male,Divorced,0.03258,141,4929,0.02762,0.03754
1988,West,male,Widowed,0.03158,111,4929,0.02670,0.03646
1988,West,female,Married,0.46081,3162,5039,0.44704,0.47457
1988,West,female,"Married, living apart",0.01705,100,5039,0.01347,0.02062
1988,West,female,Single,0.16569,1010,5039,0.15543,0.17596
