year,sampreg,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Married,0.49589,7965,12161,0.48700,0.50478
1984,West,"Married, living apart",0.01253,227,12161,0.01055,0.01450
1984,West,Single,0.18681,2707,12161,0.17988,0.19374
1984,West,Divorced,0.03639,434,12161,0.03307,0.03972
1984,West,Widowed,0.09451,828,12161,0.08931,0.09971
1985,West,Married,0.49137,7143,11025,0.48204,0.50070
1985,West,"Married, living apart",0.01243,181,11025,0.01036,0.01449
1985,West,Single,0.19946,2566,11025,0.19200,0.20692
1985,West,Divorced,0.03995,410,11025,0.03629,0.04360
1985,West,Widowed,0.09537,725,11025,0.08989,0.10085
1986,West,Married,0.48687,6739,10578,0.47735,0.49640
1986,West,"Married, living apart",0.01599,233,10578,0.01360,0.01838
1986,West,Single,0.20080,2558,10578,0.19317,0.20844
1986,West,Divorced,0.03960,391,10578,0.03588,0.04332
1986,West,Widowed,0.09391,657,10578,0.08835,0.09947
1987,West,Married,0.48792,6627,10452,0.47834,0.49751
1987,West,"Married, living apart",0.01460,224,10452,0.01230,0.01690
1987,West,Single,0.19559,2521,10452,0.18799,0.20320
1987,West,Divorced,0.04269,414,10452,0.03882,0.04657
1987,West,Widowed,0.09428,666,10452,0.08868,0.09989
1988,West,Married,0.48503,6318,9968,0.47522,0.49484
1988,West,"Married, living apart",0.01835,244,9968,0.01571,0.02098
1988,West,Single,0.19665,2387,9968,0.18885,0.20445
1988,West,Divorced,0.04289,387,9968,0.03891,0.04686
1988,West,Widowed,0.09208,632,9968,0.08640,0.09775
1989,West,Married,0.48185,6059,9659,0.47188,0.49181
1989,West,"Married, living apart",0.01857,223,9659,0.01588,0.02126
1989,West,Single,0.19748,2348,9659,0.18954,0.20542
1989,West,Divorced,0.04641,406,9659,0.04222,0.05061
1989,West,Widowed,0.09212,623,9659,0.08635,0.09789
1990,West,Married,0.47902,5955,9460,0.46896,0.48909
1990,West,"Married, living apart",0.01635,206,9460,0.01380,0.01891
1990,West,Single,0.19918,2278,9460,0.19113,0.20723
1990,West,Divorced,0.05092,416,9460,0.04649,0.05535
1990,West,Widowed,0.08809,605,9460,0.08238,0.09380
1990,East,Married,0.49013,3057,4394,0.47535,0.50492
1990,East,Single,0.14989,783,4394,0.13934,0.16045
1990,East,Divorced,0.06143,282,4394,0.05433,0.06853
1990,East,Widowed,0.07422,272,4394,0.06646,0.08197
1991,West,Married,0.47514,5943,9444,0.46507,0.48521
1991,West,"Married, living apart",0.01896,220,9444,0.01621,0.02171
1991,West,Single,0.19269,2255,9444,0.18473,0.20064
1991,West,Divorced,0.05151,433,9444,0.04705,0.05596
1991,West,Widowed,0.08948,593,9444,0.08372,0.09523
1991,East,Married,0.50545,2881,4125,0.49019,0.52071
1991,East,Single,0.15692,750,4125,0.14582,0.16802
1991,East,Divorced,0.06316,247,4125,0.05573,0.07058
1991,East,Widowed,0.07968,247,4125,0.07141,0.08794
1992,West,Married,0.47959,5910,9339,0.46946,0.48973
1992,West,"Married, living apart",0.01815,211,9339,0.01544,0.02085
1992,West,Single,0.18787,2193,9339,0.17995,0.19580
1992,West,Divorced,0.05222,442,9339,0.04771,0.05674
1992,West,Widowed,0.08870,583,9339,0.08293,0.09446
1992,East,Married,0.50135,2695,3953,0.48576,0.51694
1992,East,Single,0.16965,788,3953,0.15794,0.18135
1992,East,Divorced,0.05973,228,3953,0.05234,0.06712
1992,East,Widowed,0.07882,242,3953,0.07042,0.08722
1993,West,Married,0.47873,5845,9272,0.46856,0.48890
1993,West,"Married, living apart",0.01981,227,9272,0.01697,0.02265
1993,West,Single,0.18614,2180,9272,0.17822,0.19407
1993,West,Divorced,0.05350,438,9272,0.04892,0.05808
1993,West,Widowed,0.08783,582,9272,0.08206,0.09359
1993,East,Married,0.49794,2537,3829,0.48210,0.51378
1993,East,"Married, living apart",0.00835,46,3829,0.00547,0.01123
1993,East,Single,0.16774,785,3829,0.15590,0.17957
1993,East,Divorced,0.05967,221,3829,0.05217,0.06718
1993,East,Widowed,0.07934,240,3829,0.07078,0.08791
1994,West,Married,0.47781,5730,9098,0.46755,0.48808
1994,West,"Married, living apart",0.01990,217,9098,0.01703,0.02277
1994,West,Single,0.18347,2131,9098,0.17552,0.19142
1994,West,Divorced,0.05461,448,9098,0.04994,0.05928
1994,West,Widowed,0.08758,572,9098,0.08177,0.09339
1994,East,Married,0.49976,2466,3775,0.48381,0.51571
1994,East,"Married, living apart",0.01130,56,3775,0.00793,0.01467
1994,East,Single,0.16763,800,3775,0.15571,0.17955
1994,East,Divorced,0.06002,218,3775,0.05244,0.06759
1994,East,Widowed,0.07954,235,3775,0.07091,0.08818
1995,West,Married,0.47743,6080,9591,0.46744,0.48743
1995,West,"Married, living apart",0.01718,209,9591,0.01458,0.01978
1995,West,Single,0.18234,2230,9591,0.17461,0.19007
1995,West,Divorced,0.05664,492,9591,0.05202,0.06127
1995,West,Widowed,0.08707,580,9591,0.08142,0.09271
1995,East,Married,0.49696,2365,3693,0.48083,0.51309
1995,East,"Married, living apart",0.00880,43,3693,0.00579,0.01182
1995,East,Single,0.17017,815,3693,0.15804,0.18229
1995,East,Divorced,0.06796,238,3693,0.05984,0.07608
1995,East,Widowed,0.08083,232,3693,0.07204,0.08962
1996,West,Married,0.47386,5876,9364,0.46375,0.48398
1996,West,"Married, living apart",0.01967,233,9364,0.01685,0.02248
1996,West,Single,0.18536,2216,9364,0.17749,0.19323
1996,West,Divorced,0.05665,478,9364,0.05197,0.06133
1996,West,Widowed,0.08585,561,9364,0.08018,0.09152
1996,East,Married,0.49338,2323,3684,0.47723,0.50952
1996,East,"Married, living apart",0.01156,54,3684,0.00810,0.01501
1996,East,Single,0.17878,847,3684,0.16640,0.19115
1996,East,Divorced,0.06248,224,3684,0.05466,0.07029
1996,East,Widowed,0.08274,236,3684,0.07384,0.09163
1997,West,Married,0.46909,5737,9194,0.45889,0.47929
1997,West,"Married, living apart",0.02284,245,9194,0.01979,0.02590
1997,West,Single,0.18464,2172,9194,0.17671,0.19257
1997,West,Divorced,0.05962,490,9194,0.05478,0.06446
1997,West,Widowed,0.08494,550,9194,0.07924,0.09064
1997,East,Married,0.48620,2237,3634,0.46995,0.50245
1997,East,"Married, living apart",0.01522,63,3634,0.01124,0.01920
1997,East,Single,0.19027,876,3634,0.17750,0.20303
1997,East,Divorced,0.06538,229,3634,0.05735,0.07342
1997,East,Widowed,0.07974,229,3634,0.07093,0.08855
1998,West,Married,0.47182,6422,10372,0.46221,0.48143
1998,West,"Married, living apart",0.02250,264,10372,0.01964,0.02535
1998,West,Single,0.18719,2452,10372,0.17969,0.19470
1998,West,Divorced,0.05937,590,10372,0.05483,0.06392
1998,West,Widowed,0.08242,644,10372,0.07713,0.08772
1998,East,Married,0.48685,2366,3865,0.47109,0.50261
1998,East,"Married, living apart",0.01599,66,3865,0.01204,0.01995
1998,East,Single,0.19069,943,3865,0.17830,0.20307
1998,East,Divorced,0.06626,252,3865,0.05841,0.07410
1998,East,Widowed,0.07807,238,3865,0.06961,0.08653
1999,West,Married,0.46788,6071,9891,0.45805,0.47771
1999,West,"Married, living apart",0.02154,250,9891,0.01868,0.02440
1999,West,Single,0.18980,2370,9891,0.18208,0.19753
1999,West,Divorced,0.06354,605,9891,0.05874,0.06835
1999,West,Widowed,0.08112,595,9891,0.07574,0.08650
1999,East,Married,0.47089,2249,3783,0.45498,0.48680
1999,East,"Married, living apart",0.01766,69,3783,0.01346,0.02186
1999,East,Single,0.20097,960,3783,0.18820,0.21374
1999,East,Divorced,0.07383,263,3783,0.06550,0.08217
1999,East,Widowed,0.08256,242,3783,0.07378,0.09133
2000,West,Married,0.48196,11551,18257,0.47471,0.48921
2000,West,"Married, living apart",0.01858,393,18257,0.01662,0.02054
2000,West,Single,0.18968,4079,18257,0.18399,0.19537
2000,West,Divorced,0.05624,1048,18257,0.05289,0.05958
2000,West,Widowed,0.07631,1186,18257,0.07246,0.08016
2000,East,Married,0.46669,3424,5848,0.45390,0.47948
2000,East,"Married, living apart",0.01526,108,5848,0.01212,0.01841
2000,East,Single,0.20173,1462,5848,0.19144,0.21202
2000,East,Divorced,0.07988,452,5848,0.07293,0.08683
2000,East,Widowed,0.08467,402,5848,0.07753,0.09180
2001,West,Married,0.47387,10325,16486,0.46624,0.48149
2001,West,"Married, living apart",0.01952,374,16486,0.01741,0.02163
2001,West,Single,0.19379,3726,16486,0.18775,0.19982
2001,West,Divorced,0.06057,1000,16486,0.05693,0.06421
2001,West,Widowed,0.07493,1061,16486,0.07091,0.07895
2001,East,Married,0.46393,3166,5435,0.45067,0.47719
2001,East,"Married, living apart",0.01628,101,5435,0.01291,0.01964
2001,East,Single,0.21058,1389,5435,0.19974,0.22142
2001,East,Divorced,0.08122,411,5435,0.07396,0.08849
2001,East,Widowed,0.08564,368,5435,0.07820,0.09308
2002,West,Married,0.47332,11162,17597,0.46594,0.48069
2002,West,"Married, living apart",0.01887,371,17597,0.01686,0.02088
2002,West,Single,0.19428,3951,17597,0.18843,0.20012
2002,West,Divorced,0.06302,1075,17597,0.05943,0.06661
2002,West,Widowed,0.07433,1038,17597,0.07046,0.07821
2002,East,Married,0.45259,3129,5429,0.43935,0.46584
2002,East,"Married, living apart",0.01735,107,5429,0.01388,0.02082
2002,East,Single,0.22551,1414,5429,0.21439,0.23663
2002,East,Divorced,0.08437,411,5429,0.07697,0.09176
2002,East,Widowed,0.08447,368,5429,0.07707,0.09187
2003,West,Married,0.46627,10481,16822,0.45873,0.47381
2003,West,"Married, living apart",0.01986,394,16822,0.01775,0.02197
2003,West,Single,0.19897,3869,16822,0.19294,0.20501
2003,West,Divorced,0.06553,1058,16822,0.06180,0.06927
2003,West,Widowed,0.07455,1020,16822,0.07058,0.07852
2003,East,Married,0.44586,3017,5344,0.43253,0.45919
2003,East,"Married, living apart",0.01943,111,5344,0.01573,0.02314
2003,East,Single,0.23340,1445,5344,0.22206,0.24475
2003,East,Divorced,0.08443,406,5344,0.07697,0.09188
2003,East,Widowed,0.08449,365,5344,0.07703,0.09195
2004,West,Married,0.46180,10103,16389,0.45417,0.46943
2004,West,"Married, living apart",0.02032,376,16389,0.01816,0.02248
2004,West,Single,0.20535,3860,16389,0.19916,0.21153
2004,West,Divorced,0.06816,1063,16389,0.06430,0.07202
2004,West,Widowed,0.07330,987,16389,0.06931,0.07729
2004,East,Married,0.43641,2912,5223,0.42296,0.44986
2004,East,"Married, living apart",0.02242,109,5223,0.01841,0.02644
2004,East,Single,0.24498,1447,5223,0.23331,0.25664
2004,East,Divorced,0.08706,406,5223,0.07941,0.09470
2004,East,Widowed,0.08231,349,5223,0.07485,0.08976
2005,West,Married,0.45571,9509,15661,0.44790,0.46351
2005,West,"Married, living apart",0.02169,381,15661,0.01941,0.02397
2005,West,Single,0.21732,3764,15661,0.21086,0.22378
2005,West,Divorced,0.06957,1041,15661,0.06559,0.07356
2005,West,Widowed,0.07044,966,15661,0.06643,0.07445
2005,East,Married,0.42965,2790,5037,0.41598,0.44332
2005,East,"Married, living apart",0.01815,96,5037,0.01447,0.02184
2005,East,Single,0.25605,1403,5037,0.24400,0.26811
2005,East,Divorced,0.09089,403,5037,0.08295,0.09883
2005,East,Widowed,0.07880,345,5037,0.07136,0.08625
2006,West,Married,0.45102,10265,16901,0.44352,0.45853
2006,West,"Married, living apart",0.02288,414,16901,0.02062,0.02513
2006,West,Single,0.21715,3960,16901,0.21094,0.22337
2006,West,Divorced,0.07151,1168,16901,0.06762,0.07539
2006,West,Widowed,0.07239,1094,16901,0.06848,0.07629
2006,East,Married,0.42890,2969,5366,0.41565,0.44214
2006,East,"Married, living apart",0.01769,94,5366,0.01416,0.02122
2006,East,Single,0.26154,1472,5366,0.24978,0.27330
2006,East,Divorced,0.09401,453,5366,0.08620,0.10182
2006,East,Widowed,0.07895,378,5366,0.07173,0.08616
2007,West,Married,0.44984,9500,15760,0.44208,0.45761
2007,West,"Married, living apart",0.02240,391,15760,0.02009,0.02471
2007,West,Single,0.22247,3741,15760,0.21597,0.22896
2007,West,Divorced,0.07351,1124,15760,0.06943,0.07758
2007,West,Widowed,0.07055,1004,15760,0.06655,0.07455
2007,East,Married,0.42837,2790,5089,0.41477,0.44196
2007,East,"Married, living apart",0.01714,79,5089,0.01357,0.02070
2007,East,Single,0.27491,1433,5089,0.26265,0.28718
2007,East,Divorced,0.09447,440,5089,0.08643,0.10250
2007,East,Widowed,0.07404,347,5089,0.06684,0.08123
2008,West,Married,0.44550,8848,14763,0.43748,0.45352
2008,West,"Married, living apart",0.02225,373,14763,0.01987,0.02463
2008,West,Single,0.22995,3507,14763,0.22316,0.23674
2008,West,Divorced,0.07409,1056,14763,0.06986,0.07831
2008,West,Widowed,0.07251,979,14763,0.06832,0.07669
2008,East,Married,0.42518,2655,4808,0.41121,0.43916
2008,East,"Married, living apart",0.01323,63,4808,0.01000,0.01647
2008,East,Single,0.27606,1327,4808,0.26342,0.28870
2008,East,Divorced,0.09676,432,4808,0.08840,0.10512
2008,East,Widowed,0.07199,331,4808,0.06468,0.07930
2009,West,Married,0.44185,8079,13683,0.43353,0.45017
2009,West,"Married, living apart",0.02274,352,13683,0.02024,0.02523
2009,West,Single,0.23791,3308,13683,0.23078,0.24505
2009,West,Divorced,0.07379,1015,13683,0.06941,0.07817
2009,West,Widowed,0.07256,929,13683,0.06821,0.07690
2009,East,Married,0.42720,2550,4570,0.41286,0.44155
2009,East,"Married, living apart",0.01355,61,4570,0.01020,0.01691
2009,East,Single,0.26988,1221,4570,0.25700,0.28275
2009,East,Divorced,0.09324,413,4570,0.08481,0.10167
2009,East,Widowed,0.07087,325,4570,0.06343,0.07831
2010,West,Married,0.43968,11573,18800,0.43258,0.44678
2010,West,"Married, living apart",0.02293,509,18800,0.02079,0.02507
2010,West,Single,0.23759,4252,18800,0.23151,0.24368
2010,West,Divorced,0.07554,1539,18800,0.07176,0.07931
2010,West,Widowed,0.07109,927,18800,0.06741,0.07476
2010,East,Married,0.43452,3032,5505,0.42143,0.44762
2010,East,"Married, living apart",0.01446,91,5505,0.01130,0.01761
2010,East,Single,0.26563,1573,5505,0.25396,0.27730
2010,East,Divorced,0.09572,498,5505,0.08795,0.10349
2010,East,Widowed,0.07206,311,5505,0.06523,0.07889
2011,West,Married,0.43822,13615,22508,0.43174,0.44470
2011,West,"Married, living apart",0.02154,620,22508,0.01964,0.02344
2011,West,Single,0.23905,5127,22508,0.23347,0.24462
2011,West,Divorced,0.07549,1974,22508,0.07204,0.07894
2011,West,Widowed,0.06936,1172,22508,0.06604,0.07268
2011,East,Married,0.42542,3489,6383,0.41329,0.43755
2011,East,"Married, living apart",0.01430,122,6383,0.01139,0.01722
2011,East,Single,0.26617,1768,6383,0.25533,0.27701
2011,East,Divorced,0.09670,619,6383,0.08945,0.10395
2011,East,Widowed,0.07081,385,6383,0.06452,0.07710
2012,West,Married,0.44528,13090,21912,0.43870,0.45186
2012,West,"Married, living apart",0.02113,604,21912,0.01922,0.02303
2012,West,Single,0.23653,5057,21912,0.23090,0.24215
2012,West,Divorced,0.07759,2014,21912,0.07405,0.08113
2012,West,Widowed,0.06509,1147,21912,0.06182,0.06835
2012,East,Married,0.43141,3460,6243,0.41912,0.44370
2012,East,"Married, living apart",0.01509,119,6243,0.01206,0.01811
2012,East,Single,0.26144,1679,6243,0.25054,0.27234
2012,East,Divorced,0.09050,595,6243,0.08338,0.09762
2012,East,Widowed,0.07177,390,6243,0.06537,0.07817
2013,West,Married,0.43917,14734,24964,0.43301,0.44533
2013,West,"Married, living apart",0.02162,693,24964,0.01982,0.02343
2013,West,Single,0.24093,6176,24964,0.23563,0.24624
2013,West,Divorced,0.07911,2221,24964,0.07576,0.08246
2013,West,Widowed,0.06569,1140,24964,0.06261,0.06876
2013,East,Married,0.43970,3457,6201,0.42734,0.45205
2013,East,"Married, living apart",0.01729,141,6201,0.01405,0.02054
2013,East,Single,0.25377,1648,6201,0.24293,0.26460
2013,East,Divorced,0.08956,567,6201,0.08245,0.09667
2013,East,Widowed,0.07423,388,6201,0.06770,0.08076
2014,West,Married,0.43611,12874,21977,0.42956,0.44267
2014,West,"Married, living apart",0.02320,592,21977,0.02121,0.02519
2014,West,Single,0.24388,5482,21977,0.23820,0.24956
2014,West,Divorced,0.08101,1958,21977,0.07740,0.08462
2014,West,Widowed,0.06595,1071,21977,0.06267,0.06924
2014,East,Married,0.42902,3164,5667,0.41613,0.44191
2014,East,"Married, living apart",0.01855,122,5667,0.01504,0.02207
2014,East,Single,0.25327,1498,5667,0.24195,0.26460
2014,East,Divorced,0.08798,507,5667,0.08060,0.09535
2014,East,Widowed,0.07530,376,5667,0.06842,0.08217
2015,West,Married,0.43001,12651,21740,0.42343,0.43659
2015,West,"Married, living apart",0.02209,568,21740,0.02014,0.02404
2015,West,Single,0.24828,5577,21740,0.24254,0.25403
2015,West,Divorced,0.08512,1936,21740,0.08141,0.08883
2015,West,Widowed,0.06448,1008,21740,0.06121,0.06774
2015,East,Married,0.41223,3012,5477,0.39919,0.42527
2015,East,"Married, living apart",0.01945,126,5477,0.01580,0.02311
2015,East,Single,0.26057,1468,5477,0.24894,0.27220
2015,East,Divorced,0.09001,490,5477,0.08243,0.09759
2015,East,Widowed,0.08083,381,5477,0.07361,0.08805
2016,West,Married,0.43004,13051,22275,0.42354,0.43655
2016,West,"Married, living apart",0.02140,684,22275,0.01950,0.02330
2016,West,Single,0.25015,5716,22275,0.24446,0.25583
2016,West,Divorced,0.08395,1825,22275,0.08031,0.08759
2016,West,Widowed,0.06429,999,22275,0.06107,0.06751
2016,East,Married,0.39356,3094,5668,0.38084,0.40628
2016,East,"Married, living apart",0.02331,192,5668,0.01938,0.02724
2016,East,Single,0.27068,1507,5668,0.25911,0.28225
2016,East,Divorced,0.09594,497,5668,0.08827,0.10361
2016,East,Widowed,0.07589,378,5668,0.06900,0.08279
2017,West,Married,0.42942,14497,24964,0.42328,0.43556
2017,West,"Married, living apart",0.02214,783,24964,0.02032,0.02397
2017,West,Single,0.24752,6639,24964,0.24217,0.25287
2017,West,Divorced,0.08508,1985,24964,0.08162,0.08854
2017,West,Widowed,0.06403,1060,24964,0.06099,0.06706
2017,East,Married,0.38050,3416,6276,0.36849,0.39251
2017,East,"Married, living apart",0.02167,174,6276,0.01806,0.02527
