year,bula_h,quintil_oecd,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,1st Quintile,Married,0.44863,40,40,0.29253,0.60472
1984,Schleswig-Holstein,2nd Quintile,Married,0.49446,52,52,0.35724,0.63168
1984,Schleswig-Holstein,3rd Quintile,Married,0.50126,40,40,0.34433,0.65818
1984,Schleswig-Holstein,4th Quintile,Married,0.46837,55,55,0.33528,0.60147
1984,Schleswig-Holstein,5th Quintile,Married,0.51466,57,57,0.38375,0.64556
1984,Hamburg,3rd Quintile,Married,0.56708,36,36,0.40293,0.73123
1984,Hamburg,4th Quintile,Married,0.38884,38,38,0.23176,0.54592
1984,Hamburg,5th Quintile,Married,0.57058,50,50,0.43198,0.70918
1984,Lower Saxony,1st Quintile,Married,0.38969,166,250,0.32911,0.45026
1984,Lower Saxony,1st Quintile,Single,0.20052,84,250,0.15079,0.25025
1984,Lower Saxony,2nd Quintile,Married,0.51286,160,207,0.44460,0.58112
1984,Lower Saxony,2nd Quintile,Single,0.17338,47,207,0.12168,0.22508
1984,Lower Saxony,3rd Quintile,Married,0.54448,156,214,0.47760,0.61137
1984,Lower Saxony,3rd Quintile,Single,0.21662,58,214,0.16130,0.27194
1984,Lower Saxony,4th Quintile,Married,0.56463,169,213,0.49789,0.63137
1984,Lower Saxony,4th Quintile,Single,0.15213,44,213,0.10378,0.20047
1984,Lower Saxony,5th Quintile,Married,0.58701,153,201,0.51877,0.65525
1984,Lower Saxony,5th Quintile,Single,0.18877,48,201,0.13453,0.24300
1984,North Rhine-Westphalia,1st Quintile,Married,0.36455,476,760,0.33031,0.39880
1984,North Rhine-Westphalia,1st Quintile,Single,0.19519,188,760,0.16700,0.22339
1984,North Rhine-Westphalia,1st Quintile,Divorced,0.04771,34,760,0.03254,0.06287
1984,North Rhine-Westphalia,1st Quintile,Widowed,0.12226,62,760,0.09895,0.14557
1984,North Rhine-Westphalia,2nd Quintile,Married,0.47571,418,604,0.43585,0.51557
1984,North Rhine-Westphalia,2nd Quintile,Single,0.16697,140,604,0.13720,0.19673
1984,North Rhine-Westphalia,2nd Quintile,Widowed,0.10842,46,604,0.08360,0.13323
1984,North Rhine-Westphalia,3rd Quintile,Married,0.53348,404,557,0.49201,0.57495
1984,North Rhine-Westphalia,3rd Quintile,Single,0.17030,121,557,0.13905,0.20154
1984,North Rhine-Westphalia,3rd Quintile,Widowed,0.08041,32,557,0.05781,0.10301
1984,North Rhine-Westphalia,4th Quintile,Married,0.53488,423,619,0.49556,0.57421
1984,North Rhine-Westphalia,4th Quintile,Single,0.20931,164,619,0.17723,0.24138
1984,North Rhine-Westphalia,4th Quintile,Widowed,0.07019,32,619,0.05004,0.09033
1984,North Rhine-Westphalia,5th Quintile,Married,0.54726,405,591,0.50709,0.58742
1984,North Rhine-Westphalia,5th Quintile,Single,0.19162,124,591,0.15986,0.22337
1984,North Rhine-Westphalia,5th Quintile,Divorced,0.05189,31,591,0.03399,0.06979
1984,North Rhine-Westphalia,5th Quintile,Widowed,0.06806,31,591,0.04774,0.08838
1984,Hesse,1st Quintile,Married,0.39363,162,228,0.33007,0.45719
1984,Hesse,1st Quintile,Single,0.20626,66,228,0.15362,0.25890
1984,Hesse,2nd Quintile,Married,0.55903,162,203,0.49056,0.62750
1984,Hesse,2nd Quintile,Single,0.10994,41,203,0.06680,0.15308
1984,Hesse,3rd Quintile,Married,0.50160,136,184,0.42916,0.57405
1984,Hesse,3rd Quintile,Single,0.22194,48,184,0.16173,0.28215
1984,Hesse,4th Quintile,Married,0.51282,159,214,0.44569,0.57994
1984,Hesse,4th Quintile,Single,0.22127,55,214,0.16552,0.27702
1984,Hesse,5th Quintile,Married,0.62302,215,282,0.56636,0.67969
1984,Hesse,5th Quintile,Single,0.20448,67,282,0.15732,0.25164
1984,"Rhineland-Palatinate, Saarland",1st Quintile,Married,0.49040,118,118,0.39982,0.58098
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,Married,0.44686,125,169,0.37168,0.52204
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,Single,0.17698,44,169,0.11927,0.23470
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,Married,0.52710,118,163,0.45022,0.60399
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,Single,0.20410,45,163,0.14204,0.26617
1984,"Rhineland-Palatinate, Saarland",4th Quintile,Married,0.57027,106,143,0.48885,0.65170
1984,"Rhineland-Palatinate, Saarland",4th Quintile,Single,0.22087,37,143,0.15264,0.28911
1984,"Rhineland-Palatinate, Saarland",5th Quintile,Married,0.57995,85,116,0.48974,0.67016
1984,"Rhineland-Palatinate, Saarland",5th Quintile,Single,0.21917,31,116,0.14356,0.29477
1984,Baden-Wuerttemberg,1st Quintile,Married,0.36078,247,360,0.31110,0.41046
1984,Baden-Wuerttemberg,1st Quintile,Single,0.15927,80,360,0.12141,0.19712
1984,Baden-Wuerttemberg,1st Quintile,Widowed,0.14228,33,360,0.10614,0.17841
1984,Baden-Wuerttemberg,2nd Quintile,Married,0.45446,325,426,0.40712,0.50180
1984,Baden-Wuerttemberg,2nd Quintile,Single,0.17072,101,426,0.13495,0.20649
1984,Baden-Wuerttemberg,3rd Quintile,Married,0.47360,310,431,0.42640,0.52079
1984,Baden-Wuerttemberg,3rd Quintile,Single,0.17118,90,431,0.13558,0.20678
1984,Baden-Wuerttemberg,3rd Quintile,Widowed,0.09137,31,431,0.06413,0.11860
1984,Baden-Wuerttemberg,4th Quintile,Married,0.52825,329,449,0.48202,0.57447
1984,Baden-Wuerttemberg,4th Quintile,Single,0.21130,120,449,0.17349,0.24910
1984,Baden-Wuerttemberg,5th Quintile,Married,0.57834,293,389,0.52920,0.62747
1984,Baden-Wuerttemberg,5th Quintile,Single,0.19834,96,389,0.15867,0.23802
1984,Bavaria,1st Quintile,Married,0.42173,242,368,0.37121,0.47226
1984,Bavaria,1st Quintile,Single,0.18217,93,368,0.14268,0.22166
1984,Bavaria,1st Quintile,Widowed,0.13823,33,368,0.10292,0.17354
1984,Bavaria,2nd Quintile,Married,0.48731,282,403,0.43845,0.53617
1984,Bavaria,2nd Quintile,Single,0.16852,86,403,0.13192,0.20511
1984,Bavaria,2nd Quintile,Widowed,0.10397,35,403,0.07413,0.13380
1984,Bavaria,3rd Quintile,Married,0.52700,308,396,0.47776,0.57624
1984,Bavaria,3rd Quintile,Single,0.17390,88,396,0.13652,0.21128
1984,Bavaria,4th Quintile,Married,0.55388,278,376,0.50357,0.60419
1984,Bavaria,4th Quintile,Single,0.20019,98,376,0.15969,0.24069
1984,Bavaria,5th Quintile,Married,0.58032,292,394,0.53152,0.62911
1984,Bavaria,5th Quintile,Single,0.21216,102,394,0.17173,0.25258
1984,Berlin,3rd Quintile,Married,0.38688,63,63,0.26565,0.50812
1984,Berlin,4th Quintile,Married,0.42676,47,47,0.28383,0.56970
1984,Berlin,5th Quintile,Married,0.56933,70,70,0.45249,0.68616
1985,Schleswig-Holstein,1st Quintile,Married,0.39891,44,44,0.25255,0.54527
1985,Schleswig-Holstein,2nd Quintile,Married,0.51577,52,52,0.37861,0.65293
1985,Schleswig-Holstein,3rd Quintile,Married,0.52410,38,38,0.36317,0.68502
1985,Schleswig-Holstein,4th Quintile,Married,0.45899,43,43,0.30828,0.60970
1985,Schleswig-Holstein,5th Quintile,Married,0.53087,43,43,0.37995,0.68180
1985,Hamburg,3rd Quintile,Married,0.50076,36,36,0.33511,0.66641
1985,Hamburg,4th Quintile,Married,0.45707,34,34,0.28710,0.62703
1985,Hamburg,5th Quintile,Married,0.54752,46,46,0.40209,0.69294
1985,Lower Saxony,1st Quintile,Married,0.37441,135,207,0.30832,0.44051
1985,Lower Saxony,1st Quintile,Single,0.22989,72,207,0.17243,0.28735
1985,Lower Saxony,2nd Quintile,Married,0.50736,129,167,0.43131,0.58341
1985,Lower Saxony,2nd Quintile,Single,0.16498,38,167,0.10852,0.22144
1985,Lower Saxony,3rd Quintile,Married,0.52061,149,213,0.45336,0.58786
1985,Lower Saxony,3rd Quintile,Single,0.24194,64,213,0.18429,0.29959
1985,Lower Saxony,4th Quintile,Married,0.56836,136,176,0.49497,0.64174
1985,Lower Saxony,4th Quintile,Single,0.19786,40,176,0.13883,0.25688
1985,Lower Saxony,5th Quintile,Married,0.55246,157,218,0.48630,0.61862
1985,Lower Saxony,5th Quintile,Single,0.22720,61,218,0.17145,0.28296
1985,North Rhine-Westphalia,1st Quintile,Married,0.37288,410,667,0.33615,0.40960
1985,North Rhine-Westphalia,1st Quintile,Single,0.20979,180,667,0.17886,0.24071
1985,North Rhine-Westphalia,1st Quintile,Divorced,0.05494,31,667,0.03763,0.07224
1985,North Rhine-Westphalia,1st Quintile,Widowed,0.11042,46,667,0.08661,0.13422
1985,North Rhine-Westphalia,2nd Quintile,Married,0.50725,443,596,0.46708,0.54742
1985,North Rhine-Westphalia,2nd Quintile,Single,0.14467,117,596,0.11640,0.17294
1985,North Rhine-Westphalia,2nd Quintile,Widowed,0.09199,36,596,0.06876,0.11521
1985,North Rhine-Westphalia,3rd Quintile,Married,0.47506,325,469,0.42982,0.52031
1985,North Rhine-Westphalia,3rd Quintile,Single,0.23750,144,469,0.19895,0.27606
1985,North Rhine-Westphalia,4th Quintile,Married,0.51146,366,562,0.47009,0.55282
1985,North Rhine-Westphalia,4th Quintile,Single,0.23636,159,562,0.20121,0.27152
1985,North Rhine-Westphalia,4th Quintile,Widowed,0.08448,37,562,0.06146,0.10749
1985,North Rhine-Westphalia,5th Quintile,Married,0.56627,373,478,0.52179,0.61074
1985,North Rhine-Westphalia,5th Quintile,Single,0.17724,105,478,0.14297,0.21151
1985,Hesse,1st Quintile,Married,0.37668,156,221,0.31265,0.44071
1985,Hesse,1st Quintile,Single,0.23941,65,221,0.18302,0.29580
1985,Hesse,2nd Quintile,Married,0.53846,147,181,0.46563,0.61129
1985,Hesse,2nd Quintile,Single,0.10970,34,181,0.06405,0.15536
1985,Hesse,3rd Quintile,Married,0.55725,138,183,0.48508,0.62941
