year,sex,ple0015,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,Yes,0.03049,294,8598,0.02686,0.03413
2009,male,No,0.96951,8304,8598,0.96587,0.97314
2009,female,Yes,0.04482,384,9420,0.04064,0.04900
2009,female,No,0.95518,9036,9420,0.95100,0.95936
2011,male,Yes,0.03842,400,9789,0.03461,0.04222
2011,male,No,0.96158,9389,9789,0.95778,0.96539
2011,female,Yes,0.05412,541,10956,0.04988,0.05835
2011,female,No,0.94588,10415,10956,0.94165,0.95012
2013,male,Yes,0.05390,472,8834,0.04919,0.05861
2013,male,No,0.94610,8362,8834,0.94139,0.95081
2013,female,Yes,0.06634,570,10032,0.06147,0.07121
2013,female,No,0.93366,9462,10032,0.92879,0.93853
2015,male,Yes,0.04936,483,11459,0.04539,0.05332
2015,male,No,0.95064,10976,11459,0.94668,0.95461
2015,female,Yes,0.06336,678,13581,0.05926,0.06745
2015,female,No,0.93664,12903,13581,0.93255,0.94074
2017,male,Yes,0.04791,547,12261,0.04413,0.05169
2017,male,No,0.95209,11714,12261,0.94831,0.95587
2017,female,Yes,0.06333,736,14288,0.05933,0.06732
2017,female,No,0.93667,13552,14288,0.93268,0.94067
2019,male,Yes,0.04892,615,12279,0.04511,0.05274
2019,male,No,0.95108,11664,12279,0.94726,0.95489
2019,female,Yes,0.06895,767,13441,0.06467,0.07324
2019,female,No,0.93105,12674,13441,0.92676,0.93533
2021,male,Yes,0.05506,438,9290,0.05042,0.05970
2021,male,No,0.94494,8852,9290,0.94030,0.94958
2021,female,Yes,0.08088,610,9867,0.07550,0.08626
2021,female,No,0.91912,9257,9867,0.91374,0.92450
