,Unnamed: 0,year,age_gr,pgisced97,ple0015,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,17-29 y.,Pre-primary Level,No,1.0,313,17551,0.89216,1.0985
1,1,2009,17-29 y.,Lower Secondary Level,No,1.0,475,17551,0.91949,1.09985
2,2,2009,17-29 y.,Upper Secondary Level,No,1.0,1257,17551,0.94457,1.06372
3,3,2009,17-29 y.,Post-secondary Non-tertiary Level,No,1.0,188,17551,0.86292,1.12277
4,4,2009,17-29 y.,First Stage of Tertiary Education,No,1.0,37,17551,0.67701,1.40665
5,5,2009,17-29 y.,Second Stage of Tertiary Education,No,1.0,245,17551,0.84407,1.17055
6,6,2009,30-45 y.,Primary Level,No,1.0,48,17551,0.77137,1.26683
7,7,2009,30-45 y.,Lower Secondary Level,No,1.0,268,17551,0.89149,1.09745
8,8,2009,30-45 y.,Upper Secondary Level,No,1.0,2302,17551,0.96081,1.04062
9,9,2009,30-45 y.,Post-secondary Non-tertiary Level,No,1.0,429,17551,0.91788,1.08434
10,10,2009,30-45 y.,First Stage of Tertiary Education,No,1.0,425,17551,0.90426,1.10187
11,11,2009,30-45 y.,Second Stage of Tertiary Education,No,1.0,1141,17551,0.94189,1.06721
12,12,2009,46-65 y.,Primary Level,No,1.0,52,17551,0.76619,1.25044
13,13,2009,46-65 y.,Lower Secondary Level,No,1.0,377,17551,0.92145,1.0926
14,14,2009,46-65 y.,Upper Secondary Level,Yes,0.04429,142,17551,0.03782,0.05118
15,15,2009,46-65 y.,Upper Secondary Level,No,0.95571,3152,17551,0.92969,0.98436
16,16,2009,46-65 y.,Post-secondary Non-tertiary Level,No,1.0,264,17551,0.87954,1.11532
17,17,2009,46-65 y.,First Stage of Tertiary Education,No,1.0,527,17551,0.90651,1.07977
18,18,2009,46-65 y.,Second Stage of Tertiary Education,Yes,0.03054,67,17551,0.02385,0.03976
19,19,2009,46-65 y.,Second Stage of Tertiary Education,No,0.96946,1692,17551,0.92239,1.02531
20,20,2009,66 and older,Primary Level,No,1.0,40,17551,0.8049,1.17572
21,21,2009,66 and older,Lower Secondary Level,Yes,0.06284,35,17551,0.05061,0.07788
22,22,2009,66 and older,Lower Secondary Level,No,0.93716,617,17551,0.88951,0.9793
23,23,2009,66 and older,Upper Secondary Level,Yes,0.0929,188,17551,0.08401,0.10312
24,24,2009,66 and older,Upper Secondary Level,No,0.9071,1985,17551,0.87676,0.9364
25,25,2009,66 and older,Post-secondary Non-tertiary Level,No,1.0,88,17551,0.86687,1.14443
26,26,2009,66 and older,First Stage of Tertiary Education,Yes,0.10262,33,17551,0.07747,0.13315
27,27,2009,66 and older,First Stage of Tertiary Education,No,0.89738,283,17551,0.82117,0.9785
28,28,2009,66 and older,Second Stage of Tertiary Education,Yes,0.11491,96,17551,0.09852,0.13736
29,29,2009,66 and older,Second Stage of Tertiary Education,No,0.88509,785,17551,0.83124,0.9375
30,30,2011,17-29 y.,Pre-primary Level,No,1.0,311,20313,0.8904,1.11524
31,31,2011,17-29 y.,Primary Level,No,1.0,36,20313,0.71028,1.24985
32,32,2011,17-29 y.,Lower Secondary Level,No,1.0,475,20313,0.89352,1.11316
33,33,2011,17-29 y.,Upper Secondary Level,No,1.0,1345,20313,0.94919,1.06143
34,34,2011,17-29 y.,Post-secondary Non-tertiary Level,No,1.0,215,20313,0.86391,1.13294
35,35,2011,17-29 y.,First Stage of Tertiary Education,No,1.0,50,20313,0.76551,1.20673
36,36,2011,17-29 y.,Second Stage of Tertiary Education,No,1.0,286,20313,0.89908,1.11314
37,37,2011,30-45 y.,Primary Level,No,1.0,58,20313,0.72861,1.35473
38,38,2011,30-45 y.,Lower Secondary Level,No,1.0,331,20313,0.89146,1.12023
39,39,2011,30-45 y.,Upper Secondary Level,Yes,0.01837,37,20313,0.01249,0.02547
40,40,2011,30-45 y.,Upper Secondary Level,No,0.98163,2340,20313,0.93925,1.03317
41,41,2011,30-45 y.,Post-secondary Non-tertiary Level,No,1.0,462,20313,0.90545,1.08834
42,42,2011,30-45 y.,First Stage of Tertiary Education,No,1.0,364,20313,0.88153,1.11517
43,43,2011,30-45 y.,Second Stage of Tertiary Education,No,1.0,1208,20313,0.93468,1.06439
44,44,2011,46-65 y.,Primary Level,No,1.0,67,20313,0.80453,1.23103
45,45,2011,46-65 y.,Lower Secondary Level,Yes,0.06616,32,20313,0.04568,0.08937
46,46,2011,46-65 y.,Lower Secondary Level,No,0.93384,504,20313,0.85941,1.00589
47,47,2011,46-65 y.,Upper Secondary Level,Yes,0.04844,198,20313,0.04189,0.0552
