year,pgisced97,sampreg,ple0015,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,Pre-primary Level,West,No,1.0,258,17620,1.0,1.0
2009,Pre-primary Level,East,No,1.0,55,17620,1.0,1.0
2009,Primary Level,West,No,1.0,148,17620,1.0,1.0
2009,Lower Secondary Level,West,Yes,0.03254552381608491,45,17620,0.0324147637979783,0.032676283834191515
2009,Lower Secondary Level,West,No,0.9674544761839151,1480,17620,0.9673237161658085,0.9675852362020217
2009,Lower Secondary Level,East,No,1.0,257,17620,1.0,1.0
2009,Upper Secondary Level,West,Yes,0.043143023628108304,282,17620,0.04306816995121453,0.04321787730500208
2009,Upper Secondary Level,West,No,0.9568569763718917,6384,17620,0.956782122694998,0.9569318300487855
2009,Upper Secondary Level,East,Yes,0.03949492398371983,82,17620,0.03935100969858128,0.039638838268858376
2009,Upper Secondary Level,East,No,0.9605050760162802,2312,17620,0.9603611617311416,0.9606489903014188
2009,Post-secondary Non-tertiary Level,West,No,1.0,822,17620,1.0,1.0
2009,Post-secondary Non-tertiary Level,East,No,1.0,147,17620,1.0,1.0
2009,First Stage of Tertiary Education,West,Yes,0.046291891499603985,41,17620,0.04608449561547305,0.04649928738373492
2009,First Stage of Tertiary Education,West,No,0.9537081085003961,919,17620,0.9535007126162651,0.9539155043845271
2009,First Stage of Tertiary Education,East,No,1.0,353,17620,1.0,1.0
2009,Second Stage of Tertiary Education,West,Yes,0.03585876867434773,116,17620,0.03574266498025373,0.03597487236844173
2009,Second Stage of Tertiary Education,West,No,0.9641412313256522,2712,17620,0.9640251276315582,0.9642573350197462
2009,Second Stage of Tertiary Education,East,Yes,0.045924444349297606,56,17620,0.0456833249952326,0.04616556370336261
2009,Second Stage of Tertiary Education,East,No,0.9540755556507023,1151,17620,0.9538344362966373,0.9543166750047674
2011,Pre-primary Level,West,No,1.0,276,20359,1.0,1.0
2011,Pre-primary Level,East,No,1.0,35,20359,1.0,1.0
2011,Primary Level,West,No,1.0,192,20359,1.0,1.0
2011,Lower Secondary Level,West,Yes,0.0469788688181877,83,20359,0.04681335844310338,0.04714437919327202
2011,Lower Secondary Level,West,No,0.9530211311818123,1784,20359,0.952855620806728,0.9531866415568966
2011,Lower Secondary Level,East,No,1.0,291,20359,1.0,1.0
2011,Upper Secondary Level,West,Yes,0.05170006819693113,387,20359,0.05161376769063995,0.05178636870322231
2011,Upper Secondary Level,West,No,0.9482999318030689,7474,20359,0.9482136312967777,0.9483862323093601
2011,Upper Secondary Level,East,Yes,0.04300617524994266,98,20359,0.042847294302803866,0.04316505619708145
2011,Upper Secondary Level,East,No,0.9569938247500573,2530,20359,0.9568349438029186,0.9571527056971961
2011,Post-secondary Non-tertiary Level,West,Yes,0.03835088592572267,39,20359,0.03814550522122918,0.03855626663021617
2011,Post-secondary Non-tertiary Level,West,No,0.9616491140742772,985,20359,0.9614437333697837,0.9618544947787707
2011,Post-secondary Non-tertiary Level,East,No,1.0,174,20359,1.0,1.0
2011,First Stage of Tertiary Education,West,Yes,0.04461272383437093,48,20359,0.04438988131804387,0.044835566350698
2011,First Stage of Tertiary Education,West,No,0.955387276165629,998,20359,0.9551644336493019,0.9556101186819561
2011,First Stage of Tertiary Education,East,No,1.0,377,20359,1.0,1.0
2011,Second Stage of Tertiary Education,West,Yes,0.04453599412525198,163,20359,0.04440263057633669,0.044669357674167263
2011,Second Stage of Tertiary Education,West,No,0.9554640058747481,3137,20359,0.9553306423258329,0.9555973694236634
2011,Second Stage of Tertiary Education,East,Yes,0.06323213100495009,75,20359,0.06293052062216627,0.06353374138773392
2011,Second Stage of Tertiary Education,East,No,0.93676786899505,1213,20359,0.9364662586122662,0.9370694793778339
2013,Pre-primary Level,West,No,1.0,226,18519,1.0,1.0
2013,Pre-primary Level,East,No,1.0,33,18519,1.0,1.0
2013,Primary Level,West,No,1.0,155,18519,1.0,1.0
2013,Lower Secondary Level,West,Yes,0.06513939781786052,87,18519,0.06493121393027784,0.06534758170544319
2013,Lower Secondary Level,West,No,0.9348606021821394,1516,18519,0.9346524182945567,0.9350687860697221
2013,Lower Secondary Level,East,No,1.0,236,18519,1.0,1.0
