year,ple0015,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Yes,0.03785,678,18018,0.03506,0.04063
2009,No,0.96215,17340,18018,0.95937,0.96494
2011,Yes,0.04644,941,20745,0.04358,0.04930
2011,No,0.95356,19804,20745,0.95070,0.95642
2013,Yes,0.06028,1042,18866,0.05688,0.06367
2013,No,0.93972,17824,18866,0.93633,0.94312
2015,Yes,0.05653,1161,25040,0.05367,0.05939
2015,No,0.94347,23879,25040,0.94061,0.94633
2017,Yes,0.05577,1283,26549,0.05301,0.05853
2017,No,0.94423,25266,26549,0.94147,0.94699
2019,Yes,0.05914,1382,25726,0.05626,0.06202
2019,No,0.94086,24344,25726,0.93798,0.94374
2021,Yes,0.06815,1048,19164,0.06458,0.07171
2021,No,0.93185,18116,19164,0.92829,0.93542
