year,sampreg,ple0015,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2009,West,,0.9621577502411516,21983,0.9596352907151886,0.9646802097671145
2009,West,Ja,0.03784224975884841,21983,0.03531979023288541,0.04036470928481141
2009,East,,0.9630037436687954,21983,0.9605085430523731,0.9654989442852177
2009,East,Ja,0.03699625633120458,21983,0.03450105571478235,0.03949145694762682
2011,West,,0.9537849611717911,41903,0.9517747096052583,0.9557952127383239
2011,West,Ja,0.04621503882820885,41903,0.04420478726167611,0.04822529039474159
2011,East,,0.9573817292006526,41903,0.955447651165689,0.9593158072356162
2011,East,Ja,0.04261827079934747,41903,0.04068419276438388,0.04455234883431106
2013,West,,0.9456778132371305,44486,0.9435715889575599,0.9477840375167011
2013,West,Ja,0.054322186762869436,44486,0.05221596248329879,0.056428411042440084
2013,East,,0.9418238993710691,44486,0.9396486875728147,0.9439991111693236
2013,East,Ja,0.05817610062893082,44486,0.056000888830676415,0.06035131242718522
2015,West,,0.9552231262950422,38036,0.9531446841015949,0.9573015684884896
2015,West,Ja,0.0447768737049578,38036,0.042698431511510426,0.04685531589840518
2015,East,,0.9476389946686976,38036,0.9454003554810757,0.9498776338563195
2015,East,Ja,0.05236100533130236,38036,0.05012236614368044,0.05459964451892429
2017,West,,0.9522877999904575,45410,0.9503272444413513,0.9542483555395638
2017,West,Ja,0.04771220000954244,45410,0.04575164446043621,0.04967275555864867
2017,East,,0.9493738819320214,45410,0.947357437427488,0.9513903264365549
2017,East,Ja,0.05062611806797853,45410,0.048609673563445074,0.052642562572511986
2019,West,,0.9470725762324032,42417,0.944941896842237,0.9492032556225694
2019,West,Ja,0.052927423767596876,42417,0.05079674437743069,0.055058103157763064
2019,East,,0.9437432383699964,42417,0.941550431477221,0.9459360452627719
2019,East,Ja,0.05625676163000361,42417,0.054063954737228116,0.0584495685227791
2021,West,,0.9464647124110466,27598,0.9438089479834307,0.9491204768386624
2021,West,Ja,0.05353528758895345,27598,0.05087952316133761,0.056191052016569286
2021,East,,0.9407330387314791,27598,0.9379471947216096,0.9435188827413485
2021,East,Ja,0.05926696126852093,27598,0.05648111725865143,0.062052805278390424
