year,migback,ple0015,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.04225,630,15650,0.03910,0.04540
2009,No migration background,No,0.95775,15020,15650,0.95460,0.96090
2009,Direct migration background,Yes,0.02162,43,1659,0.01462,0.02862
2009,Direct migration background,No,0.97838,1616,1659,0.97138,0.98538
2009,Indirect migration background,No,0.99570,704,704,0.99086,1.00054
2011,No migration background,Yes,0.04959,855,17933,0.04641,0.05277
2011,No migration background,No,0.95041,17078,17933,0.94723,0.95359
2011,Direct migration background,Yes,0.03566,74,2016,0.02757,0.04376
2011,Direct migration background,No,0.96434,1942,2016,0.95624,0.97243
2011,Indirect migration background,No,0.98661,784,784,0.97855,0.99466
2013,No migration background,Yes,0.06251,960,16421,0.05881,0.06622
2013,No migration background,No,0.93749,15461,16421,0.93378,0.94119
2013,Direct migration background,Yes,0.05234,74,1746,0.04189,0.06279
2013,Direct migration background,No,0.94766,1672,1746,0.93721,0.95811
2013,Indirect migration background,No,0.98642,691,691,0.97778,0.99505
2015,No migration background,Yes,0.06305,1024,19023,0.05960,0.06651
2015,No migration background,No,0.93695,17999,19023,0.93349,0.94040
2015,Direct migration background,Yes,0.03227,116,4473,0.02709,0.03745
2015,Direct migration background,No,0.96773,4357,4473,0.96255,0.97291
2015,Indirect migration background,No,0.98681,1523,1523,0.98107,0.99254
2017,No migration background,Yes,0.06300,1136,20111,0.05964,0.06636
2017,No migration background,No,0.93700,18975,20111,0.93364,0.94036
2017,Direct migration background,Yes,0.03359,125,4816,0.02850,0.03868
2017,Direct migration background,No,0.96641,4691,4816,0.96132,0.97150
2017,Indirect migration background,No,0.98848,1600,1600,0.98326,0.99371
2019,No migration background,Yes,0.06629,1221,20123,0.06285,0.06973
2019,No migration background,No,0.93371,18902,20123,0.93027,0.93715
2019,Direct migration background,Yes,0.03961,136,4030,0.03359,0.04564
2019,Direct migration background,No,0.96039,3894,4030,0.95436,0.96641
2019,Indirect migration background,No,0.98563,1548,1548,0.97970,0.99156
2021,No migration background,Yes,0.07490,900,13054,0.07038,0.07941
2021,No migration background,No,0.92510,12154,13054,0.92059,0.92962
2021,Direct migration background,Yes,0.04757,129,5184,0.04178,0.05337
2021,Direct migration background,No,0.95243,5055,5184,0.94663,0.95822
2021,Indirect migration background,No,0.97212,907,907,0.96140,0.98284
