year,quintil_oecd,sex,ple0015,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,male,Yes,0.03045,39,18013,0.03031,0.03059
2009,1st Quintile,male,No,0.96955,1172,18013,0.96941,0.96969
2009,1st Quintile,female,Yes,0.03556,59,18013,0.03542,0.03569
2009,1st Quintile,female,No,0.96444,1609,18013,0.96431,0.96458
2009,2nd Quintile,male,Yes,0.03394,55,18013,0.03379,0.03409
2009,2nd Quintile,male,No,0.96606,1361,18013,0.96591,0.96621
2009,2nd Quintile,female,Yes,0.04405,75,18013,0.04390,0.04420
2009,2nd Quintile,female,No,0.95595,1675,18013,0.95580,0.95610
2009,3rd Quintile,male,Yes,0.03310,58,18013,0.03296,0.03323
2009,3rd Quintile,male,No,0.96690,1599,18013,0.96677,0.96704
2009,3rd Quintile,female,Yes,0.05253,72,18013,0.05236,0.05270
2009,3rd Quintile,female,No,0.94747,1705,18013,0.94730,0.94764
2009,4th Quintile,male,Yes,0.02142,43,18013,0.02132,0.02153
2009,4th Quintile,male,No,0.97858,1816,18013,0.97847,0.97868
2009,4th Quintile,female,Yes,0.04854,80,18013,0.04838,0.04871
2009,4th Quintile,female,No,0.95146,1793,18013,0.95129,0.95162
2009,5th Quintile,male,Yes,0.03409,99,18013,0.03396,0.03422
2009,5th Quintile,male,No,0.96591,2354,18013,0.96578,0.96604
2009,5th Quintile,female,Yes,0.04456,98,18013,0.04440,0.04472
2009,5th Quintile,female,No,0.95544,2251,18013,0.95528,0.95560
2011,1st Quintile,male,Yes,0.03537,32,15662,0.03518,0.03557
2011,1st Quintile,male,No,0.96463,992,15662,0.96443,0.96482
2011,1st Quintile,female,Yes,0.03920,54,15662,0.03902,0.03938
2011,1st Quintile,female,No,0.96080,1384,15662,0.96062,0.96098
2011,2nd Quintile,male,Yes,0.02894,47,15662,0.02878,0.02911
2011,2nd Quintile,male,No,0.97106,1204,15662,0.97089,0.97122
2011,2nd Quintile,female,Yes,0.05732,76,15662,0.05711,0.05753
2011,2nd Quintile,female,No,0.94268,1435,15662,0.94247,0.94289
2011,3rd Quintile,male,Yes,0.05125,69,15662,0.05104,0.05145
2011,3rd Quintile,male,No,0.94875,1397,15662,0.94855,0.94896
2011,3rd Quintile,female,Yes,0.06535,88,15662,0.06513,0.06557
2011,3rd Quintile,female,No,0.93465,1516,15662,0.93443,0.93487
2011,4th Quintile,male,Yes,0.02711,50,15662,0.02697,0.02725
2011,4th Quintile,male,No,0.97289,1565,15662,0.97275,0.97303
2011,4th Quintile,female,Yes,0.05471,74,15662,0.05451,0.05492
2011,4th Quintile,female,No,0.94529,1529,15662,0.94508,0.94549
2011,5th Quintile,male,Yes,0.04472,95,15662,0.04454,0.04489
2011,5th Quintile,male,No,0.95528,1989,15662,0.95511,0.95546
2011,5th Quintile,female,Yes,0.05331,99,15662,0.05311,0.05351
2011,5th Quintile,female,No,0.94669,1967,15662,0.94649,0.94689
2013,1st Quintile,male,Yes,0.04433,55,18862,0.04413,0.04452
2013,1st Quintile,male,No,0.95567,1224,18862,0.95548,0.95587
2013,1st Quintile,female,Yes,0.06492,98,18862,0.06471,0.06513
2013,1st Quintile,female,No,0.93508,1726,18862,0.93487,0.93529
2013,2nd Quintile,male,Yes,0.05197,82,18862,0.05177,0.05217
2013,2nd Quintile,male,No,0.94803,1464,18862,0.94783,0.94823
2013,2nd Quintile,female,Yes,0.07512,113,18862,0.07490,0.07534
2013,2nd Quintile,female,No,0.92488,1777,18862,0.92466,0.92510
2013,3rd Quintile,male,Yes,0.05988,90,18862,0.05968,0.06008
2013,3rd Quintile,male,No,0.94012,1601,18862,0.93992,0.94032
2013,3rd Quintile,female,Yes,0.06922,106,18862,0.06902,0.06943
2013,3rd Quintile,female,No,0.93078,1795,18862,0.93057,0.93098
2013,4th Quintile,male,Yes,0.05313,100,18862,0.05295,0.05330
2013,4th Quintile,male,No,0.94687,1808,18862,0.94670,0.94705
2013,4th Quintile,female,Yes,0.06303,118,18862,0.06284,0.06322
2013,4th Quintile,female,No,0.93697,1912,18862,0.93678,0.93716
2013,5th Quintile,male,Yes,0.05564,145,18862,0.05547,0.05581
2013,5th Quintile,male,No,0.94436,2263,18862,0.94419,0.94453
2013,5th Quintile,female,Yes,0.06041,135,18862,0.06022,0.06059
2013,5th Quintile,female,No,0.93959,2250,18862,0.93941,0.93978
2015,1st Quintile,male,Yes,0.04637,60,25036,0.04620,0.04655
2015,1st Quintile,male,No,0.95363,2013,25036,0.95345,0.95380
2015,1st Quintile,female,Yes,0.06847,136,25036,0.06828,0.06866
2015,1st Quintile,female,No,0.93153,2798,25036,0.93134,0.93172
2015,2nd Quintile,male,Yes,0.04245,89,25036,0.04229,0.04262
2015,2nd Quintile,male,No,0.95755,2205,25036,0.95738,0.95771
2015,2nd Quintile,female,Yes,0.06157,150,25036,0.06140,0.06175
2015,2nd Quintile,female,No,0.93843,2837,25036,0.93825,0.93860
2015,3rd Quintile,male,Yes,0.05291,88,25036,0.05274,0.05309
2015,3rd Quintile,male,No,0.94709,2173,25036,0.94691,0.94726
2015,3rd Quintile,female,Yes,0.07013,131,25036,0.06994,0.07032
2015,3rd Quintile,female,No,0.92987,2488,25036,0.92968,0.93006
2015,4th Quintile,male,Yes,0.05533,116,25036,0.05517,0.05550
2015,4th Quintile,male,No,0.94467,2161,25036,0.94450,0.94483
2015,4th Quintile,female,Yes,0.05810,120,25036,0.05792,0.05827
2015,4th Quintile,female,No,0.94190,2370,25036,0.94173,0.94208
2015,5th Quintile,male,Yes,0.04824,130,25036,0.04809,0.04839
2015,5th Quintile,male,No,0.95176,2422,25036,0.95161,0.95191
2015,5th Quintile,female,Yes,0.05881,141,25036,0.05863,0.05899
2015,5th Quintile,female,No,0.94119,2408,25036,0.94101,0.94137
2017,1st Quintile,male,Yes,0.04591,59,22836,0.04573,0.04610
2017,1st Quintile,male,No,0.95409,1865,22836,0.95390,0.95427
2017,1st Quintile,female,Yes,0.05230,115,22836,0.05212,0.05248
2017,1st Quintile,female,No,0.94770,2637,22836,0.94752,0.94788
2017,2nd Quintile,male,Yes,0.04796,86,22836,0.04778,0.04814
2017,2nd Quintile,male,No,0.95204,2058,22836,0.95186,0.95222
2017,2nd Quintile,female,Yes,0.08074,148,22836,0.08052,0.08095
2017,2nd Quintile,female,No,0.91926,2559,22836,0.91905,0.91948
2017,3rd Quintile,male,Yes,0.05563,100,22836,0.05543,0.05582
2017,3rd Quintile,male,No,0.94437,1912,22836,0.94418,0.94457
2017,3rd Quintile,female,Yes,0.07235,126,22836,0.07215,0.07255
2017,3rd Quintile,female,No,0.92765,2277,22836,0.92745,0.92785
2017,4th Quintile,male,Yes,0.05198,115,22836,0.05180,0.05215
2017,4th Quintile,male,No,0.94802,1965,22836,0.94785,0.94820
2017,4th Quintile,female,Yes,0.05895,114,22836,0.05876,0.05914
2017,4th Quintile,female,No,0.94105,2146,22836,0.94086,0.94124
2017,5th Quintile,male,Yes,0.05003,121,22836,0.04986,0.05020
2017,5th Quintile,male,No,0.94997,2156,22836,0.94980,0.95014
2017,5th Quintile,female,Yes,0.06259,135,22836,0.06239,0.06278
2017,5th Quintile,female,No,0.93741,2142,22836,0.93722,0.93761
2019,1st Quintile,male,Yes,0.03697,67,22726,0.03682,0.03713
2019,1st Quintile,male,No,0.96303,1791,22726,0.96287,0.96318
2019,1st Quintile,female,Yes,0.05368,106,22726,0.05351,0.05385
2019,1st Quintile,female,No,0.94632,2434,22726,0.94615,0.94649
2019,2nd Quintile,male,Yes,0.05430,100,22726,0.05412,0.05448
2019,2nd Quintile,male,No,0.94570,2001,22726,0.94552,0.94588
2019,2nd Quintile,female,Yes,0.06592,140,22726,0.06574,0.06610
2019,2nd Quintile,female,No,0.93408,2522,22726,0.93390,0.93426
2019,3rd Quintile,male,Yes,0.04934,102,22726,0.04917,0.04950
2019,3rd Quintile,male,No,0.95066,1961,22726,0.95050,0.95083
2019,3rd Quintile,female,Yes,0.07095,132,22726,0.07076,0.07114
2019,3rd Quintile,female,No,0.92905,2314,22726,0.92886,0.92924
2019,4th Quintile,male,Yes,0.04851,109,22726,0.04835,0.04867
2019,4th Quintile,male,No,0.95149,1907,22726,0.95133,0.95165
2019,4th Quintile,female,Yes,0.07068,136,22726,0.07049,0.07087
2019,4th Quintile,female,No,0.92932,2118,22726,0.92913,0.92951
2019,5th Quintile,male,Yes,0.05169,137,22726,0.05153,0.05185
2019,5th Quintile,male,No,0.94831,2272,22726,0.94815,0.94847
2019,5th Quintile,female,Yes,0.08322,179,22726,0.08301,0.08343
2019,5th Quintile,female,No,0.91678,2198,22726,0.91657,0.91699
2021,1st Quintile,male,Yes,0.03843,55,18853,0.03827,0.03859
2021,1st Quintile,male,No,0.96157,2220,18853,0.96141,0.96173
2021,1st Quintile,female,Yes,0.08212,109,18853,0.08192,0.08233
2021,1st Quintile,female,No,0.91788,2329,18853,0.91767,0.91808
2021,2nd Quintile,male,Yes,0.07157,97,18853,0.07136,0.07177
2021,2nd Quintile,male,No,0.92843,1537,18853,0.92823,0.92864
2021,2nd Quintile,female,Yes,0.06635,120,18853,0.06617,0.06654
2021,2nd Quintile,female,No,0.93365,1826,18853,0.93346,0.93383
2021,3rd Quintile,male,Yes,0.05374,75,18853,0.05357,0.05392
2021,3rd Quintile,male,No,0.94626,1321,18853,0.94608,0.94643
2021,3rd Quintile,female,Yes,0.07632,92,18853,0.07612,0.07652
2021,3rd Quintile,female,No,0.92368,1545,18853,0.92348,0.92388
2021,4th Quintile,male,Yes,0.04911,69,18853,0.04895,0.04927
2021,4th Quintile,male,No,0.95089,1473,18853,0.95073,0.95105
2021,4th Quintile,female,Yes,0.08778,123,18853,0.08757,0.08799
2021,4th Quintile,female,No,0.91222,1581,18853,0.91201,0.91243
2021,5th Quintile,male,Yes,0.06028,142,18853,0.06012,0.06045
2021,5th Quintile,male,No,0.93972,2108,18853,0.93955,0.93988
2021,5th Quintile,female,Yes,0.09589,164,18853,0.09567,0.09612
2021,5th Quintile,female,No,0.90411,1867,18853,0.90388,0.90433
