year,age_gr,sex,ple0015,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,male,No,0.99981,1397,1397,0.99909,1.00053
2009,17-29 y.,female,No,0.99666,1451,1451,0.99368,0.99963
2009,30-45 y.,male,No,0.99142,2190,2190,0.98756,0.99528
2009,30-45 y.,female,Yes,0.02018,42,2470,0.01463,0.02573
2009,30-45 y.,female,No,0.97982,2428,2470,0.97427,0.98537
2009,46-65 y.,male,Yes,0.02115,84,3015,0.01601,0.02629
2009,46-65 y.,male,No,0.97885,2931,3015,0.97371,0.98399
2009,46-65 y.,female,Yes,0.05560,169,3310,0.04780,0.06341
2009,46-65 y.,female,No,0.94440,3141,3310,0.93659,0.95220
2009,66 and older,male,Yes,0.09966,194,1980,0.08646,0.11286
2009,66 and older,male,No,0.90034,1786,1980,0.88714,0.91354
2009,66 and older,female,Yes,0.08202,167,2183,0.07051,0.09353
2009,66 and older,female,No,0.91798,2016,2183,0.90647,0.92949
2011,17-29 y.,male,No,0.99878,1459,1459,0.99699,1.00057
2011,17-29 y.,female,No,0.99416,1523,1523,0.99033,0.99799
2011,30-45 y.,male,No,0.99235,2171,2171,0.98869,0.99602
2011,30-45 y.,female,Yes,0.02399,52,2663,0.01817,0.02980
2011,30-45 y.,female,No,0.97601,2611,2663,0.97020,0.98183
2011,46-65 y.,male,Yes,0.03380,129,3675,0.02795,0.03964
2011,46-65 y.,male,No,0.96620,3546,3675,0.96036,0.97205
2011,46-65 y.,female,Yes,0.06520,251,4099,0.05764,0.07276
2011,46-65 y.,female,No,0.93480,3848,4099,0.92724,0.94236
2011,66 and older,male,Yes,0.10355,245,2458,0.09150,0.11560
2011,66 and older,male,No,0.89645,2213,2458,0.88440,0.90850
2011,66 and older,female,Yes,0.08700,230,2663,0.07630,0.09771
2011,66 and older,female,No,0.91300,2433,2663,0.90229,0.92370
2013,17-29 y.,male,No,0.99902,1230,1230,0.99727,1.00077
2013,17-29 y.,female,No,0.99707,1298,1298,0.99413,1.00001
2013,30-45 y.,male,No,0.98591,1795,1795,0.98045,0.99136
2013,30-45 y.,female,Yes,0.02436,35,2256,0.01799,0.03072
2013,30-45 y.,female,No,0.97564,2221,2256,0.96928,0.98201
2013,46-65 y.,male,Yes,0.04433,148,3397,0.03740,0.05125
2013,46-65 y.,male,No,0.95567,3249,3397,0.94875,0.96260
2013,46-65 y.,female,Yes,0.07062,257,3922,0.06260,0.07864
2013,46-65 y.,female,No,0.92938,3665,3922,0.92136,0.93740
2013,66 and older,male,Yes,0.13179,300,2388,0.11822,0.14536
2013,66 and older,male,No,0.86821,2088,2388,0.85464,0.88178
2013,66 and older,female,Yes,0.11273,272,2550,0.10045,0.12501
2013,66 and older,female,No,0.88727,2278,2550,0.87499,0.89955
2015,17-29 y.,male,No,0.99871,1884,1884,0.99710,1.00033
2015,17-29 y.,female,No,0.99139,2021,2021,0.98736,0.99542
2015,30-45 y.,male,No,0.99019,3022,3022,0.98668,0.99371
2015,30-45 y.,female,Yes,0.02361,67,4306,0.01908,0.02815
2015,30-45 y.,female,No,0.97639,4239,4306,0.97185,0.98092
2015,46-65 y.,male,Yes,0.04394,144,4138,0.03770,0.05019
2015,46-65 y.,male,No,0.95606,3994,4138,0.94981,0.96230
2015,46-65 y.,female,Yes,0.07032,294,4739,0.06303,0.07760
2015,46-65 y.,female,No,0.92968,4445,4739,0.92240,0.93697
2015,66 and older,male,Yes,0.13365,308,2384,0.11999,0.14731
2015,66 and older,male,No,0.86635,2076,2384,0.85269,0.88001
2015,66 and older,female,Yes,0.11594,302,2500,0.10339,0.12849
2015,66 and older,female,No,0.88406,2198,2500,0.87151,0.89661
2017,17-29 y.,male,No,0.99912,2134,2134,0.99786,1.00038
2017,17-29 y.,female,No,0.99097,2206,2206,0.98702,0.99492
2017,30-45 y.,male,No,0.99141,3023,3023,0.98812,0.99470
2017,30-45 y.,female,Yes,0.01863,80,4206,0.01454,0.02272
