year,migback,quintil_oecd,ple0015,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,1st Quintile,Yes,0.03493,82,2175,0.02721,0.04265
2009,No migration background,1st Quintile,No,0.79997,2093,2175,0.78315,0.81679
2009,No migration background,2nd Quintile,Yes,0.04018,123,2634,0.03268,0.04769
2009,No migration background,2nd Quintile,No,0.78471,2511,2634,0.76901,0.80041
2009,No migration background,3rd Quintile,Yes,0.03746,115,2998,0.03066,0.04425
2009,No migration background,3rd Quintile,No,0.80337,2883,2998,0.78914,0.81760
2009,No migration background,4th Quintile,Yes,0.03418,126,3377,0.02805,0.04031
2009,No migration background,4th Quintile,No,0.83140,3251,3377,0.81877,0.84403
2009,No migration background,5th Quintile,Yes,0.03450,184,4462,0.02914,0.03985
2009,No migration background,5th Quintile,No,0.86808,4278,4462,0.85815,0.87801
2009,Direct migration background,1st Quintile,No,0.93264,503,503,0.91071,0.95456
2009,Direct migration background,2nd Quintile,No,0.96169,371,371,0.94213,0.98125
2009,Direct migration background,3rd Quintile,No,0.98245,279,279,0.96702,0.99789
2009,Direct migration background,4th Quintile,No,0.95923,252,252,0.93476,0.98369
2009,Direct migration background,5th Quintile,No,0.95485,210,210,0.92670,0.98300
2009,Indirect migration background,1st Quintile,No,0.46505,177,177,0.39136,0.53874
2009,Indirect migration background,2nd Quintile,No,0.49494,148,148,0.41412,0.57577
2009,Indirect migration background,3rd Quintile,No,0.61993,123,123,0.53379,0.70606
2009,Indirect migration background,4th Quintile,No,0.57981,130,130,0.49464,0.66499
2009,Indirect migration background,5th Quintile,No,0.66995,126,126,0.58752,0.75239
2011,No migration background,1st Quintile,Yes,0.03259,80,1941,0.02468,0.04049
2011,No migration background,1st Quintile,No,0.68272,1861,1941,0.66201,0.70343
2011,No migration background,2nd Quintile,Yes,0.03285,101,2298,0.02556,0.04013
2011,No migration background,2nd Quintile,No,0.73058,2197,2298,0.71243,0.74872
2011,No migration background,3rd Quintile,Yes,0.05158,144,2716,0.04326,0.05990
2011,No migration background,3rd Quintile,No,0.75302,2572,2716,0.73680,0.76924
2011,No migration background,4th Quintile,Yes,0.03469,124,2997,0.02814,0.04124
2011,No migration background,4th Quintile,No,0.77499,2873,2997,0.76004,0.78994
2011,No migration background,5th Quintile,Yes,0.04371,181,3765,0.03718,0.05024
2011,No migration background,5th Quintile,No,0.82462,3584,3765,0.81247,0.83677
2011,Direct migration background,1st Quintile,No,0.68294,384,384,0.63633,0.72954
2011,Direct migration background,2nd Quintile,No,0.76280,302,302,0.71475,0.81086
2011,Direct migration background,3rd Quintile,No,0.82471,219,219,0.77424,0.87519
2011,Direct migration background,4th Quintile,No,0.87547,184,184,0.82763,0.92331
2011,Direct migration background,5th Quintile,No,0.84731,181,181,0.79476,0.89986
2011,Indirect migration background,1st Quintile,No,0.28709,156,156,0.21587,0.35832
2011,Indirect migration background,2nd Quintile,No,0.34109,112,112,0.25290,0.42929
2011,Indirect migration background,3rd Quintile,No,0.40504,118,118,0.31609,0.49399
2011,Indirect migration background,4th Quintile,No,0.48942,104,104,0.39288,0.58596
2011,Indirect migration background,5th Quintile,No,0.52367,131,131,0.43781,0.60952
2013,No migration background,1st Quintile,Yes,0.04474,133,2441,0.03654,0.05294
2013,No migration background,1st Quintile,No,0.67830,2308,2441,0.65976,0.69684
2013,No migration background,2nd Quintile,Yes,0.04630,164,2882,0.03863,0.05398
2013,No migration background,2nd Quintile,No,0.71483,2718,2882,0.69835,0.73132
2013,No migration background,3rd Quintile,Yes,0.05219,184,3158,0.04443,0.05994
2013,No migration background,3rd Quintile,No,0.74385,2974,3158,0.72862,0.75907
2013,No migration background,4th Quintile,Yes,0.05233,213,3555,0.04500,0.05965
2013,No migration background,4th Quintile,No,0.77692,3342,3555,0.76324,0.79061
2013,No migration background,5th Quintile,Yes,0.05306,266,4382,0.04642,0.05970
2013,No migration background,5th Quintile,No,0.81543,4116,4382,0.80394,0.82692
2013,Direct migration background,1st Quintile,No,0.78263,492,492,0.74615,0.81911
2013,Direct migration background,2nd Quintile,No,0.81314,396,396,0.77470,0.85158
2013,Direct migration background,3rd Quintile,No,0.86765,305,305,0.82956,0.90574
2013,Direct migration background,4th Quintile,No,0.87739,232,232,0.83509,0.91969
2013,Direct migration background,5th Quintile,No,0.89182,247,247,0.85300,0.93063
2013,Indirect migration background,1st Quintile,No,0.29795,144,144,0.22299,0.37291
2013,Indirect migration background,2nd Quintile,No,0.29504,141,141,0.21949,0.37058
2013,Indirect migration background,3rd Quintile,No,0.46655,126,126,0.37909,0.55401
2013,Indirect migration background,4th Quintile,No,0.51572,120,120,0.42592,0.60551
2013,Indirect migration background,5th Quintile,No,0.60576,159,159,0.52956,0.68196
2015,No migration background,1st Quintile,Yes,0.06089,147,3030,0.05237,0.06941
