"ple0015","year","bildungsniveau","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","2009","(noch) kein Abschluss","maennlich","2","","",""
"Ja","2009","(noch) kein Abschluss","weiblich","3","","",""
"Ja","2009","Hauptschule","maennlich","128","0.0382387103491606","0.0313832145708128","0.0450942061275084"
"Ja","2009","Hauptschule","weiblich","168","0.0588205814598289","0.0506760294785147","0.0669651334411432"
"Ja","2009","Realschule","maennlich","53","0.0255656179510235","0.0186843355506411","0.0324469003514059"
"Ja","2009","Realschule","weiblich","102","0.0415728685033665","0.0341673969458224","0.0489783400609106"
"Ja","2009","(Fach-)Abitur","maennlich","16","","",""
"Ja","2009","(Fach-)Abitur","weiblich","31","0.0317091117452643","0.0214286894570514","0.0419895340334772"
"Ja","2009","AkademikerIn","maennlich","94","0.0369287525831894","0.0290231579864176","0.0448343471799612"
"Ja","2009","AkademikerIn","weiblich","78","0.0396992489872241","0.0307995684966749","0.0485989294777733"
"Nein","2009","(noch) kein Abschluss","maennlich","244","0.990867335134893","0.978979930283402","1.00275473998638"
"Nein","2009","(noch) kein Abschluss","weiblich","235","0.98909011334995","0.975892735162884","1.00228749153702"
"Nein","2009","Hauptschule","maennlich","2878","0.961761289650839","0.954905793872492","0.968616785429187"
"Nein","2009","Hauptschule","weiblich","3038","0.941179418540171","0.933034866558857","0.949323970521485"
"Nein","2009","Realschule","maennlich","1968","0.974434382048976","0.967553099648594","0.981315664449359"
"Nein","2009","Realschule","weiblich","2689","0.958427131496633","0.951021659939089","0.965832603054178"
"Nein","2009","(Fach-)Abitur","maennlich","872","0.984555742544746","0.976445286419145","0.992666198670346"
"Nein","2009","(Fach-)Abitur","weiblich","1085","0.968290888254736","0.958010465966523","0.978571310542949"
"Nein","2009","AkademikerIn","maennlich","2092","0.963071247416811","0.955165652820039","0.970976842013582"
"Nein","2009","AkademikerIn","weiblich","1771","0.960300751012776","0.951401070522227","0.969200431503325"
"Ja","2010","(noch) kein Abschluss","maennlich","","","",""
"Ja","2010","(noch) kein Abschluss","weiblich","","","",""
"Ja","2010","Hauptschule","maennlich","","","",""
