year,pgisced97,regtyp,ple0015,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,Pre-primary Level,Urban regions,No,1.00000,217,17628,1.00000,1.00000
2009,Pre-primary Level,Rural regions,No,1.00000,96,17628,1.00000,1.00000
2009,Primary Level,Urban regions,No,1.00000,121,17628,1.00000,1.00000
2009,Primary Level,Rural regions,No,1.00000,42,17628,1.00000,1.00000
2009,Lower Secondary Level,Urban regions,Yes,0.03654,38,17628,0.03638,0.03670
2009,Lower Secondary Level,Urban regions,No,0.96346,1148,17628,0.96330,0.96362
2009,Lower Secondary Level,Rural regions,No,1.00000,589,17628,1.00000,1.00000
2009,Upper Secondary Level,Urban regions,Yes,0.04395,238,17628,0.04387,0.04404
2009,Upper Secondary Level,Urban regions,No,0.95605,5345,17628,0.95596,0.95613
2009,Upper Secondary Level,Rural regions,Yes,0.03966,126,17628,0.03955,0.03976
2009,Upper Secondary Level,Rural regions,No,0.96034,3351,17628,0.96024,0.96045
2009,Post-secondary Non-tertiary Level,Urban regions,No,1.00000,715,17628,1.00000,1.00000
2009,Post-secondary Non-tertiary Level,Rural regions,No,1.00000,254,17628,1.00000,1.00000
2009,First Stage of Tertiary Education,Urban regions,Yes,0.05406,41,17628,0.05382,0.05431
2009,First Stage of Tertiary Education,Urban regions,No,0.94594,763,17628,0.94569,0.94618
2009,First Stage of Tertiary Education,Rural regions,No,1.00000,509,17628,1.00000,1.00000
2009,Second Stage of Tertiary Education,Urban regions,Yes,0.04059,127,17628,0.04047,0.04072
2009,Second Stage of Tertiary Education,Urban regions,No,0.95941,2694,17628,0.95928,0.95953
2009,Second Stage of Tertiary Education,Rural regions,Yes,0.03122,45,17628,0.03103,0.03141
2009,Second Stage of Tertiary Education,Rural regions,No,0.96878,1169,17628,0.96859,0.96897
2011,Pre-primary Level,Urban regions,No,1.00000,228,20390,1.00000,1.00000
2011,Pre-primary Level,Rural regions,No,1.00000,83,20390,1.00000,1.00000
2011,Primary Level,Urban regions,No,1.00000,156,20390,1.00000,1.00000
2011,Primary Level,Rural regions,No,1.00000,62,20390,1.00000,1.00000
2011,Lower Secondary Level,Urban regions,Yes,0.04524,57,20390,0.04505,0.04542
2011,Lower Secondary Level,Urban regions,No,0.95476,1346,20390,0.95458,0.95495
2011,Lower Secondary Level,Rural regions,Yes,0.03939,32,20390,0.03914,0.03964
2011,Lower Secondary Level,Rural regions,No,0.96061,729,20390,0.96036,0.96086
